accession	filePath	fileType	uncompressedLengthBytes
	assembly_data_report.jsonl	DATA_REPORT	23547940
GCF_000006685.1	GCF_000006685.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	1175665
GCF_000006685.1	GCF_000006685.1/genomic.gbff	GENBANK_FLAT_FILE	2872443
GCF_000006685.1	GCF_000006685.1/GCF_000006685.1_ASM668v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	1094095
GCF_000006685.1	GCF_000006685.1/genomic.gff	GFF3	608933
GCF_000006685.1	GCF_000006685.1/protein.faa	PROTEIN_FASTA	391083
GCF_000006685.1	GCF_000006685.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000007085.1	GCF_000007085.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	2920088
GCF_000007085.1	GCF_000007085.1/genomic.gbff	GENBANK_FLAT_FILE	6991052
GCF_000007085.1	GCF_000007085.1/GCF_000007085.1_ASM708v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	2723151
GCF_000007085.1	GCF_000007085.1/genomic.gff	GFF3	1627014
GCF_000007085.1	GCF_000007085.1/protein.faa	PROTEIN_FASTA	973027
GCF_000007085.1	GCF_000007085.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000007125.1	GCF_000007125.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	3588691
GCF_000007125.1	GCF_000007125.1/genomic.gbff	GENBANK_FLAT_FILE	8768717
GCF_000007125.1	GCF_000007125.1/GCF_000007125.1_ASM712v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	3336280
GCF_000007125.1	GCF_000007125.1/genomic.gff	GFF3	2105503
GCF_000007125.1	GCF_000007125.1/protein.faa	PROTEIN_FASTA	1109188
GCF_000007125.1	GCF_000007125.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000007205.1	GCF_000007205.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	1329651
GCF_000007205.1	GCF_000007205.1/genomic.gbff	GENBANK_FLAT_FILE	3160062
GCF_000007205.1	GCF_000007205.1/GCF_000007205.1_ASM720v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	1241320
GCF_000007205.1	GCF_000007205.1/genomic.gff	GFF3	691434
GCF_000007205.1	GCF_000007205.1/protein.faa	PROTEIN_FASTA	441829
GCF_000007205.1	GCF_000007205.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000007365.1	GCF_000007365.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	705585
GCF_000007365.1	GCF_000007365.1/genomic.gbff	GENBANK_FLAT_FILE	1851773
GCF_000007365.1	GCF_000007365.1/GCF_000007365.1_ASM736v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	649555
GCF_000007365.1	GCF_000007365.1/genomic.gff	GFF3	456396
GCF_000007365.1	GCF_000007365.1/protein.faa	PROTEIN_FASTA	225581
GCF_000007365.1	GCF_000007365.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000007505.1	GCF_000007505.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	3605168
GCF_000007505.1	GCF_000007505.1/genomic.gbff	GENBANK_FLAT_FILE	8760868
GCF_000007505.1	GCF_000007505.1/GCF_000007505.1_ASM750v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	3356745
GCF_000007505.1	GCF_000007505.1/genomic.gff	GFF3	2035501
GCF_000007505.1	GCF_000007505.1/protein.faa	PROTEIN_FASTA	1161198
GCF_000007505.1	GCF_000007505.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000007985.2	GCF_000007985.2/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	4144697
GCF_000007985.2	GCF_000007985.2/genomic.gbff	GENBANK_FLAT_FILE	9563743
GCF_000007985.2	GCF_000007985.2/GCF_000007985.2_ASM798v2_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	3861866
GCF_000007985.2	GCF_000007985.2/genomic.gff	GFF3	2016287
GCF_000007985.2	GCF_000007985.2/protein.faa	PROTEIN_FASTA	1413807
GCF_000007985.2	GCF_000007985.2/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000008205.1	GCF_000008205.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	955822
GCF_000008205.1	GCF_000008205.1/genomic.gbff	GENBANK_FLAT_FILE	2291053
GCF_000008205.1	GCF_000008205.1/GCF_000008205.1_ASM820v1_genomic.fna	GENOMIC_NUCLEOTIDE_FASTA	908686
GCF_000008205.1	GCF_000008205.1/genomic.gff	GFF3	461375
GCF_000008205.1	GCF_000008205.1/protein.faa	PROTEIN_FASTA	319778
GCF_000008205.1	GCF_000008205.1/sequence_report.jsonl	SEQUENCE_REPORT	
GCF_000008305.1	GCF_000008305.1/cds_from_genomic.fna	CDS_NUCLEOTIDE_FASTA	886338
GCF_000008305.1	GCF_000008305.1/genomic.gbff	GENBANK_FLAT_FILE	2094304
