ORGANISM ECOSYSTEM CATEGORY	n_genomes	mean_size_mb	std_size_mb	n_taxa	n_genera	n_phyla	cv_size	phyla_per_genome	genera_per_genome
Algae	24	4.37	1.24	24	21	4	28.38	16.67	87.5
Aquatic	841	4.02	1.48	841	539	32	36.82	3.8	64.09
Arthropoda: Insects	89	3.0	1.72	89	61	9	57.33	10.11	68.54
Bioreactor	22	3.54	1.12	22	22	9	31.64	40.91	100.0
Birds	52	2.99	1.11	52	35	7	37.12	13.46	67.31
Fish	44	4.04	1.56	44	31	5	38.61	11.36	70.45
Food production	146	3.4	1.27	146	83	6	37.35	4.11	56.85
Invertebrates	20	4.82	2.14	20	17	4	44.4	20.0	85.0
Mammals	274	2.94	1.12	274	129	15	38.1	5.47	47.08
Mammals: Human	528	3.57	1.61	528	208	13	45.1	2.46	39.39
Mollusca	35	4.02	1.42	35	22	4	35.32	11.43	62.86
Plants	350	5.78	1.9	350	145	8	32.87	2.29	41.43
Solid waste	24	4.13	0.93	24	24	5	22.52	20.83	100.0
Terrestrial	645	5.73	2.3	645	321	20	40.14	3.1	49.77
Unclassified	102	3.56	1.7	102	83	9	47.75	8.82	81.37
Wastewater	93	4.17	1.56	93	74	15	37.41	16.13	79.57
