GO_term	Reaction_IDs
(+)-abscisic acid 8'-hydroxylase activity	R07202
(+)-borneol dehydrogenase activity	R02944
(+)-menthofuran synthase activity	R08923
(+)-neomenthol dehydrogenase activity	R02548
(+)-sabinol dehydrogenase activity	R03745
(+)-trans-carveol dehydrogenase activity	R06117
(-)-borneol dehydrogenase activity	R02945
(-)-endo-fenchol synthase activity	R02004
(-)-isopiperitenone reductase activity	R06417
(-)-menthol dehydrogenase activity	R02177
(-)-menthol monooxygenase activity	R02178
(1-hydroxycyclohexan-1-yl)acetyl-CoA lyase activity	R02232
(2E,6E)-farnesyl diphosphate synthase activity	R02003
(3R)-3-isopropenyl-6-oxoheptanoate:CoA ligase (ADP-forming) activity	R06396
(3R)-3-isopropenyl-6-oxoheptanoate:CoA ligase (AMP-forming) activity	R06515
(3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate dehydrogenase activity	R01633
(R)-2-hydroxy-fatty acid dehydrogenase (NAD+) activity	R03021
(R)-2-methylmalate dehydratase activity	R03896
(R)-3-amino-2-methylpropionate-pyruvate transaminase activity	R02050
(R)-3-hydroxyacid-ester dehydrogenase activity	R04105
(R)-6-hydroxynicotine oxidase activity	R07170
(R)-aminopropanol dehydrogenase activity	R03759
(R)-dehydropantoate dehydrogenase activity	R03198
(R)-limonene 6-monooxygenase activity	R06119
(R)-limonene synthase activity	R06120
(R)-pantolactone dehydrogenase (flavin) activity	R03156
(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido) succinate lyase (fumarate-forming) activity	R04559
(S)-2-hydroxy-fatty acid dehydrogenase activity	R03022
(S)-2-methylmalate dehydratase activity	R03693
(S)-3-amino-2-methylpropionate transaminase activity	R04188
(S)-3-hydroxyacid-ester dehydrogenase activity	R04106
(S)-6-hydroxynicotine oxidase activity	R03202
(S)-N-acetyl-1-phenylethylamine hydrolase activity	R07301
(S)-canadine synthase activity	R04400
(S)-carnitine 3-dehydrogenase activity	R01921
(S)-cheilanthifoline synthase activity	R03834
(S)-citramalyl-CoA lyase activity	R00237
(S)-limonene 3-monooxygenase activity	R02469
(S)-limonene 7-monooxygenase activity	R02470
(S)-methylmalonyl-CoA hydrolase activity	R02764
(S)-scoulerine 9-O-methyltransferase activity	R03835
(S)-stylopine synthase activity	R04690
(S)-usnate reductase activity	R07345
(S,S)-butanediol dehydrogenase activity	R03707
(carboxyethyl)arginine beta-lactam-synthase activity	R05467
0000104	R00412
0000234	R02037,R06868
0000246	R05641
0000250	R03199
0000257	R00540
0000285	R05802
0000334	R02665
0000773	R01320,R03424
0000823	R05800
0000824	R05801
0000825	R10953
0000832	R09087
0000908	R05320
0001567	R07218
0001760	R04323
0003827	R05983
0003834	R00032
0003848	R03503
0003849	R01826
0003850	R02587
0003852	R01213
0003853	R03169
0003855	R03084
0003856	R03083
0003858	R01361
0003866	R03460
0003870	R00830
0003871	R04405
0003873	R02732
0003874	R04286
0003878	R00352
0003881	R01802
0003885	R02715
0003919	R00161
0003920	R01134
0003934	R00424
0003935	R00425
0003948	R03421
0003949	R04640
0003951	R00104
0003977	R00416
0003979	R00286
0003983	R00289
0003986	R00227
0003992	R02283
0004014	R00178
0004015	R03231
0004018	R01083
0004019	R01135
0004021	R00258
0004032	R02820
0004037	R02422
0004039	R00005
0004042	R00259
0004044	R01072
0004048	R01073
0004052	R01596
0004054	R00554
0004069	R00355
0004070	R01397
0004072	R00480
0004073	R02291
0004076	R01078
0004087	R00149
0004092	R02396
0004102	R01023
0004103	R01021
0004106	R01715
0004107	R01714
0004109	R03220
0004110	R04165
0004111	R01881
0004123	R01001
0004136	R02089
0004138	R01967
0004139	R01066
0004140	R00130
0004141	R03182
0004151	R01993
0004152	R01868
0004163	R01121
0004167	R03673
0004170	R02100
0004173	R02375
0004305	R01468
0004311	R02061
0004325	R00310
0004328	R00524
0004333	R01082
0004334	R01364
0004335	R01092
0004337	R02003
0004342	R00765
0004343	R02058
0004346	R00303
0004349	R00239
0004350	R03313
0004355	R00114
0004356	R00253
0004357	R00894
0004358	R02282
0004360	R00768
0004363	R00497
0004369	R00846
0004370	R00847
0004371	R01011
0004401	R03013
0004409	R04371
0004410	R00271
0004411	R02519
0004413	R01771
0004414	R01776
0004417	R04448
0004418	R00084
0004419	R01360
0004420	R02082
0004421	R01978
0004422	R01132
0004424	R03457
0004427	R00004
0004430	R03361
0004435	R03435
0004439	R04404
0004451	R00479
0004452	R01123
0004456	R02036
0004462	R02530
0004463	R03057
0004464	R03059
0004471	R00214
0004473	R00216
0004474	R00472
0004475	R00885
0004485	R04138
0004487	R01218
0004488	R01220
0004489	R01224,R07168
0004490	R02085
0004493	R02765
0004494	R00833
0004496	R02245
0004498	R03610
0004500	R02535
0004501	R02374
0004502	R01960
0004506	R02874
0004512	R07324
0004514	R03348
0004516	R01724
0004552	R02878
0004571	R12479
0004575	R00802
0004586	R00670
0004589	R01869
0004590	R00965
0004593	R02474
0004595	R03035
0004601	R03532
0004604	R02021
0004608	R02056
0004609	R02055
0004610	R08193
0004612	R00341
0004615	R01818
0004618	R01512
0004619	R01516
0004631	R03245
0004633	R03269
0004635	R04037
0004636	R04035
0004637	R04144
0004638	R04209
0004639	R04591
0004640	R03509
0004641	R04208
0004642	R04463
0004655	R00036
0004656	R03219
0004665	R01730
0004667	R02266
0004671	R04496
0004707	R00162
0004729	R03222
0004730	R01055
0004736	R00344
0004746	R00066
0004749	R01049
0004750	R01529
0004751	R01056
0004754	R00715
0004755	R02315
0004756	R03595
0004758	R01281
0004760	R00585
0004764	R02413
0004765	R02412
0004767	R02541
0004775	R00405
0004776	R00432
0004778	R00407
0004780	R00530
0004789	R03223
0004790	R02572
0004791	R02016
0004792	R01931
0004796	R02268
0004799	R02101
0004807	R01015
0004808	R00601
0004816	R03648
0004822	R03656
0004823	R03657
0004831	R02918
0004832	R03665
0004834	R02722
0004842	R03876
0004845	R00966
0004847	R00774
0004848	R00469
0004852	R03165
0004856	R01639
0008108	R00955
0008110	R01161
0008112	R01269
0008115	R00610
0008116	R02267
0008124	R04734
0008127	R02156
0008131	R01853,R02173,R02613
0008177	R02164
0008336	R02397
0008397	R04826,R07204
0008424	R05988
0008440	R03433
0008444	R01801
0008446	R00888
0008458	R03779
0008459	R02181
0008460	R06513
0008463	R00653
0008473	R00671
0008480	R00611
0008482	R00533
0008486	R05777
0008531	R00549
0008660	R00997
0008661	R05636
0008666	R04365
0008667	R01505
0008668	R12777
0008671	R03387
0008673	R01541
0008674	R01064
0008676	R03254
0008677	R02472
0008683	R00272
0008685	R05637
0008686	R07281
0008687	R03303
0008688	R06786
0008696	R05553
0008697	R04383
0008701	R00750
0008703	R03458
0008705	R00946
0008709	R02792
0008710	R03210
0008712	R05176
0008714	R00182
0008715	R01797
0008716	R01150
0008720	R00704
0008730	R00339
0008733	R01761
0008737	R03241
0008738	R02262
0008740	R02437
0008742	R05850
0008743	R01465
0008747	R01811
0008753	R07359
0008756	R04030
0008760	R00660
0008763	R03193
0008764	R02783
0008765	R02788
0008771	R04449
0008783	R01157
0008784	R00401
0008789	R01540
0008792	R00566
0008801	R02728
0008803	R00125
0008811	R03065
0008812	R01025
