Reaction_ID	GO_terms
R00004	0004427,inorganic diphosphate phosphatase activity
R00005	0004039,allophanate hydrolase activity
R00012	0047351,GTP guanylyltransferase activity
R00013	0009028,tartronate-semialdehyde synthase activity
R00023	0047999,hyponitrite reductase (NADH) activity
R00025	0036434,nitronate monooxygenase (FMN-linked) activity
R00027	0047695,benzoin aldolase activity
R00032	0003834,beta-carotene 15,15'-dioxygenase activity
R00036	0004655,porphobilinogen synthase activity
R00038	0050217,propioin synthase activity
R00042	0018490,4-hydroxyphenylpyruvate oxidase activity
R00043	0050054,lignostilbene alpha beta-dioxygenase activity
R00044	0050455,columbamine oxidase activity
R00048	0047989,hydroxybutyrate-dimer hydrolase activity
R00049	0047201,beta-glucogallin O-galloyltransferase activity
R00053	0050318,tannase activity
R00054	0050160,orsellinate-depside hydrolase activity
R00060	0047064,sulochrin oxidase [(+)-bisdechlorogeodin-forming] activity
R00061	0047065,sulochrin oxidase [(-)-bisdechlorogeodin-forming] activity
R00062	0047278,bilirubin-glucuronoside glucuronosyltransferase activity
R00063	0047158,sinapoylglucose-sinapoylglucose O-sinapoyltransferase activity
R00066	0004746,riboflavin synthase activity
R00075	0030410,nicotianamine synthase activity
R00083	0052716,hydroquinone:oxygen oxidoreductase activity
R00084	0004418,hydroxymethylbilane synthase activity
R00090	0016692,NADH peroxidase activity
R00093	0016040,glutamate synthase (NADH) activity
R00103	0035529,NADH pyrophosphatase activity
R00104	0003951,NAD+ kinase activity
R00105	0042736,NADH kinase activity
R00113	0050137,NADPH peroxidase activity
R00114	0004355,glutamate synthase (NADPH) activity
R00120	0047950,glutathione oxidase activity
R00125	0008803,bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity
R00129	0047453,ATP-dependent NAD(P)H-hydrate dehydratase activity
R00130	0004140,dephospho-CoA kinase activity
R00134	0047899,formate dehydrogenase (NADP+) activity
R00138	0050355,inorganic triphosphate phosphatase activity
R00141	0047666,ammonia kinase activity
R00149	0004087,carbamoyl-phosphate synthase (ammonia) activity
R00155	0045134,UDP phosphatase activity
R00161	0003919,FMN adenylyltransferase activity
R00162	0004707,MAP kinase activity
R00178	0004014,adenosylmethionine decarboxylase activity
R00179	0016847,1-aminocyclopropane-1-carboxylate synthase activity
R00182	0008714,AMP nucleosidase activity
R00187	0047710,bis(5'-adenosyl)-triphosphatase activity
R00193	0050270,S-adenosylhomocysteine deaminase activity
R00199	0008986,pyruvate, water dikinase activity
R00206	0050242,pyruvate, phosphate dikinase activity
R00207	0047112,pyruvate oxidase activity
R00208	0050189,phosphoenolpyruvate phosphatase activity
R00210	0050243,pyruvate dehydrogenase (NADP+) activity
R00211	0050244,pyruvate oxidase (CoA-acetylating) activity
R00213	0047766,carbamoyl-serine ammonia-lyase activity
R00214	0004471,malate dehydrogenase (decarboxylating) (NAD+) activity
R00215	0046553,D-malate dehydrogenase (decarboxylating) (NAD+) activity
R00216	0004473,malate dehydrogenase (decarboxylating) (NADP+) activity
R00217	0008948,oxaloacetate decarboxylase activity
R00227	0003986,acetyl-CoA hydrolase activity
R00237	(S)-citramalyl-CoA lyase activity,0047777
R00239	0004349,glutamate 5-kinase activity
R00251	0017168,5-oxoprolinase (ATP-hydrolyzing) activity
R00253	0004356,glutamine synthetase activity
R00258	0004021,L-alanine:2-oxoglutarate aminotransferase activity
R00259	0004042,L-glutamate N-acetyltransferase activity
R00260	0008881,glutamate racemase activity
R00262	0050097,methylaspartate mutase activity
R00271	0004410,homocitrate synthase activity
R00272	0008683,2-oxoglutarate decarboxylase activity
R00273	0050162,oxalate oxidase activity
R00279	0047821,D-glutamate oxidase activity
R00286	0003979,UDP-glucose 6-dehydrogenase activity
R00289	0003983,UTP:glucose-1-phosphate uridylyltransferase activity
R00293	0050377,UDP-glucose 4,6-dehydratase activity
R00294	0016966,nitric oxide reductase activity
R00297	0047809,D-lactate dehydrogenase activity
R00302	0050233,pyranose oxidase activity
R00303	0004346,glucose-6-phosphatase activity
R00304	0008877,glucose-1-phosphatase activity
R00305	0008876,quinoprotein glucose dehydrogenase activity
R00310	0004325,ferrochelatase activity
R00318	0047400,phosphonoacetate hydrolase activity
R00319	0050040,lactate 2-monooxygenase activity
R00320	0047601,acetate kinase (diphosphate) activity
R00324	0018773,acetylpyruvate hydrolase activity
R00325	0047776,citramalate lyase activity
R00327	0047593,6-acetylglucose deacetylase activity
R00337	0047917,GDP-glucosidase activity
R00338	0030603,oxaloacetase activity
R00339	0008730,L(+)-tartrate dehydratase activity
R00340	0047808,D(-)-tartrate dehydratase activity
R00341	0004612,phosphoenolpyruvate carboxykinase (ATP) activity
R00343	0046554,L-malate dehydrogenase (NADP+) activity
R00344	0004736,pyruvate carboxylase activity
R00345	0008964,phosphoenolpyruvate carboxylase activity
R00346	0030585,phosphoenolpyruvate carboxykinase (diphosphate) activity
R00351	0036440,citrate synthase activity
R00352	0003878,ATP citrate synthase activity
R00355	0004069,L-aspartate:2-oxoglutarate aminotransferase activity
R00362	0008815,citrate (pro-3S)-lyase activity
R00363	0050163,oxaloacetate tautomerase activity
R00367	0017174,glycine N-methyltransferase activity
R00368	0050305,strombine dehydrogenase activity
R00371	0008890,glycine C-acetyltransferase activity
R00373	0047303,glycine-oxaloacetate transaminase activity
R00394	0047612,acid-CoA ligase (GDP-forming) activity
R00398	0047636,alanopine dehydrogenase activity
R00401	0008784,alanine racemase activity
R00402	0016156,fumarate reductase (NADH) activity
R00405	0004775,succinate-CoA ligase (ADP-forming) activity
R00407	0004778,succinyl-CoA hydrolase activity
R00409	0046421,methylisocitrate lyase activity
R00411	0009017,succinylglutamate desuccinylase activity
R00412	0000104,succinate dehydrogenase activity
R00416	0003977,UDP-N-acetylglucosamine diphosphorylase activity
R00421	0047004,UDP-N-acetylglucosamine 6-dehydrogenase activity
R00424	0003934,GTP cyclohydrolase I activity
R00425	0003935,GTP cyclohydrolase II activity
R00426	0036219,GTP diphosphatase activity
R00432	0004776,succinate-CoA ligase (GDP-forming) activity
R00447	0050029,L-lysine oxidase activity
R00448	0047091,L-lysine 6-monooxygenase (NADPH) activity
R00449	0050067,lysine 2-monooxygenase activity
R00451	0008836,diaminopimelate decarboxylase activity
R00452	0047827,D-lysopine dehydrogenase activity
