Reaction_ID	KO_IDs
R00005	K01457,K14541
R00013	K01608
R00025	K00459
R00032	K00515
R00036	K01698
R00048	K07518
R00066	K00793
R00075	K05953
R00084	K01749
R00093	K00264
R00103	K01513,K03426,K04765,K26956
R00104	K00858
R00114	K00265,K00266
R00125	K01525
R00130	K00859,K02318
R00134	K05299,K15022
R00149	K01948
R00155	K01510,K01511,K12304,K12305,K14641,K14642
R00161	K00953,K11753,K14656,K22949
R00178	K01611
R00179	K01762,K20772
R00182	K01241,K06966
R00187	K01522,K18424
R00193	K12960
R00199	K01007
R00206	K01006
R00207	K00158
R00214	K00027,K00028
R00215	K07246
R00216	K00029
R00217	K01003
R00227	K01067
R00237	K08691,K18292
R00239	K00931,K12657
R00251	K01469,K07160,K23123,K23124
R00253	K01915
R00258	K00814,K14260,K14272
R00259	K00618,K00619,K00620,K11067,K14681,K14682,K22476,K22477,K22478
R00260	K01776
R00262	K01846,K19268
R00271	K01655,K02594,K10977
R00286	K00012
R00289	K00963,K12447,K22920,K28660
R00293	K12450
R00294	K02164,K02305,K02448,K04561,K04747,K04748
R00297	K18930,K21836
R00303	K01084
R00305	K00115,K19813
R00310	K01772
R00318	K19670
R00319	K00467
R00339	K03779,K03780
R00341	K01610
R00343	K00051
R00344	K01958,K01959,K01960
R00345	K01595
R00346	K20370
R00351	K01647,K01659,K05942,K27797
R00352	K01648,K15230,K15231
R00355	K00811,K00812,K00813,K11358,K14454,K14455
R00362	K01643,K01644,K01646
R00367	K00552
R00371	K00639
R00373	K28179
R00401	K01775,K01798
R00402	K18556,K18557,K18558,K18559,K18560,K28482
R00405	K01902,K01903
R00409	K01637,K03417
R00411	K05526
R00416	K00972,K04042,K11528,K23144
R00421	K02474,K13015,K22926
R00424	K01495,K09007,K22391
R00425	K01497,K14652
R00426	K01513,K04765
R00432	K01899,K01900
R00448	K03897
R00449	K00468
R00451	K01586,K12526
R00457	K03918
R00461	K01843
R00462	K01582
R00469	K18151
R00472	K01638
R00474	K01616
R00476	K00104,K11472,K11473
R00479	K01637
R00480	K00928,K12524,K12525,K12526
R00486	K13035
R00487	K18309
R00491	K01779
R00494	K00681,K18592
R00497	K01920,K21456
R00502	K12447
R00512	K00945,K13799,K13800,K13809
R00519	K00122,K00123,K00124,K00126,K00127,K22515
R00522	K01569
R00524	K01455
R00525	K01458
R00527	K01070
R00530	K00988,K22966
R00531	K22966
R00533	K00387
R00540	K01501
R00549	K00861,K11753,K20884
R00554	K00934
R00566	K01583,K01584,K01585,K02626
R00574	K27604
R00582	K01079,K02203,K22305,K25528
R00585	K00830,K13290
R00586	K00640,K19726,K23304
R00601	K15461
R00603	K17070
R00604	K00148
R00605	K00093
R00606	K08685,K15228,K15229
R00609	K22084,K22085,K22086,K22087
R00610	K00301,K00302,K00303,K00304,K00305,K00306
R00611	K00314
R00617	K00946
R00618	K05307
R00660	K00790
R00661	K01841,K23999
R00662	K01513,K04765,K06287,K07043,K25435
R00670	K01581
R00671	K01750,K27542
R00673	K01667
R00674	K01695,K01696,K06001
R00679	K00466
R00690	K21795
R00692	K05821
R00693	K03825
R00694	K00811,K00812,K00813,K00815,K00817,K00832,K00838,K05821,K11358,K14454,K14455,K15849
R00704	K03777,K03778
R00715	K00290
R00716	K14157
R00720	K01519
R00728	K01668
R00747	K05306
R00748	K14286
R00750	K01666,K18365
R00765	K02564
R00768	K00820
R00774	K01941,K14541
R00776	K01483,K16856
R00778	K06035
R00787	K00361,K00362,K00363,K17877,K26138,K26139
R00789	K00361,K17877,K26138,K26139
R00802	K01187,K01193,K01203,K12047,K12316,K12317,K15922
R00804	K07757
R00805	K07024
R00821	K14333
R00830	K00643
R00833	K01847,K01848,K01849
R00842	K00006,K00057
R00844	K00057
R00846	K00105,K28477
R00847	K00864
R00855	K01517
R00856	K00980
R00870	K28607
R00880	K00066
R00885	K00966,K00971,K16011,K16881
R00888	K01711
R00893	K00456
R00894	K01919,K06048,K11204,K11205
R00919	K14469,K15020,K19745
R00931	K01659,K27797
R00941	K00289
R00944	K01433
R00946	K00548,K24042
R00948	K00975
R00955	K00965
R00956	K00978
R00965	K01591,K13421
R00966	K00761,K02825
R00982	K08295,K09460,K18000
R00984	K12643
R00997	K01505
R01001	K01758,K17217
R01011	K00863
R01012	K05878,K05879,K05881
R01013	K00649
R01015	K01803
R01016	K01734
R01021	K00866,K14156,K25657
R01023	K00623
R01025	K00108
R01034	K00005,K22251
R01039	K18097
R01049	K00948
R01055	K16329,K16330
R01056	K01807,K01808
R01058	K00131,K18978
R01059	K00863
R01064	K01631,K11395
R01066	K01619
R01069	K01635,K08302,K16371
R01072	K00764
R01073	K00766,K13497
R01078	K01012
R01080	K01240,K01250,K10213,K12700,K25589
R01082	K01675,K01676,K01677,K01678,K01679,K01774
R01083	K01756
R01087	K01799
R01090	K00826
R01092	K00849
R01103	K01189,K07406,K07407
R01108	K21888
R01121	K01597
R01123	K01823
R01132	K00760,K15780,K19836
R01134	K00364,K26110
R01135	K01939
R01142	K16157,K16158,K16159,K16160,K16161,K16162
R01150	K01921
R01152	K12251
R01153	K05353
R01157	K01480
R01169	K18911,K20246
R01174	K00634
R01178	K00248
R01183	K00010
R01184	K00469
R01196	K00169,K00170,K00171,K00172,K00174,K00175,K00189,K03737
R01201	K00884,K28207,K28208
R01213	K01649
R01214	K00826
R01215	K00835,K14260
R01218	K00295,K13403
R01220	K00288,K00300,K01491
R01224	K25004,K25009
R01229	K00760,K00769,K03816,K15780,K19836
R01238	K01612,K03186,K16239,K21759
R01255	K01777
R01267	K13035
R01269	K00541
R01271	K03462
R01281	K00654
R01291	K07173
R01295	K07824
R01300	K04105,K20458
R01301	K01075
R01302	K03181,K18240
R01305	K05913
R01306	K22553
R01320	K00550,K00551,K00570
R01322	K15232,K15233
R01333	K07248
R01334	K01091,K19269,K22223,K28203
R01355	K20454
R01357	K01907
R01360	K01640
R01361	K00019
R01364	K01555,K16171
R01365	K01034,K01035
R01366	K01574
R01381	K12447
R01384	K08678,K12449
R01385	K08679
R01394	K01816
R01397	K00608,K00609,K00610,K11540,K11541
R01408	K10675
R01422	K04105,K04110
R01424	K01451
R01430	K00078,K14273
R01450	K22373
R01459	K03333
R01461	K00637
R01465	K00060,K15789
R01468	K00894,K14156
R01473	K12448
R01476	K16190
R01481	K00002
R01505	K00216
R01507	K10621
R01512	K00927
R01514	K15918
R01516	K01837
R01522	K21840
R01523	K00855,K28462
R01529	K01783
R01530	K02467,K06041
R01538	K05308
R01540	K01685,K16849,K16850
R01541	K00874,K18126
R01550	K23259
R01558	K22133
R01563	K08687
R01564	K00309
R01565	K00315
R01566	K08688
R01583	K22210
R01586	K22081,K22082,K22083
R01594	K26082
R01596	K00458
R01608	K23146
R01616	K01904
R01617	K14329
R01628	K19065
R01633	K18076
R01634	K18256
R01639	K00854
R01644	K00043,K08318,K18120
R01660	K11809
R01665	K00945,K13799,K13800,K13809
R01669	K19796
R01688	K00929
R01707	K18609
R01708	K05275
R01712	K18608
R01714	K01736
R01715	K01850,K04092,K04093,K04516,K06208,K06209,K13853,K14170,K14187
R01716	K01664,K01665,K03342,K13950
R01717	K01851,K02361,K02552,K14759
R01720	K20445,K20446,K20447,K20448
R01721	K28670
R01724	K00763
R01728	K00220,K04517,K14187,K24018
R01730	K00211
R01737	K00851,K25031
R01751	K07246
R01754	K12446
R01759	K00011,K26066
R01761	K01804
R01771	K00872,K02203,K02204
R01776	K00641,K00651,K19726
R01777	K00641,K00651
