Reaction_ID	Pathway_IDs
R00005	map00220,map00791,map01100,map01110,map01120,rn00220,rn00791,rn01100,rn01110,rn01120
R00013	map00630,map01100,rn00630,rn01100
R00025	map00910,map01100,rn00910,rn01100
R00032	map00830,map01100,map01240,rn00830,rn01100,rn01240
R00036	map00860,map01100,map01110,map01120,map01240,rn00860,rn01100,rn01110,rn01120,rn01240
R00042	map00350,rn00350
R00044	map00950,map01110,rn00950,rn01110
R00048	map00650,map01100,rn00650,rn01100
R00066	map00740,map01100,map01110,map01240,rn00740,rn01100,rn01110,rn01240
R00075	map00270,map00999,map01100,map01110,rn00270,rn00999,rn01100,rn01110
R00084	map00860,map01100,map01110,map01120,map01240,rn00860,rn01100,rn01110,rn01120,rn01240
R00093	map00250,map00910,map01100,map01110,map01120,rn00250,rn00910,rn01100,rn01110,rn01120
R00103	map00760,map01100,rn00760,rn01100
R00104	map00760,map01100,map01240,rn00760,rn01100,rn01240
R00114	map00250,map00910,map01100,map01110,map01120,map01230,rn00250,rn00910,rn01100,rn01110,rn01120,rn01230
R00120	map00480,map01100,rn00480,rn01100
R00125	map00230,map01100,rn00230,rn01100
R00130	map00770,map01100,map01240,rn00770,rn01100,rn01240
R00134	map00680,map00720,map01100,map01120,map01200,rn00680,rn00720,rn01100,rn01120,rn01200
R00149	map00220,map00250,map00910,map01100,map01120,map01200,map01230,rn00220,rn00250,rn00910,rn01100,rn01120,rn01200,rn01230
R00155	map00240,map01100,map01232,rn00240,rn01100,rn01232
R00161	map00740,map01100,map01110,map01240,rn00740,rn01100,rn01110,rn01240
R00178	map00270,map00330,map01100,map01110,rn00270,rn00330,rn01100,rn01110
R00179	map00270,map01100,map01110,rn00270,rn01100,rn01110
R00182	map00230,map01100,map01232,rn00230,rn01100,rn01232
R00187	map00230,map01100,rn00230,rn01100
R00193	map00270,map01100,rn00270,rn01100
R00199	map00010,map00620,map00680,map00720,map01100,map01110,map01120,map01200,rn00010,rn00620,rn00680,rn00720,rn01100,rn01110,rn01120,rn01200
R00206	map00010,map00620,map00710,map00720,map01100,map01120,map01200,rn00010,rn00620,rn00710,rn00720,rn01100,rn01120,rn01200
R00207	map00620,map01100,rn00620,rn01100
R00210	map01210,rn01210
R00211	map00620,rn00620
R00214	map00620,map00710,map01100,map01120,map01200,rn00620,rn00710,rn01100,rn01120,rn01200
R00215	map00650,map01100,rn00650,rn01100
R00216	map00620,map00710,map01100,map01120,map01200,rn00620,rn00710,rn01100,rn01120,rn01200
R00217	map00620,map01100,rn00620,rn01100
R00227	map00620,map01100,rn00620,rn01100
R00237	map00660,map00720,map01100,map01120,map01200,rn00660,rn00720,rn01100,rn01120,rn01200
R00239	map00330,map00332,map01100,map01110,map01230,rn00330,rn00332,rn01100,rn01110,rn01230
R00251	map00480,map01100,rn00480,rn01100
R00253	map00220,map00250,map00630,map00910,map01100,map01110,map01120,map01230,rn00220,rn00250,rn00630,rn00910,rn01100,rn01110,rn01120,rn01230
R00258	map00220,map00250,map00710,map01100,map01120,map01200,map01210,map01230,rn00220,rn00250,rn00710,rn01100,rn01120,rn01200,rn01210,rn01230
R00259	map00220,map01100,map01110,map01210,map01230,rn00220,rn01100,rn01110,rn01210,rn01230
R00260	map00470,map01100,rn00470,rn01100
R00262	map00630,map00660,map01100,map01120,map01200,rn00630,rn00660,rn01100,rn01120,rn01200
R00271	map00300,map00620,map01100,map01110,map01120,map01210,map01230,map01240,rn00300,rn00620,rn01100,rn01110,rn01120,rn01210,rn01230,rn01240
R00273	map00630,rn00630
R00279	map00470,map01100,rn00470,rn01100
R00286	map00040,map00053,map00520,map00541,map01100,map01240,map01250,rn00040,rn00053,rn00520,rn00541,rn01100,rn01240,rn01250
R00289	map00040,map00052,map00500,map00520,map00541,map00561,map00566,map01100,map01110,map01240,map01250,rn00040,rn00052,rn00500,rn00520,rn00541,rn00561,rn00566,rn01100,rn01110,rn01240,rn01250
R00293	map00541,map01100,map01250,rn00541,rn01100,rn01250
R00294	map00910,map01100,map01120,map01310,rn00910,rn01100,rn01120,rn01310
R00297	map00620,map01100,rn00620,rn01100
R00303	map00500,map01100,map01110,rn00500,rn01100,rn01110
R00305	map00030,map01100,map01110,rn00030,rn01100,rn01110
R00310	map00860,map01100,map01110,map01240,rn00860,rn01100,rn01110,rn01240
R00318	map00440,map01100,map01120,rn00440,rn01100,rn01120
R00319	map00620,map01100,rn00620,rn01100
R00320	map00620,map01100,rn00620,rn01100
R00325	map00660,map01100,rn00660,rn01100
R00339	map00630,map01100,rn00630,rn01100
R00341	map00010,map00020,map00620,map00710,map01100,map01110,map01120,map01200,rn00010,rn00020,rn00620,rn00710,rn01100,rn01110,rn01120,rn01200
R00343	map00620,map00710,map01100,map01120,map01200,rn00620,rn00710,rn01100,rn01120,rn01200
R00344	map00020,map00620,map00720,map01100,map01120,map01200,map01230,rn00020,rn00620,rn00720,rn01100,rn01120,rn01200,rn01230
R00345	map00620,map00680,map00710,map00720,map01100,map01120,map01200,rn00620,rn00680,rn00710,rn00720,rn01100,rn01120,rn01200
R00346	map00620,map01100,rn00620,rn01100
R00351	map00020,map00630,map01100,map01110,map01120,map01200,map01210,map01230,rn00020,rn00630,rn01100,rn01110,rn01120,rn01200,rn01210,rn01230
R00352	map00020,map00720,map01100,map01110,map01120,map01200,rn00020,rn00720,rn01100,rn01110,rn01120,rn01200
R00355	map00220,map00250,map00710,map01100,map01110,map01120,map01200,map01210,map01230,rn00220,rn00250,rn00710,rn01100,rn01110,rn01120,rn01200,rn01210,rn01230
R00367	map00260,map00270,map00670,map01100,rn00260,rn00270,rn00670,rn01100
R00371	map00260,map01100,rn00260,rn01100
R00373	map00630,map01100,map01120,rn00630,rn01100,rn01120
R00401	map00470,map01100,rn00470,rn01100
R00402	map00720,map01100,map01110,map01120,map01200,rn00720,rn01100,rn01110,rn01120,rn01200
R00405	map00020,map00640,map00720,map01100,map01110,map01120,map01200,rn00020,rn00640,rn00720,rn01100,rn01110,rn01120,rn01200
R00409	map00640,map01100,map01120,map01200,rn00640,rn01100,rn01120,rn01200
R00411	map00330,map01100,rn00330,rn01100
R00416	map00520,map00541,map01100,map01250,rn00520,rn00541,rn01100,rn01250
R00421	map00541,map01100,map01250,rn00541,rn01100,rn01250
R00424	map01240,rn01240
R00425	map00740,map00790,map01100,map01110,map01240,rn00740,rn00790,rn01100,rn01110,rn01240
R00426	map00230,map01100,map01232,rn00230,rn01100,rn01232
R00432	map00020,map00640,map01100,map01110,map01200,rn00020,rn00640,rn01100,rn01110,rn01200
R00447	map00310,map00960,map01100,rn00310,rn00960,rn01100
R00448	map00997,map01100,map01110,map01120,rn00997,rn01100,rn01110,rn01120
R00449	map00310,map01100,map01120,rn00310,rn01100,rn01120
R00451	map00300,map00470,map01100,map01110,map01120,map01230,rn00300,rn00470,rn01100,rn01110,rn01120,rn01230
R00452	map00310,rn00310
R00461	map00310,map01100,rn00310,rn01100
R00462	map00310,map00960,map01100,map01110,map01120,rn00310,rn00960,rn01100,rn01110,rn01120
R00466	map00630,map01100,rn00630,rn01100
R00468	map00630,map01100,rn00630,rn01100
R00469	map00230,map01100,map01120,rn00230,rn01100,rn01120
R00472	map00620,map00630,map01100,map01110,map01120,map01200,rn00620,rn00630,rn01100,rn01110,rn01120,rn01200
R00474	map00630,rn00630
R00476	map00630,map01100,map01120,rn00630,rn01100,rn01120
R00477	map00630,rn00630
R00479	map00630,map01100,map01110,map01120,map01200,rn00630,rn01100,rn01110,rn01120,rn01200
R00480	map00260,map00261,map00270,map00300,map01100,map01110,map01120,map01210,map01230,rn00260,rn00261,rn00270,rn00300,rn01100,rn01110,rn01120,rn01210,rn01230
R00484	map00250,map01100,rn00250,rn01100
R00486	map00460,map01100,map01110,rn00460,rn01100,rn01110
R00487	map00250,map01100,rn00250,rn01100
R00491	map00250,map00470,map01100,rn00250,rn00470,rn01100
R00494	map00480,map01100,rn00480,rn01100
R00497	map00480,map01100,map01240,rn00480,rn01100,rn01240
R00502	map00052,map00520,map01100,rn00052,rn00520,rn01100
R00512	map00240,map01100,map01232,rn00240,rn01100,rn01232
R00518	map00630,map01100,rn00630,rn01100
R00519	map00630,map00680,map01100,map01120,map01200,rn00630,rn00680,rn01100,rn01120,rn01200
R00522	map00630,map01100,rn00630,rn01100
R00524	map00460,map00630,map00910,map01100,map01200,rn00460,rn00630,rn00910,rn01100,rn01200
R00525	map00340,map00630,map01100,rn00340,rn00630,rn01100
R00527	map00680,map01100,map01120,map01200,rn00680,rn01100,rn01120,rn01200
R00530	map00920,map01100,map01120,rn00920,rn01100,rn01120
R00531	map00920,map01100,rn00920,rn01100
R00533	map00920,map01100,map01120,rn00920,rn01100,rn01120
R00540	map00910,map01100,rn00910,rn01100
R00549	map00740,map01100,map01110,map01240,rn00740,rn01100,rn01110,rn01240
R00550	map00740,map01100,rn00740,rn01100
R00554	map00330,rn00330
R00559	map00330,map01100,rn00330,rn01100
R00566	map00330,map01100,map01110,rn00330,rn01100,rn01110
R00574	map00240,rn00240
R00576	map00250,map01100,rn00250,rn01100
R00582	map00260,map00680,map01100,map01110,map01120,map01200,map01230,rn00260,rn00680,rn01100,rn01110,rn01120,rn01200,rn01230
R00585	map00260,map01100,rn00260,rn01100
R00586	map00270,map00920,map00998,map01100,map01110,map01120,map01200,map01230,rn00270,rn00920,rn00998,rn01100,rn01110,rn01120,rn01200,rn01230
R00603	map00625,map01120,rn00625,rn01120
R00604	map00625,map00680,map01100,map01120,map01200,rn00625,rn00680,rn01100,rn01120,rn01200
R00605	map00680,map01100,map01120,rn00680,rn01100,rn01120
R00606	map00680,map01100,map01120,rn00680,rn01100,rn01120
R00609	map00680,map01100,map01120,rn00680,rn01100,rn01120
R00610	map00260,map01100,rn00260,rn01100
R00611	map00260,map00670,map01100,rn00260,rn00670,rn01100
R00617	map00730,map01100,map01240,rn00730,rn01100,rn01240
R00618	map00730,map01100,rn00730,rn01100
R00643	map00053,map01100,rn00053,rn01100
R00653	map00270,map00630,rn00270,rn00630
R00655	map00470,map01100,rn00470,rn01100
R00660	map00520,map00550,map01100,map01250,rn00520,rn00550,rn01100,rn01250
R00661	map00440,map00998,map01100,map01110,map01120,rn00440,rn00998,rn01100,rn01110,rn01120
R00662	map00240,map01100,map01232,rn00240,rn01100,rn01232
R00670	map00330,map00480,map01100,map01110,rn00330,rn00480,rn01100,rn01110
R00671	map00330,map01100,map01110,map01230,rn00330,rn01100,rn01110,rn01230
R00673	map00380,map01100,rn00380,rn01100
R00674	map00400,map01100,map01110,rn00400,rn01100,rn01110
R00679	map00380,map01100,rn00380,rn01100
R00686	map00360,map00470,map01100,rn00360,rn00470,rn01100
R00690	map00360,map01100,rn00360,rn01100
R00692	map00360,map00400,map00960,map01100,map01110,rn00360,rn00400,rn00960,rn01100,rn01110
R00693	map00360,map01100,rn00360,rn01100
R00694	map00360,map00400,map00960,map01100,map01110,map01210,map01230,rn00360,rn00400,rn00960,rn01100,rn01110,rn01210,rn01230
R00704	map00620,map01100,map01120,rn00620,rn01100,rn01120
R00715	map00300,map00310,map01100,map01110,map01230,rn00300,rn00310,rn01100,rn01110,rn01230
R00716	map00310,map01100,map01110,rn00310,rn01100,rn01110
R00720	map00230,map01100,map01232,rn00230,rn01100,rn01232
R00728	map00350,rn00350
R00739	map00350,rn00350
R00743	map00410,rn00410
R00747	map00440,map01100,map01120,rn00440,rn01100,rn01120
R00748	map00564,map01100,rn00564,rn01100
R00750	map00360,map00362,map00621,map00622,map01100,map01120,map01220,rn00360,rn00362,rn00621,rn00622,rn01100,rn01120,rn01220
R00753	map00620,map01100,rn00620,rn01100
R00765	map00520,rn00520
R00768	map00250,map00520,map01100,map01250,rn00250,rn00520,rn01100,rn01250
R00774	map00220,map00791,map01100,map01110,rn00220,rn00791,rn01100,rn01110
R00776	map00230,map01100,rn00230,rn01100
R00778	map00791,map01120,rn00791,rn01120
R00787	map00910,map01100,map01120,map01310,rn00910,rn01100,rn01120,rn01310
R00789	map00910,map01100,map01120,map01310,rn00910,rn01100,rn01120,rn01310
R00805	map00500,map01100,map01110,rn00500,rn01100,rn01110
R00821	map00362,map00627,map01120,rn00362,rn00627,rn01120
R00822	map00362,rn00362
R00830	map00260,map00860,map01100,map01110,map01240,rn00260,rn00860,rn01100,rn01110,rn01240
R00833	map00280,map00630,map00640,map00720,map01100,map01120,map01200,rn00280,rn00630,rn00640,rn00720,rn01100,rn01120,rn01200
R00842	map00564,map01100,map01110,rn00564,rn01100,rn01110
R00844	map00564,map01100,map01110,rn00564,rn01100,rn01110
R00846	map00564,map01100,map01110,rn00564,rn01100,rn01110
R00847	map00561,map01100,rn00561,rn01100
R00855	map00564,rn00564
R00856	map00564,rn00564
R00870	map00051,map01100,rn00051,rn01100
R00877	map00051,map01100,rn00051,rn01100
R00880	map00051,map00520,map01100,map01250,rn00051,rn00520,rn01100,rn01250
R00883	map00051,map00520,map01100,rn00051,rn00520,rn01100
R00885	map00051,map00520,map00541,map01100,map01110,map01240,map01250,rn00051,rn00520,rn00541,rn01100,rn01110,rn01240,rn01250
R00888	map00051,map00541,map01100,map01250,rn00051,rn00541,rn01100,rn01250
R00892	map00270,map01100,rn00270,rn01100
R00893	map00270,map00430,map01100,rn00270,rn00430,rn01100
R00894	map00480,map01100,map01240,rn00480,rn01100,rn01240
R00909	map00410,rn00410
R00919	map00640,map00720,map01100,map01120,map01200,rn00640,rn00720,rn01100,rn01120,rn01200
R00931	map00640,map01100,map01120,map01200,rn00640,rn01100,rn01120,rn01200
R00932	map00660,map01100,rn00660,rn01100
R00941	map00670,map01100,rn00670,rn01100
R00944	map00630,map00670,map01100,rn00630,rn00670,rn01100
R00946	map00270,map00670,map01100,map01110,map01230,rn00270,rn00670,rn01100,rn01110,rn01230
R00948	map00500,map00520,map01100,map01110,map01250,rn00500,rn00520,rn01100,rn01110,rn01250
R00949	map00500,map01100,rn00500,rn01100
R00954	map00500,map00520,map01100,map01250,rn00500,rn00520,rn01100,rn01250
R00955	map00052,map00520,map01100,map01250,rn00052,rn00520,rn01100,rn01250
R00956	map00500,map00520,map00541,map01100,map01250,rn00500,rn00520,rn00541,rn01100,rn01250
R00965	map00240,map01100,map01240,rn00240,rn01100,rn01240
R00966	map00240,map01100,map01232,rn00240,rn01100,rn01232
R00980	map00627,map01120,rn00627,rn01120
R00982	map00405,map00627,map00998,map01100,map01110,map01120,rn00405,rn00627,rn00998,rn01100,rn01110,rn01120
R00983	map00380,rn00380
R00984	map00996,map01110,rn00996,rn01110
R00997	map00270,map01100,rn00270,rn01100
R00998	map00620,rn00620
R01001	map00260,map00270,map00670,map01100,map01110,map01230,rn00260,rn00270,rn00670,rn01100,rn01110,rn01230
R01011	map00561,map00680,map01100,map01120,map01200,rn00561,rn00680,rn01100,rn01120,rn01200
R01012	map00561,map01100,rn00561,rn01100
R01013	map00564,rn00564
R01015	map00010,map00051,map00562,map00710,map01100,map01110,map01120,map01200,map01230,rn00010,rn00051,rn00562,rn00710,rn01100,rn01110,rn01120,rn01200,rn01230
R01016	map00640,map01100,map01120,rn00640,rn01100,rn01120
R01021	map00552,map00564,map01100,rn00552,rn00564,rn01100
R01023	map00564,rn00564
R01025	map00260,map00670,map01100,rn00260,rn00670,rn01100
R01034	map00561,map01100,rn00561,rn01100
R01039	map00561,map01100,rn00561,rn01100
R01049	map00030,map00230,map01100,map01110,map01120,map01200,map01230,rn00030,rn00230,rn01100,rn01110,rn01120,rn01200,rn01230
R01053	map00230,map01100,rn00230,rn01100
R01055	map00240,map01100,rn00240,rn01100
R01056	map00030,map00710,map01100,map01110,map01120,map01200,map01230,rn00030,rn00710,rn01100,rn01110,rn01120,rn01200,rn01230
R01058	map00010,map00030,map01100,map01120,map01200,rn00010,rn00030,rn01100,rn01120,rn01200
R01059	map00051,rn00051
R01064	map00052,map01100,rn00052,rn01100
R01066	map00030,map01100,rn00030,rn01100
R01069	map00052,map01100,rn00052,rn01100
