rn:R01708	ko:K05275
rn:R01712	ko:K18608
rn:R01714	ko:K01736
rn:R01715	ko:K01850
rn:R01715	ko:K04092
rn:R01715	ko:K04093
rn:R01715	ko:K04516
rn:R01715	ko:K06208
rn:R01715	ko:K06209
rn:R01715	ko:K13853
rn:R01715	ko:K14170
rn:R01715	ko:K14187
rn:R01716	ko:K01664
rn:R01716	ko:K01665
rn:R01716	ko:K03342
rn:R01716	ko:K13950
rn:R01717	ko:K01851
rn:R01717	ko:K02361
rn:R01717	ko:K02552
rn:R01717	ko:K14759
rn:R01720	ko:K20445
rn:R01720	ko:K20446
rn:R01720	ko:K20447
rn:R01720	ko:K20448
rn:R01721	ko:K28670
rn:R01724	ko:K00763
rn:R01728	ko:K00220
rn:R01728	ko:K04517
rn:R01728	ko:K14187
rn:R01728	ko:K24018
rn:R01730	ko:K00211
rn:R01737	ko:K00851
rn:R01737	ko:K25031
rn:R01751	ko:K07246
rn:R01754	ko:K12446
rn:R01759	ko:K00011
rn:R01759	ko:K26066
rn:R01761	ko:K01804
rn:R01771	ko:K00872
rn:R01771	ko:K02203
rn:R01771	ko:K02204
rn:R01776	ko:K00641
rn:R01776	ko:K00651
rn:R01776	ko:K19726
rn:R01777	ko:K00641
rn:R01777	ko:K00651
rn:R01782	ko:K22397
rn:R01797	ko:K01521
rn:R01801	ko:K00995
rn:R01802	ko:K00999
rn:R01811	ko:K01639
rn:R01812	ko:K03793
rn:R01818	ko:K01840
rn:R01818	ko:K15778
rn:R01818	ko:K16881
rn:R01818	ko:K17497
rn:R01825	ko:K03472
rn:R01826	ko:K01626
rn:R01826	ko:K03856
rn:R01826	ko:K13853
rn:R01836	ko:K04119
rn:R01836	ko:K05296
rn:R01836	ko:K13368
rn:R01836	ko:K13369
rn:R01836	ko:K13370
rn:R01838	ko:K04119
rn:R01838	ko:K05296
rn:R01838	ko:K10207
rn:R01844	ko:K11214
rn:R01855	ko:K25500
rn:R01856	ko:K01129
rn:R01868	ko:K00254
rn:R01869	ko:K02823
rn:R01869	ko:K17828
rn:R01872	ko:K05887
rn:R01872	ko:K09484
rn:R01872	ko:K25901
rn:R01873	ko:K05358
rn:R01881	ko:K00933
rn:R01881	ko:K27382
rn:R01883	ko:K00542
rn:R01884	ko:K01470
rn:R01895	ko:K00039
rn:R01896	ko:K00008
rn:R01896	ko:K05351
rn:R01898	ko:K09988
rn:R01903	ko:K25880
rn:R01904	ko:K03331
rn:R01904	ko:K25879
rn:R01904	ko:K28606
rn:R01908	ko:K01577
rn:R01928	ko:K04628
rn:R01931	ko:K01011
rn:R01931	ko:K02439
rn:R01939	ko:K00825
rn:R01939	ko:K00838
rn:R01939	ko:K05825
rn:R01939	ko:K26062
rn:R01951	ko:K00976
rn:R01951	ko:K25314
rn:R01951	ko:K25315
rn:R01960	ko:K00486
rn:R01967	ko:K00893
rn:R01967	ko:K00904
rn:R01967	ko:K05961
rn:R01967	ko:K15518
rn:R01967	ko:K25641
rn:R01978	ko:K01641
rn:R01980	ko:K18677
rn:R01990	ko:K12255
rn:R01990	ko:K27001
rn:R01993	ko:K01465
rn:R01993	ko:K11540
rn:R02003	ko:K00787
rn:R02003	ko:K00795
rn:R02003	ko:K00804
rn:R02003	ko:K13787
rn:R02003	ko:K13789
rn:R02004	ko:K15097
rn:R02007	ko:K15098
rn:R02009	ko:K12467
rn:R02009	ko:K21925
rn:R02016	ko:K00384
rn:R02021	ko:K00390
rn:R02035	ko:K01057
rn:R02035	ko:K07404
rn:R02035	ko:K13937
rn:R02036	ko:K01690
rn:R02037	ko:K05929
rn:R02050	ko:K00827
rn:R02055	ko:K01613
rn:R02056	ko:K00551
rn:R02056	ko:K00570
rn:R02056	ko:K16369
rn:R02058	ko:K00621
rn:R02060	ko:K03431
rn:R02060	ko:K28126
