rn:R02755	ko:K03340
rn:R02765	ko:K05606
rn:R02776	ko:K19652
rn:R02777	ko:K00067
rn:R02777	ko:K23987
rn:R02781	ko:K05957
rn:R02782	ko:K03335
rn:R02783	ko:K01925
rn:R02786	ko:K05362
rn:R02788	ko:K01928
rn:R02788	ko:K15792
rn:R02799	ko:K04119
rn:R02804	ko:K00376
rn:R02821	ko:K00544
rn:R02832	ko:K08081
rn:R02852	ko:K01844
rn:R02852	ko:K18011
rn:R02855	ko:K00004
rn:R02855	ko:K03366
rn:R02858	ko:K15996
rn:R02859	ko:K15995
rn:R02863	ko:K10811
rn:R02864	ko:K02302
rn:R02864	ko:K02304
rn:R02864	ko:K03794
rn:R02874	ko:K00511
rn:R02901	ko:K22906
rn:R02914	ko:K01712
rn:R02918	ko:K01866
rn:R02921	ko:K21030
rn:R02921	ko:K21031
rn:R02921	ko:K21681
rn:R02927	ko:K21621
rn:R02928	ko:K21620
rn:R02937	ko:K22601
rn:R02973	ko:K08069
rn:R02978	ko:K04708
rn:R02985	ko:K01188
rn:R02985	ko:K05349
rn:R02985	ko:K05350
rn:R02985	ko:K13031
rn:R02986	ko:K16876
rn:R02987	ko:K16877
rn:R02987	ko:K16878
rn:R02987	ko:K16879
rn:R02992	ko:K18610
rn:R03013	ko:K01089
rn:R03013	ko:K04486
rn:R03013	ko:K05602
rn:R03013	ko:K18649
rn:R03015	ko:K00200
rn:R03015	ko:K00201
rn:R03015	ko:K00202
rn:R03015	ko:K00203
rn:R03015	ko:K00204
rn:R03015	ko:K00205
rn:R03015	ko:K11260
rn:R03015	ko:K11261
rn:R03023	ko:K21726
rn:R03023	ko:K21727
rn:R03025	ko:K00440
rn:R03025	ko:K00441
rn:R03025	ko:K00442
rn:R03025	ko:K00443
rn:R03028	ko:K01615
rn:R03028	ko:K20509
rn:R03028	ko:K23351
rn:R03028	ko:K23352
rn:R03030	ko:K18014
rn:R03031	ko:K14534
rn:R03032	ko:K01683
rn:R03033	ko:K01684
rn:R03033	ko:K05308
rn:R03035	ko:K00954
rn:R03035	ko:K02201
rn:R03035	ko:K02318
rn:R03037	ko:K01252
rn:R03057	ko:K01254
rn:R03059	ko:K00807
rn:R03062	ko:K01060
rn:R03064	ko:K12747
rn:R03069	ko:K20452
rn:R03069	ko:K20453
rn:R03070	ko:K20451
rn:R03072	ko:K19104
rn:R03073	ko:K19105
rn:R03075	ko:K09756
rn:R03083	ko:K01735
rn:R03083	ko:K13829
rn:R03083	ko:K13830
