category	alpha_global	alpha_global_se	alpha_global_ci99_low	alpha_global_ci99_high	beta_global_log	beta_global_log_se	beta_global_ci99_low	beta_global_ci99_high	n_genomes_used	r_squared	p_value
map00010	0.2245053155770003	0.017245162104285817	0.18008177799636002	0.26892885315764053	-0.5475000326066013	0.14215200908858805	-0.9136836080188041	-0.18131645719439848	2164	0.07269206102571335	0.0
map00020	0.430535643095357	0.024666303406463305	0.36699524552030754	0.4940760406704065	-2.743772712972199	0.20405458537110766	-3.269417324888172	-2.2181281010562257	2004	0.13207700345901963	0.0
map00030	0.40981647571890595	0.013700480500748641	0.37452403794897743	0.44510891348883447	-1.700339951378179	0.11293317029339105	-1.9912557980539543	-1.4094241047024036	2164	0.29271548173662865	0.0
map00040	0.556110269136703	0.029367058492676262	0.48046072645956894	0.6317598118138371	-3.3940080137507325	0.24208422746436853	-4.017616983698946	-2.7703990438025192	2163	0.1423215498631285	0.0
map00051	0.4793705053307957	0.025354198511481525	0.4140580899652193	0.5446829206963721	-3.387175059084095	0.20922520728987132	-3.9261391930628036	-2.8482109251053864	2134	0.143593731947123	0.0
map00052	0.3923093295698967	0.03024867457350562	0.31438874386854626	0.4702299152712472	-2.4812370192223447	0.24987084010054875	-3.124904303321358	-1.837569735123331	2009	0.07732927559608316	0.0
map00053	0.35221939563428767	0.03780527799350277	0.2548329995230245	0.4496057917455508	-2.5698577664924316	0.31962165220833144	-3.3932031425810933	-1.7465123904037698	1004	0.07972112093819905	0.0
map00061	0.17751682496396923	0.05446956577615498	0.03720322352459399	0.31783042640334447	-1.474298804644838	0.46585972356820243	-2.6743534525565273	-0.2742441567331484	122	0.08131257983436746	0.0011573422945261314
map00130	0.018374710694416232	0.0504152108860608	-0.11149487254807638	0.14824429393690886	0.5573572178741253	0.416735697134477	-0.5161539379442874	1.630868373692538	1184	0.0001123703057243075	0.9189106155904656
map00220	0.8413611405720048	0.02702538585964464	0.7717437465975603	0.9109785345464494	-5.764047796493883	0.22305636015265987	-6.338640980247135	-5.189454612740631	2127	0.3132350143939401	0.0
