category	alpha_global	alpha_global_se	alpha_global_ci99_low	alpha_global_ci99_high	beta_global_log	beta_global_log_se	beta_global_ci99_low	beta_global_ci99_high	n_genomes_used	r_squared	p_value
R00004	0.032856444266170654	0.0134788492438175	-0.001865071385903229	0.06757795991824453	-0.20917516291459756	0.1111371750142899	-0.4954645257514083	0.07711419992221322	1445	0.0041009500493289774	0.022758434194292132
R00005	0.08890548569717799	0.02760902115615571	0.01778464719892088	0.1600263241954351	-0.7122044829501625	0.236487719819607	-1.3213968492054702	-0.10301211669485477	378	0.026838135160107468	0.0013584819354006683
R00013	0.010716134252052154	0.012087264663452203	-0.020420659521000722	0.041852928025105034	-0.08894407887216174	0.10550011182893049	-0.36071236694348663	0.18282420919916317	305	0.0025873339014880203	0.6062999363196693
R00036	0.04965112361209895	0.007460827674521608	0.03043203152253129	0.06887021570166661	-0.38633993613554496	0.061963776852253696	-0.5459586253069505	-0.22672124696413942	1915	0.022627129068955698	5.693223670277803e-13
R00048	-0.001202777981323043	0.042966774837030174	-0.11188518996151277	0.10947963399886669	0.023203489419825106	0.37058182356320485	-0.9314152880789907	0.9778222669186408	54	1.5069385325361395e-05	1.0004987434738137
R00053	0.04779225160043233	0.030278154247267985	-0.03020427374053001	0.12578877694139468	-0.3611969687237995	0.24714242228553232	-0.9978358485313308	0.2754419110837318	74	0.03344641904995982	0.2047181777502205
R00066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	185	0.0	
R00075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17	0.0	
R00084	0.1459198055623167	0.008842789218251714	0.1231407805361003	0.16869883058853313	-1.1732072283495594	0.07343623767467565	-1.3623789765995238	-0.984035480099595	1908	0.12500631696768438	0.0
R00090	0.2910469642868797	0.06774206151997261	0.11654341381143024	0.46555051476232917	-2.180596746649536	0.545428226893966	-3.5856198591283923	-0.7755736341706796	252	0.06875927390508374	7.878320860132959e-06
R00103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28	0.0	
R00104	-0.09226606870308024	0.017065252346294506	-0.1362261587471349	-0.04830597865902559	0.8738010128629856	0.14183403587155022	0.5084365364578722	1.239165489268099	1489	0.019279374701653973	1.9999999917220654
R00114	0.12494508750832148	0.05873330906618784	-0.02635191664617839	0.2762420916628213	-0.910105996395296	0.47138135476622484	-2.124384366273091	0.30417237348249926	230	0.019462507308346755	0.0560763139902003
R00125	0.00524388947193935	0.0062573740400767965	-0.010875106055298477	0.021362884999177177	-0.04015620850283875	0.05213359565180395	-0.1744523509018857	0.09413993389620823	594	0.0011849123162164243	0.6394810897673644
R00130	-0.007917940887493839	0.0025909445690356285	-0.01459221409732962	-0.0012436676776580594	0.06903973672846273	0.021358988113414183	0.014018983348307791	0.12406049010861767	2158	0.004313028567396016	1.9973824070022104
R00138	0.18429655229820643	0.04352350084918675	0.07218001411070137	0.2964130904857115	-1.5029603524417696	0.3652825357320704	-2.443928164487583	-0.5619925403959561	114	0.13799916088134356	1.1031418811091598e-05
R00161	0.0025811828876502745	0.0014841086986992988	-0.0012418811201991191	0.006404246895499668	-0.02014126855673577	0.012224862234475928	-0.05163251367274575	0.011349976559274218	1904	0.0015878354159100105	0.14577521416152361
R00178	-0.0031811224604686634	0.026327126553482315	-0.0709998004622391	0.06463755554130178	0.11510253994944603	0.21909860660149186	-0.449295470655997	0.679500550554889	619	2.3662379388667e-05	1.0092516081110832
R00182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	647	0.0	
R00199	0.037775323413726296	0.01561272926969983	-0.0024430671850204713	0.07799371401247307	-0.27681310983693375	0.1301971858657912	-0.6122010606272119	0.05857484095334442	844	0.006904585465048796	0.024069165664594383
R00206	0.07258517627870555	0.009929299773566838	0.04700730006199737	0.09816305249541372	-0.5728976168628208	0.08207829357258727	-0.7843313011058056	-0.361463932619836	800	0.06276319860092816	1.7763568394002505e-15
R00207	0.25763783322841066	0.21089982514961395	-0.2856401163569949	0.8009157828138163	-1.7925966509953946	1.627051721108109	-5.983881884569884	2.3986885825790947	69	0.02178837560399771	0.38672126613146296
