environment	category	r_squared
Aquatic	K00005	0.0679830534660987
Aquatic	K00014	0.0905281828739603
Aquatic	K00021	0.0598905316416626
Aquatic	K00077	0.0518713948754376
Aquatic	K00228	0.1124778429132772
Aquatic	K00299	0.0715508586098981
Aquatic	K00450	0.2019309410597591
Aquatic	K00456	0.316323796809794
Aquatic	K00587	0.1180489887129527
Aquatic	K00640	0.0720769291501716
Aquatic	K00672	0.3470271047894558
Aquatic	K00787	0.3565606090211426
Aquatic	K00795	0.3565606090211426
Aquatic	K00863	0.0575252156273539
Aquatic	K00883	0.0847708411667196
Aquatic	K00884	0.0672215366715413
Aquatic	K01433	0.0584272300468635
Aquatic	K01455	0.0844671156909334
Aquatic	K01458	0.0688677618410549
Aquatic	K01477	0.0628409247615364
Aquatic	K01480	0.0915367304910084
Aquatic	K01497	0.0991147815021159
Aquatic	K01643	0.3070002393669286
Aquatic	K01644	0.3070002393669286
Aquatic	K01646	0.3070002393669286
Aquatic	K01655	0.0977003399948851
Aquatic	K01666	0.0602977346860714
Aquatic	K01686	0.0759210739189419
Aquatic	K01711	0.0503431922490524
Aquatic	K01746	0.0581895656420201
Aquatic	K01841	0.1734426729646995
Aquatic	K01847	0.099331147192622
Aquatic	K01848	0.099331147192622
Aquatic	K01849	0.099331147192622
Aquatic	K01851	0.1095977854141937
Aquatic	K01858	0.1043350047979007
Aquatic	K01915	0.1199194494667863
Aquatic	K01919	0.0912695078138465
Aquatic	K02230	0.0549643660451046
Aquatic	K02302	0.0674986375872233
Aquatic	K02304	0.0674986375872233
Aquatic	K02361	0.1095977854141937
Aquatic	K02552	0.1095977854141937
Aquatic	K02594	0.0977003399948851
Aquatic	K02636	0.1286028946708861
Aquatic	K02805	0.0688448352971357
Aquatic	K02858	0.0686679696994433
Aquatic	K03430	0.0959839059536784
Aquatic	K03785	0.0599859118668191
Aquatic	K03786	0.0599859118668191
Aquatic	K03921	0.2565230913327773
Aquatic	K03922	0.2565230913327773
Aquatic	K05887	0.0905281828739603
Aquatic	K06048	0.0912695078138465
Aquatic	K07749	0.3919814888102839
Aquatic	K08323	0.0759210739189419
Aquatic	K09882	0.0549643660451046
Aquatic	K09883	0.0549643660451046
Aquatic	K10977	0.0977003399948851
Aquatic	K11204	0.0912695078138465
Aquatic	K11205	0.0912695078138465
Aquatic	K13562	0.0715508586098981
Aquatic	K13990	0.0581895656420201
Aquatic	K14541	0.0657034306258176
Aquatic	K14652	0.0978846918799904
Aquatic	K15918	0.0684524165015284
Aquatic	K16047	0.0916524213763054
Aquatic	K16048	0.0916524213763054
Aquatic	K16953	0.0607238974801718
Aquatic	K18126	0.0847708411667196
Aquatic	K18365	0.0602977346860714
Aquatic	K19285	0.0715508586098981
Aquatic	K19286	0.0715508586098981
Aquatic	K19670	0.2168665846555032
Aquatic	K19726	0.0937464595723468
Aquatic	K22251	0.0679830534660987
Aquatic	K22373	0.1226769375812818
Aquatic	K23304	0.0720769291501716
Aquatic	K23999	0.1734426729646995
