environment	category	r_squared
Aquatic	map00020	0.0509282144537911
Aquatic	map00030	0.2485836162897209
Aquatic	map00040	0.0796519141606759
Aquatic	map00051	0.05216316893557
Aquatic	map00053	0.1240681884639323
Aquatic	map00061	0.2565230913327773
Aquatic	map00220	0.1251828462284984
Aquatic	map00230	0.0974492901429423
Aquatic	map00240	0.0507577618125506
Aquatic	map00250	0.0795498352994334
Aquatic	map00260	0.1436674417163821
Aquatic	map00270	0.1203955098153444
Aquatic	map00280	0.0997969112596628
Aquatic	map00340	0.1946981007018663
Aquatic	map00350	0.1580794074081195
Aquatic	map00362	0.1580312713190679
Aquatic	map00400	0.0585392339441523
Aquatic	map00430	0.1240626175328005
Aquatic	map00460	0.0844671156909334
Aquatic	map00480	0.0912732894853622
Aquatic	map00500	0.0591322767344595
Aquatic	map00520	0.0868987067835422
Aquatic	map00541	0.0663340593862061
Aquatic	map00561	0.1183937344769473
Aquatic	map00562	0.0828907676116266
Aquatic	map00620	0.2180742278577048
Aquatic	map00621	0.0602977346860714
Aquatic	map00622	0.0602977346860714
Aquatic	map00630	0.1689895801697414
Aquatic	map00640	0.0589538686153079
Aquatic	map00643	0.0870675302570087
Aquatic	map00670	0.1700165948255314
Aquatic	map00680	0.1094807326390656
Aquatic	map00710	0.0500337733171777
Aquatic	map00720	0.1648819200264574
Aquatic	map00740	0.1976439563551599
Aquatic	map00760	0.1396211343186951
Aquatic	map00770	0.0605214895592812
Aquatic	map00790	0.0740791545621772
Aquatic	map00791	0.0657034306258176
Aquatic	map00860	0.1827110807768767
Aquatic	map00910	0.1655972781837247
Aquatic	map00920	0.1317961862036013
Aquatic	map00970	0.0506592055428815
Aquatic	map00998	0.0643139008760397
Aquatic	map01040	0.2565230913327773
Aquatic	map01053	0.142918915461829
Aquatic	map01100	0.4095246173647106
Aquatic	map01110	0.2890256744751507
Aquatic	map01120	0.338937862657203
Aquatic	map01200	0.238824533740705
Aquatic	map01210	0.0684551202397472
Aquatic	map01212	0.2565230913327773
Aquatic	map01220	0.158749360274822
Aquatic	map01230	0.1868514455613817
Aquatic	map01232	0.0870701413024128
Aquatic	map01240	0.2565794963072179
Aquatic	map01250	0.1066367831192337
Aquatic	map01310	0.0993449963294981
Terrestrial	map00030	0.1291261119130287
Terrestrial	map00040	0.0809828707879383
Terrestrial	map00052	0.174173756454404
Terrestrial	map00061	0.1047766924623688
Terrestrial	map00220	0.1872904262301193
Terrestrial	map00230	0.2701686757977178
Terrestrial	map00250	0.2635246819330683
Terrestrial	map00260	0.3612326192890552
Terrestrial	map00270	0.219329009624191
Terrestrial	map00280	0.2248297357236185
Terrestrial	map00300	0.2051886976838419
