environment	category	r_squared
Aquatic	R00090	0.2430469652912343
Aquatic	R00253	0.1199194494667863
Aquatic	R00271	0.0977003399948851
Aquatic	R00318	0.2168665846555032
Aquatic	R00362	0.3070002393669286
Aquatic	R00425	0.0991147815021159
Aquatic	R00524	0.0844671156909334
Aquatic	R00525	0.0688677618410549
Aquatic	R00586	0.0720769291501716
Aquatic	R00630	0.131462181023781
Aquatic	R00661	0.1734426729646995
Aquatic	R00750	0.0602977346860714
Aquatic	R00833	0.099331147192622
Aquatic	R00888	0.0503431922490524
Aquatic	R00893	0.316323796809794
Aquatic	R00894	0.0912695078138465
Aquatic	R00944	0.0584272300468635
Aquatic	R01011	0.0575252156273539
Aquatic	R01034	0.0679830534660987
Aquatic	R01157	0.0915367304910084
Aquatic	R01201	0.0672215366715413
Aquatic	R01450	0.1226769375812818
Aquatic	R01514	0.0684524165015284
Aquatic	R01717	0.1095977854141937
Aquatic	R01889	0.1700690139899593
Aquatic	R02003	0.3565606090211426
Aquatic	R02082	0.0598905316416626
Aquatic	R02156	0.0781426094130373
Aquatic	R02292	0.0845977717714067
Aquatic	R02302	0.0581895656420201
Aquatic	R02413	0.0905281828739603
Aquatic	R02422	0.0628409247615364
Aquatic	R02472	0.0518713948754376
Aquatic	R02574	0.0607238974801718
Aquatic	R02656	0.2019309410597591
Aquatic	R03084	0.0599859118668191
Aquatic	R03220	0.1124778429132772
Aquatic	R03370	0.2565230913327773
Aquatic	R03387	0.0847708411667196
Aquatic	R03390	0.3470271047894558
Aquatic	R03532	0.1123690387957947
Aquatic	R03817	0.1286028946708861
Aquatic	R03876	0.134308784132452
Aquatic	R04152	0.0959839059536784
Aquatic	R04438	0.0688448352971357
Aquatic	R04496	0.1180489887129527
Aquatic	R05227	0.0549643660451046
Aquatic	R05606	0.0759210739189419
Aquatic	R05706	0.0715508586098981
Aquatic	R07226	0.0647910274283837
Aquatic	R07281	0.0686679696994433
Aquatic	R07290	0.3919814888102839
Aquatic	R07324	0.1043350047979007
Aquatic	R07359	0.1442083837279039
Aquatic	R09819	0.0916524213763054
Aquatic	R12777	0.1228732589921299
Terrestrial	R00084	0.2520806086774615
Terrestrial	R00090	0.12628740687203
Terrestrial	R00114	0.0822042180676334
Terrestrial	R00206	0.0685262554726111
Terrestrial	R00253	0.2092374592295408
Terrestrial	R00262	0.5688694597830751
Terrestrial	R00271	0.0788659199765889
Terrestrial	R00318	0.3996703032439207
Terrestrial	R00412	0.1012460164755226
Terrestrial	R00424	0.0669807646961017
Terrestrial	R00425	0.2505043778211666
Terrestrial	R00451	0.222839681253997
Terrestrial	R00461	0.1030425648489313
Terrestrial	R00472	0.0831615014681921
Terrestrial	R00479	0.0531131913714523
Terrestrial	R00586	0.2115521655248676
Terrestrial	R00610	0.0747823990960073
Terrestrial	R00630	0.1420260083782755
Terrestrial	R00768	0.29900345458377
Terrestrial	R00774	0.0694912618775575
Terrestrial	R00776	0.1458529440704599
Terrestrial	R00833	0.0537154323059282
Terrestrial	R00847	0.1291504446631495
Terrestrial	R00892	0.0724351125062654
Terrestrial	R00894	0.1806050567859061
Terrestrial	R00931	0.1602651482723537
Terrestrial	R01034	0.0520075055521641
Terrestrial	R01049	0.0618437701883285
Terrestrial	R01082	0.1425560262830612
Terrestrial	R01135	0.0893512396621882
Terrestrial	R01150	0.0719258010747559
Terrestrial	R01201	0.3276891768232612
Terrestrial	R01220	0.086941493876978
Terrestrial	R01334	0.2454154525772856
Terrestrial	R01505	0.0544661526992615
Terrestrial	R01523	0.1132479919329175
Terrestrial	R01716	0.1135108661573626
Terrestrial	R01717	0.0645161965383471
Terrestrial	R01826	0.1045896862298102
Terrestrial	R02003	0.8841332956655399
Terrestrial	R02082	0.1591999924004815
Terrestrial	R02282	0.0663075339663672
Terrestrial	R02291	0.2249631655258324
Terrestrial	R02292	0.1950907969751911
Terrestrial	R02328	0.0833324905710606
