category	Z_alpha_category	Z_beta_category	n_envs_used
K00005	1.0343380747926185	0.9987689117782194	6
K00010	1.2138028882449898	1.2081849241733638	6
K00014	1.134957219693244	1.1116807424371364	8
K00019	2.455274155162459	2.3788146067048834	4
K00021	1.0431165654939119	1.02347609431824	4
K00027	1.8870843717044439	1.8767045206836026	8
K00028	1.8870843717044439	1.8767045206836026	8
K00029	1.6797560894200319	1.6708466809043936	6
K00060	0.6496138493092772	0.6412692448475404	4
K00067	0.6518125893331165	0.6548819898521399	8
K00077	1.9041368787507202	1.8286397575668873	7
K00082	1.7448043843870067	1.7052121512402472	8
K00099	1.2186164361444736	1.203918057038948	5
K00107	1.2195777016181437	1.1862071247932144	6
K00108	0.8814080033675612	0.8704885768620473	4
K00121	0.6781165380120056	0.6696701784311186	7
K00122	1.719197090938683	1.6587337909306905	8
K00123	1.719197090938683	1.6587337909306905	8
K00124	1.719197090938683	1.6587337909306905	8
K00126	1.719197090938683	1.6587337909306905	8
K00127	1.719197090938683	1.6587337909306905	8
K00133	4.692735279881192	4.645936681402037	8
K00147	1.7245618797993814	1.6150010795013503	5
K00148	1.547393298418106	1.57539837374577	3
K00156	1.1241882099352976	1.1230074734907376	3
K00158	1.205813272798024	1.2280915207152154	2
K00200	1.133992896759677	1.1393630568071367	3
K00201	1.133992896759677	1.1393630568071367	3
K00202	1.133992896759677	1.1393630568071367	3
K00203	1.133992896759677	1.1393630568071367	3
K00204	1.133992896759677	1.1393630568071367	3
K00205	1.133992896759677	1.1393630568071367	3
K00211	1.936311874021517	1.957739407054796	2
K00216	1.4347172447989125	1.406885288483384	2
K00220	1.653079671356317	1.6550755278581173	3
K00228	1.5246303251891644	1.5293343516004132	8
K00231	1.061361407838141	1.043290149991822	6
K00233	0.9342749403799118	0.9190410151141001	7
K00234	0.9342749403799118	0.9190410151141001	7
K00235	0.9342749403799118	0.9190410151141001	7
K00236	0.9342749403799118	0.9190410151141001	7
K00237	0.9342749403799118	0.9190410151141001	7
K00239	0.9342749403799118	0.9190410151141001	7
K00240	0.9342749403799118	0.9190410151141001	7
K00241	0.9342749403799118	0.9190410151141001	7
K00242	0.9342749403799118	0.9190410151141001	7
K00244	0.9342749403799118	0.9190410151141001	7
K00245	0.9342749403799118	0.9190410151141001	7
K00246	0.9342749403799118	0.9190410151141001	7
K00247	0.9342749403799118	0.9190410151141001	7
K00254	2.5036013384996045	2.556691700772172	8
K00265	1.0981971137163258	1.056175005397029	5
K00266	1.0981971137163258	1.056175005397029	5
K00288	4.273019772687421	4.139980094497564	7
K00297	1.2986313129644047	1.2484457582658635	7
K00299	2.028563976515239	2.037023598704516	8
K00300	4.273019772687421	4.139980094497564	7
K00301	1.2250992184998624	1.231624988749009	5
K00302	1.2250992184998624	1.231624988749009	5
K00303	1.2250992184998624	1.231624988749009	5
K00304	1.2250992184998624	1.231624988749009	5
K00305	1.2250992184998624	1.231624988749009	5
K00306	1.2845748267520136	1.3105943800788413	6
K00361	1.0999078606524693	1.126914588125254	7
K00362	1.099907860652469	1.1269145881252542	7
K00363	1.099907860652469	1.1269145881252542	7
K00376	1.0082706816671274	0.9941439220620213	3
K00384	1.1482682373034934	1.1386819911576498	8
K00390	1.1103545308542242	1.08648498019704	5
K00450	1.7422555505034376	1.7414027036294897	3
K00451	0.7031518894707046	0.7207300278860898	4
K00452	0.6276937709178698	0.6240850505682557	2
K00455	0.46668260207118406	0.43585605760362284	4
K00456	0.822595263724891	0.787579267951483	4
K00544	0.6572717941128113	0.6683264037924304	3
K00548	1.2693836335519368	1.2423323171292218	6
K00549	1.4145500653258962	1.422475056818103	8
K00560	1.220666466630288	1.2280671452538903	7
K00564	2.753247361419181	2.653342667710298	7
K00587	0.9952046861997511	0.9961031069513621	2
K00603	1.4200224360759621	1.3597836993355692	7
K00608	0.5275125636346626	0.5150938471154491	7
K00609	0.5275125636346626	0.5150938471154491	7
K00610	0.5275125636346626	0.5150938471154491	7
K00620	1.33705027149044	1.3076670711431	8
K00639	0.386930352539608	0.3871767908600818	4
K00640	2.464778747005433	2.414054095682764	8
K00641	1.1536506145887648	1.139917717174374	8
K00643	0.6848351897703441	0.6727839261190113	4
K00651	1.1536506145887648	1.139917717174374	8
K00652	1.526751524138145	1.5033885842677461	4
K00672	1.027515941607171	1.0041164424481417	3
K00674	1.4565416473597428	1.447106606205277	3
K00681	1.5729585525543728	1.5205139200968645	8
K00748	0.5258000751668258	0.5239487197263171	6
K00761	2.0434713568885483	2.027393513122901	7
K00763	1.3197691629750539	1.2675475818487003	7
K00764	1.333263992138546	1.3440601819587223	7
K00766	2.6259387552287214	2.5900793405149196	7
K00767	1.6902812466815373	1.5988157135723757	8
K00768	4.239351885801166	4.180879141502506	7
K00787	2.000754225350585	2.0375862278651664	3
K00788	1.3907730246889671	1.415058769931248	8
K00790	1.2451831636391055	1.2619707566702956	8
K00795	2.000754225350585	2.0375862278651664	3
K00800	4.63943610208935	4.488195637476496	6
K00804	2.366330881838747	2.2794560689280576	5
K00820	5.280865340324806	5.244589357841468	8
K00833	1.1194202335598076	1.0974053955137388	4
K00849	1.2237832202069157	1.2226361829284846	6
K00851	1.3339036857943793	1.2945968754491421	8
K00854	1.066342365683799	1.1046745906916529	8
K00855	0.9591215031469033	0.9554959343319093	4
K00858	1.4594548249926027	1.5491255018429768	8
K00859	1.1496119208347162	1.1503167555297626	5
K00863	1.120633640611062	1.1639086080475987	8
K00864	2.757100417921547	2.7245475509327752	8
K00872	0.996386247533526	1.0021358983664517	6
K00877	2.1343744975761494	2.200025434296935	8
K00878	1.0765855094098038	1.0565370948650603	8
K00884	3.6944352029593928	3.609022957019662	6
K00891	0.704161976676377	0.7033024788730822	7
K00899	1.5351137419050607	1.5223585131171973	6
K00927	0.6010287274891357	0.589140247063268	5
K00928	2.0236008954508944	1.9686146010031693	8
K00929	0.7569130242182821	0.7878757438966798	6
K00931	0.857952054781798	0.89273430810143	6
K00941	2.4110647980867217	2.4761297835964307	8
K00946	1.442965071598733	1.4665532579806937	4
K00948	2.4656298869687507	2.5019439814177558	8
K00950	2.3391194054317834	2.278631630744275	8
K00953	1.9285199524159804	1.8954672336906542	2
K00954	1.9532420177616314	1.9364611585429459	5
K00963	0.9080641199039524	0.9114626600611151	8
K00965	0.996034035123761	1.0381775209225603	6
K00966	0.31604545941292833	0.27362037185161586	5
K00971	0.31604545941292833	0.27362037185161586	5
K00972	0.571953614744481	0.5759663497552112	4
K00973	1.4996307764424293	1.464992009990373	8
K00974	1.3417334695090177	1.3795423799292146	2
K00975	1.2380131512956796	1.2597596472568209	8
K00978	0.9224829002412799	0.91428703243319	3
K00980	0.876546226260583	0.8534815071729299	4
K00991	1.1040674585401073	1.1283664566120328	6
K00995	1.5266832510572843	1.5220425987160457	8
K01003	2.2220630820455143	2.2168676032253507	7
K01006	1.3036790285852373	1.3061630950682286	4
K01007	1.1791098988614908	1.144551733132469	5
K01008	0.6966894620115156	0.6666295833539246	5
K01011	3.090942887127186	3.080137754111323	6
K01012	0.9465301725132391	0.9477947648113743	7
K01057	0.9436935236371186	0.9617781058539452	5
K01067	2.398392089097085	2.302005144360312	5
K01070	0.5477688464167784	0.5583555017329962	5
K01079	1.0049882009239937	0.949602420732164	4
K01089	1.2560423817401116	1.240751614302562	8
K01091	2.2218173058504074	2.237682855182471	6
K01117	0.6159510034576834	0.6264899370963094	2
K01129	1.1455397234568292	1.1220138361581096	7
K01433	2.432333253884129	2.324275645105992	7
K01439	1.2871761132255042	1.3104212656935326	4
K01455	1.2581627090308158	1.2378417030850568	5
K01457	1.327933148992178	1.2757469368526284	4
K01458	0.8073152155451767	0.786860374820628	6
K01465	2.3334496244139493	2.3078079227201593	7
K01468	0.6102080688643803	0.6182738682065199	5
K01469	1.4550306675415141	1.4409996898153312	8
K01477	0.6943837166305131	0.6577886191061402	7
K01479	1.0712936354646987	1.0920397889475084	7
K01480	1.3667314652606382	1.3368452368324355	7
K01484	0.6792543710505178	0.6620431959473065	3
K01491	4.273019772687421	4.139980094497564	7
K01495	1.5633130412182819	1.532257032753436	8
K01496	1.0725760429642586	1.0382585399603228	7
K01497	2.3910219142117244	2.390783096176367	8
K01498	1.7283034364030871	1.698670389194437	6
K01499	0.25657046893589225	0.2745919278063888	2
K01519	1.2447352240721035	1.3326978306643829	4
K01520	1.6261818152135128	1.6453587197573765	7
K01523	2.123760515580282	2.068184328320645	7
K01525	1.3998484707349301	1.3878661594395592	2
K01555	0.9678911115503537	0.9813453208443443	6
K01583	0.6723114318457094	0.7008487535747749	3
K01584	0.6723114318457094	0.7008487535747749	3
K01585	0.6723114318457094	0.7008487535747749	3
K01586	3.73369561342788	3.667065778257796	7
K01587	1.351576239077499	1.417236768769114	8
K01591	1.7306269350800898	1.7569033609519975	8
K01595	1.007134445489123	1.0124354016265298	6
K01607	0.581691103675372	0.5797959291561737	4
K01610	1.8856466473411062	1.8741607753394975	5
K01611	1.4117623161246025	1.4140526131361533	6
K01613	1.6647949855925213	1.6411829784335934	8
K01619	1.0052441867622386	0.9685629399356521	8
K01626	2.305058465583313	2.2509673704412614	8
K01627	1.5540048215158326	1.5285059098961997	7
K01631	0.9413870828328429	0.9140933230063328	4
K01635	0.561076231970945	0.5677564896704611	3
K01637	1.4024500667991229	1.3880030614414112	8
K01638	1.0792867617195279	1.0207773158851146	8
K01641	0.27396340597034885	0.2515385015953166	2
K01643	1.0037010813119076	1.012617683230002	6
K01644	1.0037010813119076	1.012617683230002	6
K01646	1.0037010813119076	1.012617683230002	6
K01647	1.3722539754691405	1.3765792600943414	5
K01649	1.4053756378169022	1.3989165504012442	8
K01655	0.7596422332810808	0.7371482055451803	3
K01659	1.3942102738114084	1.3604634555953712	7
K01662	3.734275823923276	3.700274820202755	8
K01664	1.8501133331992943	1.8750996030656937	8
K01665	1.8501133331992943	1.8750996030656937	8
K01666	1.047910816662084	1.0228251175830878	7
K01675	1.7047347542730082	1.67630468101612	8
K01676	1.7047347542730082	1.67630468101612	8
K01677	1.7047347542730082	1.67630468101612	8
K01678	1.7047347542730082	1.67630468101612	8
K01679	1.7047347542730082	1.67630468101612	8
K01682	1.0123513322153717	0.9915585480393196	2
K01684	0.6383300777998102	0.6610547957642624	4
K01686	1.4917460917969891	1.4785561274096741	7
K01690	0.5064434584979758	0.48663777228576677	5
K01693	0.4831438283569746	0.4758424438533443	2
K01694	1.6427342654219856	1.6609298440330937	8
K01695	1.6427342654219856	1.6609298440330937	8
K01696	1.6427342654219856	1.6609298440330937	8
K01698	1.1624052771914264	1.120693569755138	6
K01707	0.36975427371125763	0.35234349965020395	2
K01708	0.5791735232372716	0.5657318098879617	5
K01709	0.5560406586056871	0.5532373819327179	3
K01710	1.8064251796261923	1.7506987535273135	8
K01711	1.9695085755413195	1.9237851441399039	7
K01712	1.0470915830218335	1.0336167450995377	7
K01719	1.857351089626584	1.831868441741474	8
K01720	0.8899906553886442	0.900480850453977	4
K01724	1.4186072424875342	1.4096893926432328	7
K01734	0.548157283398655	0.5478905185892022	6
K01735	1.6844132919211443	1.659510225056042	7
K01736	1.920528750979493	1.8608320854020726	6
K01746	0.8165361162631499	0.8329181912059636	5
K01749	7.3676196301827295	7.247629155768994	4
K01756	0.8406243309285957	0.8544735707742057	7
K01759	0.6093517261862302	0.5953109919413222	6
K01770	0.9176277404254566	0.8853483108402921	2
K01772	1.1547418316000213	1.1908942490283163	8
K01774	1.7047347542730082	1.67630468101612	8
K01775	2.030014979102529	1.9880068397586694	8
K01776	0.6414072025955386	0.6317575677276421	7
K01778	0.5970662768160214	0.5829191955538325	7
K01783	1.7020172621753955	1.6584918558326267	8
K01790	0.9398570745729243	0.8950981419049833	8
K01798	2.030014979102529	1.9880068397586694	8
K01803	1.1890360724292484	1.138187220156355	8
K01804	0.9948845487540909	0.9663195660841133	3
K01807	1.0942062425661607	1.1228269834466507	8
K01808	1.0942062425661607	1.1228269834466507	8
K01813	0.9352753617874977	0.9147017488832346	6
K01814	1.127575951249628	1.1161135665188577	2
K01815	0.32826791349640305	0.33469126393915133	6
K01817	1.769000373646079	1.8234670785218685	8
K01819	0.25366233371432534	0.24809565683950507	2
K01820	0.9352753617874977	0.9147017488832346	6
K01823	0.852511624224236	0.8301864347102432	4
K01837	2.47492373019935	2.369105528832682	8
K01838	1.1054137775642188	1.1109862545852516	6
K01841	1.0092309953116327	1.0097885083276266	3
K01843	0.9081261741073743	0.8947024809646568	2
K01845	1.6213189495602012	1.665905800900995	7
K01846	1.9246286970839324	1.8675222680454462	3
K01847	1.3435562872981344	1.3178461234120638	7
K01848	1.3435562872981344	1.3178461234120638	7
K01849	1.3435562872981344	1.3178461234120638	7
K01850	2.877362758802071	2.8681366898774425	6
K01851	0.9860194699472441	0.9408090585700263	7
K01857	2.3126788804049627	2.2997310112902367	4
K01858	2.2346482594918613	2.1686822287914334	5
K01866	1.1972256609054908	1.1597450948784847	8
K01869	2.262131024025945	2.2027760321328023	4
K01870	1.6044545441378135	1.5513309644758893	5
K01873	4.383686529590249	4.284703127487678	4
K01893	1.221621880795293	1.2448420493965995	4
K01907	1.1238959260434145	1.1258054105681927	5
K01910	0.5674220347085784	0.5752726659100502	6
K01912	1.3066413970058564	1.3035666988944807	7
K01915	1.8479013593659162	1.8203792972332709	8
K01919	1.4888286021275674	1.3733714255213338	8
K01920	1.183191074893105	1.2091333733222214	3
K01921	1.5073993029097823	1.4435166648831337	8
K01923	3.2601571002073118	3.14430417891857	8
K01924	0.7676570515390228	0.7124052007482605	7
K01925	0.9246156211944575	0.9327105732792355	6
K01928	0.40182757162851424	0.40270578541189694	4
K01933	0.5167165178965656	0.4819468891237184	4
K01934	1.4200224360759621	1.3597836993355692	7
K01935	1.5189736435444934	1.4895748245400373	7
K01939	2.1988348249365486	2.172731629661925	8
K01941	0.8404157004352343	0.8592580950279202	5
K01945	0.676195527859461	0.6711876632348721	5
K01952	3.2853377177062817	3.290770653297939	8
K01958	1.4370749770463473	1.3986345645010054	5
K01959	1.4370749770463473	1.3986345645010054	5
K01960	1.4370749770463473	1.3986345645010054	5
K02201	1.9532420177616314	1.9364611585429459	5
K02203	1.6207215441999245	1.6074355147547328	8
K02204	0.996386247533526	1.0021358983664517	6
K02226	1.5892634097854788	1.588336611442503	5
K02230	1.6521826212086386	1.619902909050958	7
K02231	0.8115001858189457	0.8088335767748599	3
K02302	2.3393697799233637	2.3188738927128183	7
K02304	2.3393697799233637	2.3188738927128183	7
K02318	1.9679541333515571	1.9943157432139087	8
K02361	0.9860194699472441	0.9408090585700263	7
K02439	3.090942887127186	3.080137754111323	6
K02488	2.3674860119192185	2.4003379317845157	7
K02492	1.1110384606848789	1.0413882119499493	4
K02551	1.2496899326191517	1.2471468557565784	3
K02552	0.9860194699472441	0.9408090585700263	7
K02564	1.5478223267436095	1.5419601759103059	7
K02594	0.7596422332810808	0.7371482055451803	3
K02609	1.2313440097034158	1.2010894779722927	4
K02610	1.2313440097034158	1.2010894779722927	4
K02611	1.2313440097034158	1.2010894779722927	4
K02612	1.2313440097034158	1.2010894779722927	4
