category	Z_alpha_category	Z_beta_category	n_envs_used
map00010	2.4986278003048246	2.5163392495578063	8
map00020	1.2688770508692229	1.2741501601833256	8
map00030	2.1200341168354884	2.1871186717778124	8
map00040	1.3771812270934045	1.422903691063184	8
map00051	1.6726332660078995	1.658104276304398	8
map00052	1.968670797030822	1.959384429768067	8
map00053	1.7332904481609603	1.7357546270791464	8
map00061	0.7146733216294138	0.6656924444396753	3
map00130	2.4080708854373927	2.350561130981396	8
map00220	1.9301430267410655	1.9100065645449433	8
map00230	1.8937857022543503	1.8786009635443308	8
map00240	2.5124699965888166	2.5076306379356623	8
map00250	2.7305110778298944	2.7046088923948175	8
map00260	1.7221508946637911	1.7468865520733194	8
map00261	1.951447427178177	1.9490688084320544	8
map00270	1.8301964179855417	1.8222894275296961	8
map00280	1.53332381616987	1.5177060302888374	8
map00290	1.4053756378169022	1.3989165504012442	8
map00300	2.323268681278274	2.3389178053358837	8
map00310	0.8891994448468497	0.8919583745764867	5
map00330	2.299703187402601	2.3442026015247506	8
map00332	0.9874701455874833	0.9525547201189698	7
map00340	1.7001244390266592	1.7163025051295124	8
map00350	1.1607849310507206	1.1371589585975823	8
map00360	0.7837637197421734	0.7804759446812192	8
map00362	0.7168555857264215	0.7062248250972648	7
map00380	1.1549860001680452	1.1207212191137876	3
map00400	2.176081846628638	2.2041071265433487	8
map00401	1.653079671356317	1.6550755278581173	3
map00430	0.8492930730379226	0.8291453152395161	4
map00440	1.2185205772953187	1.193582310065563	7
map00450	0.6966894620115156	0.6666295833539246	5
map00460	1.2581627090308158	1.2378417030850568	5
map00470	3.6431455394854746	3.60003812480762	8
map00480	1.381833340371926	1.3879154071384787	8
map00500	2.0637623742887943	2.0803062650012603	8
map00520	2.1455695361884355	2.155221284879718	8
map00521	1.029174820596048	1.0246085672263274	8
map00523	0.9125531859001476	0.9509039074225563	8
map00525	1.508673622209168	1.472146645289376	8
map00540	0.7031567950188075	0.6871854433533592	7
map00541	2.3746126513350183	2.403446174469755	8
map00550	2.2350953554803894	2.1899194642111013	8
map00552	2.0893377084376348	1.9821688311808723	8
map00561	2.2487332042891652	2.32460530213394	8
map00562	1.734753884222138	1.679062056261543	8
map00564	2.8837294978823484	2.8360785575747833	8
map00566	0.9080641199039524	0.9114626600611151	8
map00600	1.017048597528688	1.0134629476210344	5
map00620	3.53284499901693	3.5535055962357385	8
map00621	1.047910816662084	1.0228251175830878	7
map00622	1.047910816662084	1.0228251175830878	7
map00625	1.547393298418106	1.57539837374577	3
map00626	0.7840982562893966	0.808259258977178	3
map00630	2.669768545071681	2.6624800393977126	8
map00640	1.9876430306255308	1.9062253440070602	8
map00643	0.8408817245798241	0.8381172914331404	7
map00650	2.260422669784083	2.2361625227206714	8
map00660	2.0811593965163477	1.9601322866475508	4
map00670	1.5723113965424538	1.5767382619441663	8
map00680	1.8547639962531843	1.8366271395856668	8
map00710	1.98648869344834	1.9877252848591864	8
map00720	1.5797414140532438	1.6453317518988586	8
map00730	2.026876558399946	1.9829434620379203	8
map00740	1.2448068854712027	1.2924826566239949	8
map00750	1.5345655652975483	1.430190600026148	8
map00760	1.9815105433288343	2.098845609402784	8
map00770	1.8911866927417338	1.8532730973653884	8
map00780	1.9681696837893061	1.9981392404886147	8
map00790	2.258391950492668	2.324994133220069	8
map00791	0.7500435344812761	0.7448461492735177	7
map00860	3.0499829166764574	3.1266232064966113	8
map00900	2.5187533321561024	2.55350352905607	8
map00910	1.449952916681826	1.4297397065999284	8
map00920	3.1052167159765345	3.028827727489316	8
map00970	2.7250287606125463	2.7026931382360306	8
map00984	2.536749595290889	2.4977694665256096	3
map00997	2.366330881838747	2.2794560689280576	5
map00998	2.2004951057037103	2.170752844494207	8
map01040	0.7146733216294138	0.6656924444396753	3
map01053	0.9626993375289464	0.9586012670427383	7
map01055	1.8064251796261923	1.7506987535273135	8
map01100	4.226052335988594	4.204095791646614	8
map01110	5.1578132580089715	5.1869413442863745	8
map01120	4.105229310002646	4.135947954806957	8
map01200	3.308402013759236	3.2860341893073555	8
map01210	1.5171859725568049	1.6012855226080571	8
map01212	0.7146733216294138	0.6656924444396753	3
map01220	1.119374658051134	1.1089929766241082	7
map01230	4.6206509845465416	4.6403231077626685	8
map01232	1.7809562481822234	1.8016484617794963	8
map01240	3.0199892939073036	3.0373069219306545	8
map01250	1.8358383363603346	1.8402888323997972	8
map01310	1.6902397475325914	1.7172372661519482	7
map01320	1.6381838455238136	1.584926365271164	7
