category	Z_alpha_category	Z_beta_category	n_envs_used
R00004	1.1896529043444541	1.1690882924228228	8
R00005	1.327933148992178	1.2757469368526284	4
R00036	1.1624052771914264	1.120693569755138	6
R00053	1.1316843072284912	1.1072585743908048	2
R00084	7.3676196301827295	7.247629155768994	4
R00090	1.1113810345767154	1.1153628670613016	5
R00104	1.4594548249926027	1.5491255018429768	8
R00114	1.0981971137163258	1.056175005397029	5
R00125	1.3998484707349301	1.3878661594395592	2
R00130	1.1496119208347162	1.1503167555297626	5
R00138	1.6811302140694255	1.6531043119634237	2
R00161	1.9285199524159804	1.8954672336906542	2
R00178	1.4117623161246025	1.4140526131361533	6
R00199	1.1791098988614908	1.144551733132469	5
R00206	1.3036790285852373	1.3061630950682286	4
R00207	1.205813272798024	1.2280915207152154	2
R00214	1.8870843717044439	1.8767045206836026	8
R00216	1.6797560894200319	1.6708466809043936	6
R00217	2.2220630820455143	2.2168676032253507	7
R00227	2.398392089097085	2.302005144360312	5
R00239	0.857952054781798	0.89273430810143	6
R00251	1.4550306675415141	1.4409996898153312	8
R00253	1.8479013593659162	1.8203792972332709	8
R00260	0.6414072025955386	0.6317575677276421	7
R00262	1.9246286970839324	1.8675222680454462	3
R00271	0.7596422332810808	0.7371482055451803	3
R00289	0.9080641199039524	0.9114626600611151	8
R00310	1.1547418316000213	1.1908942490283163	8
R00318	1.4861299599008677	1.4690911668403588	3
R00341	1.8856466473411062	1.8741607753394975	5
R00344	1.4370749770463473	1.3986345645010054	5
R00345	1.007134445489123	1.0124354016265298	6
R00351	1.3722539754691405	1.3765792600943414	5
R00362	1.0037010813119076	1.012617683230002	6
R00371	0.386930352539608	0.3871767908600818	4
R00401	2.030014979102529	1.9880068397586694	8
R00409	1.6890042105262792	1.6625788147726273	5
R00411	0.6837287992990901	0.6635832703117037	2
R00412	2.669414514555511	2.541127003198415	7
R00416	0.571953614744481	0.5759663497552112	4
R00424	1.5633130412182819	1.532257032753436	8
R00425	2.3910219142117244	2.390783096176367	8
R00451	3.73369561342788	3.667065778257796	7
R00461	0.9081261741073743	0.8947024809646568	2
R00472	1.0792867617195279	1.0207773158851146	8
R00479	0.9369540647937916	0.9239232157700397	5
R00480	2.0236008954508944	1.9686146010031693	8
R00494	1.5729585525543728	1.5205139200968645	8
R00497	1.183191074893105	1.2091333733222214	3
R00502	0.6793450799409017	0.687082859124995	4
R00519	1.719197090938683	1.6587337909306905	8
R00524	1.2581627090308158	1.2378417030850568	5
R00525	0.8073152155451767	0.786860374820628	6
R00527	0.5477688464167784	0.5583555017329962	5
R00566	0.6723114318457094	0.7008487535747749	3
R00582	1.0049882009239937	0.949602420732164	4
R00586	2.464778747005433	2.414054095682764	8
R00601	1.687207965438823	1.663552051784047	7
R00604	1.547393298418106	1.57539837374577	3
R00610	1.2250992184998624	1.231624988749009	5
R00617	1.442965071598733	1.4665532579806937	4
R00630	1.6412950334532117	1.5862180571794704	8
R00660	1.2451831636391055	1.2619707566702956	8
R00661	1.0092309953116327	1.0097885083276266	3
R00704	1.133250696268843	1.1412802573578769	7
R00747	0.5352607174638916	0.5326189650828539	6
R00750	1.047910816662084	1.0228251175830878	7
R00765	1.5478223267436095	1.5419601759103059	7
R00768	5.280865340324806	5.244589357841468	8
R00774	0.8404157004352343	0.8592580950279202	5
R00787	1.099907860652469	1.1269145881252542	7
R00789	1.099907860652469	1.1269145881252542	7
R00830	0.6848351897703441	0.6727839261190113	4
R00833	1.3435562872981344	1.3178461234120638	7
R00847	2.757100417921547	2.7245475509327752	8
R00856	0.876546226260583	0.8534815071729299	4
R00885	0.31604545941292833	0.27362037185161586	5
R00888	1.9695085755413195	1.9237851441399039	7
R00892	1.585528622474224	1.6038773367769967	7
R00893	0.822595263724891	0.787579267951483	4
R00894	1.4888286021275674	1.3733714255213338	8
R00931	2.7310989928390677	2.71131494964097	4
R00944	2.432333253884129	2.324275645105992	7
R00946	1.2693836335519368	1.2423323171292218	6
R00948	1.2380131512956796	1.2597596472568209	8
R00955	0.996034035123761	1.0381775209225603	6
R00956	0.9224829002412799	0.91428703243319	3
R00965	1.7306269350800898	1.7569033609519975	8
R00966	2.0434713568885483	2.027393513122901	7
R01011	1.120633640611062	1.1639086080475987	8
R01012	1.0258273637608417	1.0133761862009276	7
R01015	1.1890360724292484	1.138187220156355	8
R01016	0.548157283398655	0.5478905185892022	6
R01025	0.8814080033675612	0.8704885768620473	4
R01034	1.0343380747926185	0.9987689117782194	6
R01049	2.4656298869687507	2.5019439814177558	8
R01056	1.0942062425661607	1.1228269834466507	8
R01064	0.9413870828328429	0.9140933230063328	4
R01066	1.0052441867622386	0.9685629399356521	8
R01069	0.561076231970945	0.5677564896704611	3
R01072	1.333263992138546	1.3440601819587223	7
R01073	2.6259387552287214	2.5900793405149196	7
R01078	0.9465301725132391	0.9477947648113743	7
R01082	1.7047347542730082	1.67630468101612	8
R01083	0.8406243309285957	0.8544735707742057	7
R01092	1.2237832202069157	1.2226361829284846	6
R01123	0.852511624224236	0.8301864347102432	4
R01135	2.1988348249365486	2.172731629661925	8
R01150	1.5073993029097823	1.4435166648831337	8
R01152	0.37596388280398507	0.37055328670320953	4
R01157	1.3667314652606382	1.3368452368324355	7
R01169	0.9454943988910478	0.9254675844862117	3
R01183	1.2138028882449898	1.2081849241733638	6
R01201	3.6944352029593928	3.609022957019662	6
R01213	1.4053756378169022	1.3989165504012442	8
R01220	4.273019772687421	4.139980094497564	7
R01224	1.2986313129644047	1.2484457582658635	7
R01291	1.7805365451062307	1.7834987340191713	3
R01302	0.35303004311616776	0.35112647251118706	3
R01334	2.2218173058504074	2.237682855182471	6
R01357	1.1238959260434145	1.1258054105681927	5
R01361	2.455274155162459	2.3788146067048834	4
R01364	0.9678911115503537	0.9813453208443443	6
R01384	1.6644532359758453	1.5969410614756963	4
R01397	0.5275125636346626	0.5150938471154491	7
R01450	1.3210869043697842	1.2983885430101887	7
R01465	0.6496138493092772	0.6412692448475404	4
R01505	1.4347172447989125	1.406885288483384	2
R01512	0.6010287274891357	0.589140247063268	5
R01514	1.3089724171319206	1.3327940289413438	8
R01516	2.47492373019935	2.369105528832682	8
R01523	0.9591215031469033	0.9554959343319093	4
R01529	1.7020172621753955	1.6584918558326267	8
R01639	1.066342365683799	1.1046745906916529	8
R01688	0.7569130242182821	0.7878757438966798	6
R01714	1.920528750979493	1.8608320854020726	6
R01715	2.877362758802071	2.8681366898774425	6
R01716	1.8501133331992943	1.8750996030656937	8
R01717	0.9860194699472441	0.9408090585700263	7
R01724	1.3197691629750539	1.2675475818487003	7
R01728	1.653079671356317	1.6550755278581173	3
R01730	1.936311874021517	1.957739407054796	2
R01737	1.3339036857943793	1.2945968754491421	8
R01761	0.9948845487540909	0.9663195660841133	3
R01771	0.996386247533526	1.0021358983664517	6
R01776	0.6107043915150344	0.6175774963494164	4
R01777	0.7199338757916129	0.7199605042767029	5
R01801	1.5266832510572843	1.5220425987160457	8
R01826	2.305058465583313	2.2509673704412614	8
R01856	1.1455397234568292	1.1220138361581096	7
R01868	2.5036013384996045	2.556691700772172	8
R01889	0.9127726741108428	0.8949786487122036	2
R01931	3.090942887127186	3.080137754111323	6
R01978	0.27396340597034885	0.2515385015953166	2
R01993	2.3334496244139493	2.3078079227201593	7
R02003	2.000754225350585	2.0375862278651664	3
R02016	1.1482682373034934	1.1386819911576498	8
R02021	1.1103545308542242	1.08648498019704	5
R02035	0.9436935236371186	0.9617781058539452	5
R02036	0.5064434584979758	0.48663777228576677	5
R02055	1.6647949855925213	1.6411829784335934	8
R02060	1.0516401495908576	1.1412168116312098	4
R02061	0.7062863328444206	0.692847187801164	3
R02082	1.0431165654939119	1.02347609431824	4
R02100	1.6261818152135128	1.6453587197573765	7
R02101	1.220666466630288	1.2280671452538903	7
R02133	0.6404408090709633	0.6186005254093675	6
R02164	0.9342749403799118	0.9190410151141001	7
R02272	1.6213189495602012	1.665905800900995	7
R02279	0.36975427371125763	0.35234349965020395	2
R02282	1.9396538737813491	1.947920808839602	7
R02285	1.0712936354646987	1.0920397889475084	7
R02288	0.6102080688643803	0.6182738682065199	5
R02291	4.692735279881192	4.645936681402037	8
R02292	2.592701679417479	2.57660077884686	8
R02293	1.8133238828975993	1.7822975488644428	4
R02301	1.4200224360759621	1.3597836993355692	7
R02302	0.8165361162631499	0.8329181912059636	5
R02328	1.4996307764424293	1.464992009990373	8
R02343	1.150041536509132	1.1379070416960848	6
R02412	0.704161976676377	0.7033024788730822	7
R02413	1.134957219693244	1.1116807424371364	8
R02422	0.6943837166305131	0.6577886191061402	7
R02426	0.5560406586056871	0.5532373819327179	3
R02437	0.9352753617874977	0.9147017488832346	6
R02472	1.9041368787507202	1.8286397575668873	7
R02519	0.7031518894707046	0.7207300278860898	4
R02530	0.6093517261862302	0.5953109919413222	6
R02539	1.3066413970058564	1.3035666988944807	7
R02541	0.6159510034576834	0.6264899370963094	2
R02574	1.0941637542819211	1.0941798861590857	3
R02656	1.7422555505034376	1.7414027036294897	3
R02665	0.6276937709178698	0.6240850505682557	2
R02715	1.2195777016181437	1.1862071247932144	6
R02720	0.7069034412398494	0.728888236280964	2
R02722	1.6427342654219856	1.6609298440330937	8
R02728	1.1054137775642188	1.1109862545852516	6
R02734	1.2871761132255042	1.3104212656935326	4
R02735	0.5970662768160214	0.5829191955538325	7
R02777	0.6518125893331165	0.6548819898521399	8
R02782	1.587908003518243	1.5483611411189808	5
R02783	0.9246156211944575	0.9327105732792355	6
R02788	0.40182757162851424	0.40270578541189694	4
R02804	1.0082706816671274	0.9941439220620213	3
R02807	0.8145529020503616	0.7809810182817214	5
R02813	1.3008957205446774	1.2610769048675157	6
R02821	0.6572717941128113	0.6683264037924304	3
R02864	1.6430984322654976	1.6171760299400502	7
R02914	1.0470915830218335	1.0336167450995377	7
R02918	1.1972256609054908	1.1597450948784847	8
R03013	0.9135695068141678	0.9284040363657688	8
R03015	1.133992896759677	1.1393630568071367	3
R03033	0.6383300777998102	0.6610547957642624	4
R03035	1.9532420177616314	1.9364611585429459	5
R03083	1.6844132919211443	1.659510225056042	7
R03084	2.528691758085512	2.473790830301424	8
R03145	1.1241882099352976	1.1230074734907376	3
R03165	1.857351089626584	1.831868441741474	8
R03182	1.5189736435444934	1.4895748245400373	7
R03193	0.7676570515390228	0.7124052007482605	7
R03210	1.526751524138145	1.5033885842677461	4
R03220	1.5246303251891644	1.5293343516004132	8
R03222	1.061361407838141	1.043290149991822	6
R03223	1.3907730246889671	1.415058769931248	8
R03231	1.1194202335598076	1.0974053955137388	4
R03240	0.25366233371432534	0.24809565683950507	2
R03254	1.5540048215158326	1.5285059098961997	7
R03303	0.46668260207118406	0.43585605760362284	4
R03307	2.3126788804049627	2.2997310112902367	4
R03313	1.7245618797993814	1.6150010795013503	5
R03348	1.6902812466815373	1.5988157135723757	8
R03370	0.7146733216294138	0.6656924444396753	3
R03390	1.027515941607171	1.0041164424481417	3
R03457	0.4831438283569746	0.4758424438533443	2
R03458	1.7448043843870067	1.7052121512402472	8
R03459	1.7283034364030871	1.698670389194437	6
R03460	4.63943610208935	4.488195637476496	6
R03464	0.25657046893589225	0.2745919278063888	2
R03470	0.581691103675372	0.5797959291561737	4
R03471	2.4110647980867217	2.4761297835964307	8
R03503	2.3391194054317834	2.278631630744275	8
R03509	1.769000373646079	1.8234670785218685	8
R03531	0.7069034412398494	0.728888236280964	2
R03532	1.8371603281840483	1.8151161915999408	8
R03595	0.6966894620115156	0.6666295833539246	5
R03648	1.221621880795293	1.2448420493965995	4
R03656	1.6044545441378135	1.5513309644758893	5
R03657	2.262131024025945	2.2027760321328023	4
R03665	4.383686529590249	4.284703127487678	4
R03696	0.6707724691455982	0.6747222292761842	2
R03876	1.1914411068788342	1.1865811765899212	4
R03877	1.6792344151624647	1.7316133736521182	2
R03947	2.128873836056861	2.08030824752139	7
R03948	0.32188307636003594	0.32746555530956767	3
R04035	2.123760515580282	2.068184328320645	7
R04037	1.0725760429642586	1.0382585399603228	7
R04109	1.1110384606848789	1.0413882119499493	4
R04143	1.5351137419050607	1.5223585131171973	6
R04144	0.676195527859461	0.6711876632348721	5
R04148	4.239351885801166	4.180879141502506	7
R04150	1.3795862970537494	1.3699700147097886	6
R04152	1.8213450477595143	1.7991756151553637	7
R04189	0.6792543710505178	0.6620431959473065	3
R04208	0.5167165178965656	0.4819468891237184	4
R04209	1.9828792885912188	1.9933889948567616	8
