environment	category	alpha_env	alpha_env_se	alpha_env_ci99_low	alpha_env_ci99_high	beta_env_log	beta_env_log_se	n_genomes_used	r_squared	p_value
Aquatic	map00010	0.04570997768773851	0.040068112254638584	-0.05750547948021049	0.14892543485568752	0.9609041708193089	0.32802467268086527	598	0.0021788668576870895	0.436693966199438
Aquatic	map00020	0.3590299526110106	0.06632918586275714	0.18816596982854822	0.5298939353934731	-2.1747027209359633	0.5442099714783465	548	0.05092821445379114	7.932562162693557e-09
Aquatic	map00030	0.48970921387510413	0.03487540219045969	0.39987017783247997	0.5795482499177282	-2.399968713358572	0.2855136352677731	598	0.24858361628972092	0.0
Aquatic	map00040	0.5490387129286869	0.07644653159489119	0.3521124475402472	0.7459649783171266	-3.494691852474681	0.6258430231161835	598	0.07965191416067596	5.329070518200751e-15
Aquatic	map00051	0.35928217478487484	0.06321227590063029	0.1964473520648512	0.5221169975048985	-2.378430755349573	0.5178980929976664	589	0.05216316893557005	1.1703744640101377e-09
Aquatic	map00052	0.3596831920977531	0.0757333316791243	0.16459412969232892	0.5547722545031774	-2.3154911743426863	0.6205150086537838	518	0.04188274354659949	5.80294352570121e-07
Aquatic	map00053	0.5198147788747508	0.10720116566905123	0.24366457611127484	0.7959649816382268	-4.025611167394865	0.892939249874026	168	0.1240681884639323	3.1569083924765096e-07
Aquatic	map00061	0.4452314405348875	0.21022514398015843	-0.09630853035800058	0.9867714114277756	-3.599552289641356	1.788380903754315	15	0.2565230913327773	0.057526940263446624
Aquatic	map00130	0.35766420986183706	0.12469705031298636	0.036444608255584154	0.67888381146809	-2.3309317010768043	1.0263713113216437	312	0.025852447053724026	0.005313864055028539
Aquatic	map00220	0.6331415510699735	0.06861650087166199	0.4563854448245722	0.8098976573153748	-4.07759217461962	0.56175804254184	597	0.1251828462284984	0.0
Aquatic	map00230	0.2093655878326267	0.026099286636382484	0.14213382545730543	0.27659735020794796	0.8155581036221913	0.21366641636860084	598	0.09744929014294235	0.0
Aquatic	map00240	0.165316029558186	0.02928391461693897	0.08988066550495122	0.24075139361142078	0.49380183067115535	0.23973793539334434	598	0.05075776181255065	1.544467664871263e-09
Aquatic	map00250	0.20235732718528654	0.028195272874010434	0.12972630426183568	0.2749883501087374	0.2870184513215597	0.23082557762811123	598	0.07954983529943349	5.773159728050814e-15
Aquatic	map00260	0.4162602317031075	0.04162783656604526	0.3090269247089749	0.5234935386972401	-1.335579894996958	0.3407936310353316	598	0.14366744171638213	0.0
Aquatic	map00261	0.16190320839290775	0.06386883414231964	-0.0026229083577076484	0.3264293251435232	-0.9541233652491767	0.5223831576687981	562	0.0113446170734387	0.0167250899441016
Aquatic	map00270	0.42224066482153594	0.046749341792182625	0.3018143603648735	0.5426669692781984	-1.4440684690486352	0.3827217374747001	598	0.12039550981534441	0.0
Aquatic	map00280	0.47146446816339815	0.07903294238524816	0.2678756085789989	0.6750533277477975	-3.635753728851676	0.652055562172411	323	0.09979691125966283	1.4491430277985273e-10
Aquatic	map00290	0.1953303903130063	0.043335487468574796	0.08369817459395763	0.306962606032055	-1.4094249339837277	0.35558565159463373	542	0.03625924272215242	2.4145780768147773e-06
Aquatic	map00300	0.16995087223157268	0.03453693079958588	0.08098373849183946	0.2589180059713059	0.3786935664516291	0.2828509300900993	595	0.03923223457143188	2.0188559091138814e-07
Aquatic	map00310	-0.1595146880774133	0.11780821480432727	-0.4629886494133604	0.14395927325853375	1.371426345219145	0.9591373282481437	62	0.029650176885228974	1.6887503099043317
Aquatic	map00330	0.34144475395196094	0.06863666568931527	0.1646367031362848	0.5182528047676371	-1.461009357425644	0.5622079668238767	574	0.04147038253237456	1.438282055676865e-07
Aquatic	map00332	0.015625102959608932	0.023628443892676643	-0.045241768507926106	0.07649197442714396	0.6101369354882296	0.19373605321358778	535	0.0008197702560039932	0.7570005505503814
Aquatic	map00340	0.5397419197580222	0.045115294874162416	0.4235249201621798	0.6559589193538646	-2.6834762348638375	0.3695239582554444	594	0.19469810070186633	0.0
