environment	category	Z_alpha	Z_beta	n_genomes_used
Aquatic	K00005	-0.0074603529229674975	-0.04205096647455869	40
Aquatic	K00010	-2.198149378492707	2.1933855827598427	56
Aquatic	K00014	-0.6463821177090655	0.3993058755381242	443
Aquatic	K00019	-0.5722832596387547	0.5868003717098828	140
Aquatic	K00021	0.6366239126300016	-0.6609859345085803	97
Aquatic	K00027	-2.4584345805169563	2.390099930193334	364
Aquatic	K00028	-2.4584345805169563	2.390099930193334	364
Aquatic	K00029	-0.00364741090149073	0.0459956239706394	66
Aquatic	K00060	-0.26874876035045003	0.2533332426771654	167
Aquatic	K00067	0.3401777895465523	-0.37753609072402305	375
Aquatic	K00077	-2.0159082982536916	1.8792556899110733	139
Aquatic	K00082	-1.1681034612721575	0.9256158110532753	571
Aquatic	K00099	-0.2760679402173009	0.2943595718139986	499
Aquatic	K00107	-2.003034903849999	1.9304984930452884	68
Aquatic	K00108	1.50888272385485	-1.4897961668346347	133
Aquatic	K00121	-0.9033930007234462	0.8885211431046423	230
Aquatic	K00122	-0.12470017486679148	0.059767034008782	300
Aquatic	K00123	-0.12470017486679148	0.059767034008782	300
Aquatic	K00124	-0.12470017486679148	0.059767034008782	300
Aquatic	K00126	-0.12470017486679148	0.059767034008782	300
Aquatic	K00127	-0.12470017486679148	0.059767034008782	300
Aquatic	K00133	-3.4942191299061576	3.481587439603665	594
Aquatic	K00147	2.1838881880861036	-2.0532372920824673	530
Aquatic	K00148	0.884428825327668	-0.9151356230703326	51
Aquatic	K00156	-0.47394263663837366	0.48122455995941604	22
Aquatic	K00200	-0.4916477278980918	0.5236223645472093	25
Aquatic	K00201	-0.4916477278980918	0.5236223645472093	25
Aquatic	K00202	-0.4916477278980918	0.5236223645472093	25
Aquatic	K00203	-0.4916477278980918	0.5236223645472093	25
Aquatic	K00204	-0.4916477278980918	0.5236223645472093	25
Aquatic	K00205	-0.4916477278980918	0.5236223645472093	25
Aquatic	K00220	1.2547328816072616	-1.272354734385031	285
Aquatic	K00228	-0.7658290035280333	0.8656785702031924	410
Aquatic	K00231	-0.39592478113781737	0.3859113378872003	117
Aquatic	K00233	1.7713771425816747	-1.720045496547588	297
Aquatic	K00234	1.7713771425816747	-1.720045496547588	297
Aquatic	K00235	1.7713771425816747	-1.720045496547588	297
Aquatic	K00236	1.7713771425816747	-1.720045496547588	297
Aquatic	K00237	1.7713771425816747	-1.720045496547588	297
Aquatic	K00239	1.7713771425816747	-1.720045496547588	297
Aquatic	K00240	1.7713771425816747	-1.720045496547588	297
Aquatic	K00241	1.7713771425816747	-1.720045496547588	297
Aquatic	K00242	1.7713771425816747	-1.720045496547588	297
Aquatic	K00244	1.7713771425816747	-1.720045496547588	297
Aquatic	K00245	1.7713771425816747	-1.720045496547588	297
Aquatic	K00246	1.7713771425816747	-1.720045496547588	297
Aquatic	K00247	1.7713771425816747	-1.720045496547588	297
Aquatic	K00254	4.209642790768075	-4.282059504584163	570
Aquatic	K00265	-1.2699933685447589	1.300131631795394	90
Aquatic	K00266	-1.2699933685447589	1.300131631795394	90
Aquatic	K00288	-2.540743690849976	2.470752140177199	500
Aquatic	K00297	0.5213276473778734	-0.5306124385612789	493
Aquatic	K00299	0.2508772676382272	-0.40745096662309777	375
Aquatic	K00300	-2.540743690849976	2.470752140177199	500
Aquatic	K00301	-0.410661447185996	0.44596872475367333	83
Aquatic	K00302	-0.410661447185996	0.44596872475367333	83
Aquatic	K00303	-0.410661447185996	0.44596872475367333	83
Aquatic	K00304	-0.410661447185996	0.44596872475367333	83
Aquatic	K00305	-0.410661447185996	0.44596872475367333	83
Aquatic	K00306	-0.5821794839853809	0.6086328138920866	83
Aquatic	K00361	-0.9678772937919161	0.9805432236444925	235
Aquatic	K00362	-0.9678772937919154	0.9805432236444922	235
Aquatic	K00363	-0.9678772937919154	0.9805432236444922	235
Aquatic	K00376	-1.6695224824973423	1.6524812234194572	109
Aquatic	K00384	-1.8317379018452764	1.7648358896574652	567
Aquatic	K00390	-0.5406249483042944	0.5446814509347526	380
Aquatic	K00450	-1.8425742111731125	1.855476769879613	13
Aquatic	K00451	0.03298458910137751	-0.03707328583604449	88
Aquatic	K00452	-0.23214183144300032	0.25071901825352483	81
Aquatic	K00455	0.0979599596817444	-0.07245638703976195	55
Aquatic	K00456	1.6376884975554766	-1.5680328129623102	17
Aquatic	K00544	-0.5200479915987092	0.5439336614076528	27
Aquatic	K00548	0.4478638042622792	-0.4860483907272317	446
Aquatic	K00549	2.958953984045314	-3.0756302190775506	292
Aquatic	K00560	1.76192612062733	-1.789944097980628	353
Aquatic	K00564	-0.8353208722182518	0.7078330257211147	186
Aquatic	K00587	-1.3895382242204442	1.3956629362415927	11
Aquatic	K00603	1.1530360328400842	-1.1334743834189462	549
Aquatic	K00608	0.9272118801261506	-0.8890408070526273	539
Aquatic	K00609	0.9272118801261506	-0.8890408070526273	539
Aquatic	K00610	0.9272118801261506	-0.8890408070526273	539
Aquatic	K00618	-0.1765928531304461	0.19820588917733956	225
Aquatic	K00619	-0.1765928531304461	0.19820588917733956	225
Aquatic	K00620	2.2507622066847124	-2.1181969396279747	447
Aquatic	K00639	0.10265656866123775	-0.1164370625047327	274
Aquatic	K00640	-2.196409911647165	2.167542851345476	541
Aquatic	K00641	1.7870555727181867	-1.737243001801579	242
Aquatic	K00643	-0.4540275169276816	0.4628385737733412	77
Aquatic	K00651	1.7870555727181867	-1.737243001801579	242
Aquatic	K00652	-2.035069862640724	2.0083588927488334	223
Aquatic	K00672	1.0876531437772852	-1.0241067448156065	26
Aquatic	K00674	-1.2179099499028117	1.213088516462866	285
Aquatic	K00681	-2.097113017179334	2.0990270490734275	329
Aquatic	K00748	0.4142701330664182	-0.3544300045084307	437
Aquatic	K00761	0.15803782775148345	-0.2104603926066855	441
Aquatic	K00763	1.003614778116859	-1.0526146330374622	236
Aquatic	K00764	2.9238807922471284	-3.0081003088073643	509
Aquatic	K00766	-2.040139158779794	2.039526125585652	566
Aquatic	K00767	-1.723584595224395	1.636534078683614	557
Aquatic	K00768	-1.6409927668992847	1.6275650529311843	325
Aquatic	K00787	0.006001247192256008	-0.04904398613490907	11
Aquatic	K00788	-0.6068567501824584	0.6717701414330925	454
Aquatic	K00790	0.36748641346072497	-0.4416930310110646	586
Aquatic	K00795	0.006001247192256008	-0.04904398613490907	11
Aquatic	K00800	-3.7703227113577285	3.644133947024579	498
Aquatic	K00804	0.8772211910292178	-0.9649049831299792	103
Aquatic	K00820	-5.395249425165307	5.270320613324842	585
Aquatic	K00833	-1.3587967855564103	1.3513095906932338	383
Aquatic	K00849	-0.6999869510231327	0.7446991602697643	221
Aquatic	K00851	-0.6073242644801038	0.5736291097665187	202
Aquatic	K00854	0.22413129903349854	-0.34778006801521033	224
Aquatic	K00855	-0.4089331777088996	0.42626186768872226	121
Aquatic	K00858	3.0061574950922982	-3.062921890323528	323
Aquatic	K00859	-0.47016009688844934	0.4752626505097304	598
Aquatic	K00863	2.10385764196286	-2.3056156629506908	103
Aquatic	K00864	-2.222085155833744	2.0969298615140506	434
Aquatic	K00872	0.895938206839933	-0.9047956220113323	439
Aquatic	K00877	4.593265702997603	-4.680220169521013	393
Aquatic	K00878	-0.21325109589266783	0.2559773085303584	134
Aquatic	K00883	0.2699952231273868	-0.26706208664384645	11
Aquatic	K00884	-1.2102105653384407	1.16101673114931	79
Aquatic	K00891	0.033323666984835805	-0.008806723476866634	257
Aquatic	K00899	-0.09551687416611457	0.09447393891064344	49
Aquatic	K00927	-0.5123495497157433	0.5412367884096194	447
Aquatic	K00928	2.0412206897145873	-1.8797732333625257	562
Aquatic	K00929	-1.2443230509101362	1.3029575430081626	75
Aquatic	K00931	-0.31975508375652206	0.447513757874892	534
Aquatic	K00941	4.57503660495086	-4.6840942277959865	392
Aquatic	K00945	1.0023402177559264	-0.9796650777523013	63
Aquatic	K00946	-0.48164541454460763	0.3963815363335603	452
Aquatic	K00948	1.7094852070929303	-1.7733449641569146	557
Aquatic	K00950	2.4762383703526027	-2.3543600477820585	580
Aquatic	K00953	2.6192573839788693	-2.582300022009761	525
Aquatic	K00954	-1.8432445624287959	1.8097163651723478	597
Aquatic	K00963	0.005497647321532383	-0.04305585336213881	420
Aquatic	K00965	-0.3011783296687968	0.3530029497300723	202
Aquatic	K00966	0.2881012300750822	-0.27514096780124087	82
Aquatic	K00971	0.2881012300750822	-0.27514096780124087	82
Aquatic	K00972	0.41096036565768357	-0.4103533324532326	414
Aquatic	K00973	-1.6253807966105351	1.6060145746027499	452
Aquatic	K00974	-1.6887174168612737	1.7407567517570166	160
Aquatic	K00975	2.5495642062900763	-2.5511684304522815	308
Aquatic	K00978	0.5164632736515226	-0.5260837437172589	125
Aquatic	K00980	0.38128200377681243	-0.3902590891476243	17
Aquatic	K00991	1.1363758120979985	-1.1748375033422187	457
Aquatic	K00995	-0.7554992359832909	0.8795862165075465	471
Aquatic	K01003	0.9115819329716494	-0.8563804550773418	144
Aquatic	K01006	-0.09193270162338306	0.10708754767766368	222
Aquatic	K01007	0.12642906121264239	-0.09569460926615898	274
Aquatic	K01008	0.9410547416031068	-0.8712386379173614	258
Aquatic	K01011	0.9642942847426687	-1.1569103441896709	151
Aquatic	K01012	-0.9059704905232749	0.8909594763498725	429
Aquatic	K01057	-0.2925158579205108	0.32186951996852353	307
Aquatic	K01067	0.017557407232418394	-0.06715967634541992	99
Aquatic	K01070	-0.3885834674253008	0.38359742477668624	216
Aquatic	K01079	-0.7593710476138801	0.6984453884865399	329
Aquatic	K01089	0.1756687694878297	-0.24077695757816306	510
Aquatic	K01091	-1.44112262899886	1.4563232509206836	177
Aquatic	K01117	-0.4343992686611833	0.45011998449776974	15
Aquatic	K01129	0.36667444661754395	-0.32264810021325857	262
Aquatic	K01433	-1.0760322580766473	1.0388588744570766	362
Aquatic	K01439	-0.4051062907993258	0.48713412050727206	303
Aquatic	K01455	1.0920965726530112	-1.0464037706133096	43
Aquatic	K01457	-2.26447558106341	2.1876897112368137	70
Aquatic	K01458	1.1947231261736375	-1.1786841124373817	97
Aquatic	K01465	-0.1448503206587744	0.03587774137699322	446
Aquatic	K01468	0.35779404039319285	-0.36535606620948474	303
Aquatic	K01469	-0.8603509221985848	0.8180064582350668	305
