environment	category	Z_alpha	Z_beta	n_genomes_used
Aquatic	map00010	-4.09877426049675	4.219293811726491	598
Aquatic	map00020	-1.01043641666368	0.9791158566047877	548
Aquatic	map00030	2.1321818404031583	-2.2786437949712965	598
Aquatic	map00040	-0.08635095648246988	-0.15004322178348659	598
Aquatic	map00051	-1.7632182483307364	1.805960458832975	589
Aquatic	map00052	-0.40007173078825803	0.24777563336674496	518
Aquatic	map00053	1.4743767008909539	-1.5349265227763687	168
Aquatic	map00061	1.2327586845700074	-1.1499906323844702	15
Aquatic	map00130	2.522542880802589	-2.6073508142073765	312
Aquatic	map00220	-2.82343763631201	2.790194543171078	597
Aquatic	map00230	-3.766664703021695	3.668918720998594	598
Aquatic	map00240	0.31466185378542566	-0.39500865439992866	598
Aquatic	map00250	-5.264167621768409	5.153980686162075	598
Aquatic	map00260	-3.5623484578202995	3.6176016743302246	598
Aquatic	map00261	2.8734147030641655	-2.7818646781981053	562
Aquatic	map00270	-1.9236433604455425	1.8645535970716038	598
Aquatic	map00280	-0.47403934611231985	0.3848790716525541	323
Aquatic	map00290	-0.11572193535477891	0.21232855386673524	542
Aquatic	map00300	-3.9289809866732512	3.9238150470626274	595
Aquatic	map00310	-1.431902827821521	1.4095659421175772	62
Aquatic	map00330	-1.655338056884206	1.87638107747567	574
Aquatic	map00332	0.7769622356148911	-0.6361497793133642	535
Aquatic	map00340	-0.699345507604886	0.7207960954778869	594
Aquatic	map00350	-0.2551590965258095	0.24132541400923943	234
Aquatic	map00360	-1.6193399000838473	1.6157805950388289	280
Aquatic	map00362	-0.023733066821507876	0.02554680674733725	131
Aquatic	map00380	-0.94895889222649	0.937940570800719	91
Aquatic	map00400	-4.029704054187494	4.060301901269182	598
Aquatic	map00401	1.2547328816072616	-1.272354734385031	285
Aquatic	map00430	1.567734306508689	-1.5171269178949174	57
Aquatic	map00440	-2.0758087826947476	2.020880552569288	89
Aquatic	map00450	0.9410547416031068	-0.8712386379173614	258
Aquatic	map00460	1.0920965726530112	-1.0464037706133096	43
Aquatic	map00470	-5.247409185712534	5.101147934837983	598
Aquatic	map00480	-3.106524303534174	3.1306767420425685	504
Aquatic	map00500	1.8403948868102615	-1.8731734945019565	539
Aquatic	map00520	-0.36097905458664176	0.2142932978400968	598
Aquatic	map00521	-2.4314110049650233	2.4264210745717127	513
Aquatic	map00523	-1.3630372481944057	1.4750865933469037	495
Aquatic	map00525	-2.5700335683069255	2.5006785412723898	487
Aquatic	map00540	-0.7074178464494497	0.695631977582745	441
Aquatic	map00541	-2.5117280205664407	2.571812814692305	597
Aquatic	map00550	-5.390351988123486	5.252888112794105	598
Aquatic	map00552	-5.228179334095119	4.964051505697532	530
Aquatic	map00561	1.3311783714350531	-1.7160310021636245	543
Aquatic	map00562	-2.283261516641519	1.985148892090039	582
Aquatic	map00564	-0.6050914086191074	0.6890165227193253	569
Aquatic	map00566	0.005497647321532383	-0.04305585336213881	420
Aquatic	map00600	-0.32478957005150955	0.3402931522888108	25
Aquatic	map00620	-2.5674068807833854	2.721434287376882	598
Aquatic	map00621	0.556026064420014	-0.5551797166004522	77
Aquatic	map00622	0.556026064420014	-0.5551797166004522	77
Aquatic	map00625	0.884428825327668	-0.9151356230703326	51
Aquatic	map00626	-0.2034544244603741	0.21710079040722335	16
Aquatic	map00630	-3.558352499477797	3.5276388779275574	597
Aquatic	map00640	1.8170329465934132	-1.8079699142966628	500
Aquatic	map00643	-0.8866871920269805	0.836021894720509	195
Aquatic	map00650	-3.4535508589197996	3.5749214042615094	403
Aquatic	map00660	0.8638975645700548	-0.8964259391032088	23
Aquatic	map00670	-2.2173946394006943	2.3014776247558077	598
Aquatic	map00680	-0.7608331010531856	0.7860786772912239	549
Aquatic	map00710	-1.3243317201624611	1.5375994467156717	598
Aquatic	map00720	-3.1607769292293475	3.2696998854615513	598
Aquatic	map00730	-2.1784219936710305	2.0545348876647247	594
Aquatic	map00740	-1.252822754017018	1.294230518946196	598
Aquatic	map00750	0.12632592891476926	-0.20897054118975314	429
Aquatic	map00760	2.053814708742133	-2.451607369907382	587
Aquatic	map00770	-3.299455552960397	3.1375716041452906	598
Aquatic	map00780	-3.318613973989617	3.309450685772208	447
Aquatic	map00790	-1.3421852518082102	1.5421535872570549	591
Aquatic	map00791	-0.44473675648365185	0.4611212701999426	71
Aquatic	map00860	-2.6451661508223934	2.8443673903338977	597
Aquatic	map00900	-0.972594081120665	0.7572117194414401	598
Aquatic	map00910	-2.1120344297341176	2.0975888132644607	594
Aquatic	map00920	2.3710877104707326	-2.261293862963616	571
Aquatic	map00970	5.152213835521199	-5.089031734017097	598
Aquatic	map00984	0.1455708669129516	-0.16778291662160263	10
Aquatic	map00997	0.8772211910292178	-0.9649049831299792	103
Aquatic	map00998	-2.675048693621876	2.626660108614219	544
Aquatic	map01040	1.2327586845700074	-1.1499906323844702	15
Aquatic	map01053	-0.005553775844972995	-0.13091255760460954	139
Aquatic	map01055	-2.797303635008254	2.6926433872388444	478
Aquatic	map01100	-5.963531682805921	6.005522681578425	598
Aquatic	map01110	-7.837680631907841	7.968376673842264	598
Aquatic	map01120	-5.30132823366277	5.38816022658722	598
Aquatic	map01200	-1.8148205450258907	1.8513014059131387	598
Aquatic	map01210	-2.482890437799256	2.6814321725872827	595
Aquatic	map01212	1.2327586845700074	-1.1499906323844702	15
Aquatic	map01220	-0.111414242168639	0.0967289987761469	157
Aquatic	map01230	-6.869287604832435	7.010956142163891	598
Aquatic	map01232	-0.9087466611017889	0.7717828708421066	598
Aquatic	map01240	-3.33529315474816	3.413310067371791	598
Aquatic	map01250	-3.4945278902414634	3.5204712548871138	598
Aquatic	map01310	1.392721922861609	-1.3879413739522342	286
Aquatic	map01320	-1.034424008618187	1.0764382839365128	383
Terrestrial	map00010	-3.515442958688342	3.4133586762986696	479
Terrestrial	map00020	-2.480532999384727	2.4857883769115237	460
Terrestrial	map00030	-4.382727976972273	4.333827213690779	479
Terrestrial	map00040	-1.331207601563895	1.321726377714815	479
Terrestrial	map00051	-3.072866769395528	3.026386715684479	478
Terrestrial	map00052	4.159631514589316	-4.176382475213289	461
Terrestrial	map00053	-2.7250707942780372	2.6520565169893775	296
Terrestrial	map00061	-0.09267841913260626	0.07170760709108132	39
Terrestrial	map00130	-0.9527640437255956	0.8407819870561299	241
Terrestrial	map00220	-2.4495458812792203	2.410519990818996	477
Terrestrial	map00230	-1.6284971180895444	1.663361804750883	479
Terrestrial	map00240	-4.968312197601449	4.958522516292193	479
Terrestrial	map00250	0.18160204062564503	-0.20216571305450207	479
Terrestrial	map00260	-0.5548584691238593	0.48861051504384423	479
Terrestrial	map00261	-0.7080820191388447	0.6083439091363388	459
Terrestrial	map00270	-1.9530224295597993	1.8503601990114176	479
Terrestrial	map00280	1.9102226790342405	-1.8810289178834831	316
Terrestrial	map00290	0.14071291490492308	-0.1850197611013382	451
Terrestrial	map00300	-0.25583085855060067	0.2112309751958514	479
Terrestrial	map00310	0.6931737205608811	-0.7169033969006277	46
Terrestrial	map00330	-2.543655220534167	2.405795676142963	462
Terrestrial	map00332	-1.1188704809667092	1.0836665979494218	435
Terrestrial	map00340	-2.4358532938662134	2.374655880744114	477
Terrestrial	map00350	-0.25463183927655664	0.2517286773417341	288
Terrestrial	map00360	0.4675859183998376	-0.43606100448595486	333
Terrestrial	map00362	0.2983929492559402	-0.34092541385542013	232
Terrestrial	map00380	0.039116066097049304	-0.04886441290450454	64
Terrestrial	map00400	-0.6671160948145325	0.6513126080251553	479
Terrestrial	map00401	1.6251327958843356	-1.5908853831126175	207
Terrestrial	map00430	-0.2058009573935263	0.1956014741445697	101
Terrestrial	map00440	2.1674646246880043	-2.1421683996297523	96
Terrestrial	map00450	-0.36859663252291364	0.3378432694635649	207
Terrestrial	map00460	-0.8814655659560607	0.8704851957918506	63
Terrestrial	map00470	-1.590666717461617	1.54194814362574	479
Terrestrial	map00480	-1.2643869190640218	1.179940831596648	443
Terrestrial	map00500	-0.9967695417336315	1.0239683766294168	461
Terrestrial	map00520	2.756279072897064	-2.669971759260243	479
Terrestrial	map00521	0.7046578285707482	-0.6677160592648024	446
Terrestrial	map00523	-0.7617542501581392	0.7282845684548841	441
Terrestrial	map00525	2.2523098853301504	-2.209003864395093	435
Terrestrial	map00540	-0.6567900111209889	0.6290930070586886	225
Terrestrial	map00541	-4.166464350199133	4.098752348008974	479
