environment	category	Z_alpha	Z_beta	n_genomes_used
Aquatic	R00004	0.6121057820395397	-0.6058264697671679	422
Aquatic	R00005	-2.26447558106341	2.1876897112368137	70
Aquatic	R00036	-0.33482529273416095	0.3034942718316219	570
Aquatic	R00084	-9.12710262872557	8.965076967042862	564
Aquatic	R00090	0.981589597960837	-1.0898491562813795	76
Aquatic	R00104	3.0061574950922982	-3.062921890323528	323
Aquatic	R00114	-1.2699933685447589	1.300131631795394	90
Aquatic	R00125	1.4349465288693866	-1.4059457894662966	190
Aquatic	R00130	-0.47016009688844934	0.4752626505097304	598
Aquatic	R00161	2.6192573839788693	-2.582300022009761	525
Aquatic	R00178	-1.366415446285963	1.3967826537012342	231
Aquatic	R00199	0.12642906121264239	-0.09569460926615898	274
Aquatic	R00206	-0.09193270162338306	0.10708754767766368	222
Aquatic	R00214	-2.4584345805169563	2.390099930193334	364
Aquatic	R00216	-0.00364741090149073	0.0459956239706394	66
Aquatic	R00217	0.9115819329716494	-0.8563804550773418	144
Aquatic	R00227	0.017557407232418394	-0.06715967634541992	99
Aquatic	R00239	-0.31975508375652206	0.447513757874892	534
Aquatic	R00251	-0.8603509221985848	0.8180064582350668	305
Aquatic	R00253	-1.6113085855531895	1.4832434749914984	593
Aquatic	R00259	-0.1765928531304461	0.19820588917733956	225
Aquatic	R00260	-0.35280301014086873	0.22076653351409395	509
Aquatic	R00262	0.3272933302379459	-0.3826750643096205	22
Aquatic	R00271	1.246767631080711	-1.1943380011026692	79
Aquatic	R00289	0.005497647321532383	-0.04305585336213881	420
Aquatic	R00310	-0.313087757091807	0.4337478489569177	534
Aquatic	R00318	-0.5938254822630328	0.5943040923359701	14
Aquatic	R00341	-0.5614333607716631	0.6107031667291353	276
Aquatic	R00344	-1.4289279361169567	1.415376372006118	156
Aquatic	R00345	0.5805098133105105	-0.542517550548845	353
Aquatic	R00351	-1.5823972449704755	1.5248598605396073	33
Aquatic	R00362	2.389973432029176	-2.4261318711287205	18
Aquatic	R00371	0.10265656866123775	-0.1164370625047327	274
Aquatic	R00401	1.3186100742302542	-1.49180203478982	569
Aquatic	R00409	-2.732392658287509	2.660767132217017	173
Aquatic	R00411	-0.0386641649257385	0.03461478860413735	85
Aquatic	R00412	3.560702305121735	-3.346356416897415	294
Aquatic	R00416	0.41096036565768357	-0.4103533324532326	414
Aquatic	R00424	-2.3588850916564335	2.4431476791062146	469
Aquatic	R00425	-1.150039314413526	1.178088519701699	466
Aquatic	R00451	-6.295423408557921	6.098463934168312	573
Aquatic	R00461	-0.47303014564933055	0.47440600952219136	54
Aquatic	R00472	-0.5905528093788927	0.562527612801568	327
Aquatic	R00479	-0.8800360798480247	0.9094234649999783	287
Aquatic	R00480	2.0412206897145873	-1.8797732333625257	562
Aquatic	R00494	-2.097113017179334	2.0990270490734275	329
Aquatic	R00497	0.12972147788263194	-0.08515183603538641	295
Aquatic	R00502	0.01373812274478914	-0.010641981081012187	19
Aquatic	R00519	-0.12470017486679148	0.059767034008782	300
Aquatic	R00524	1.0920965726530112	-1.0464037706133096	43
Aquatic	R00525	1.1947231261736375	-1.1786841124373817	97
Aquatic	R00527	-0.3885834674253008	0.38359742477668624	216
Aquatic	R00566	0.308099722584086	-0.25684342591482395	231
Aquatic	R00582	-0.7593710476138801	0.6984453884865399	329
Aquatic	R00586	-2.196409911647165	2.167542851345476	541
Aquatic	R00601	1.3270903515904346	-1.3353824090784803	282
Aquatic	R00604	0.884428825327668	-0.9151356230703326	51
Aquatic	R00610	-0.410661447185996	0.44596872475367333	83
Aquatic	R00617	-0.48164541454460763	0.3963815363335603	452
Aquatic	R00630	-1.1271194838652592	1.1372675194716013	395
Aquatic	R00660	0.36748641346072497	-0.4416930310110646	586
Aquatic	R00661	1.7189233233128867	-1.7223982191948586	22
Aquatic	R00704	0.5606721263259757	-0.5423938128526233	166
Aquatic	R00747	-0.5269148780561693	0.5113810871454842	54
Aquatic	R00750	0.556026064420014	-0.5551797166004522	77
Aquatic	R00765	0.6154533714613414	-0.5213930950612832	175
Aquatic	R00768	-5.395249425165307	5.270320613324842	585
Aquatic	R00774	0.6099423097976931	-0.6694925198952367	59
Aquatic	R00787	-0.9678772937919154	0.9805432236444922	235
Aquatic	R00789	-0.9678772937919154	0.9805432236444922	235
Aquatic	R00805	-0.01629469298634404	-0.001566212941681889	15
Aquatic	R00830	-0.4540275169276816	0.4628385737733412	77
Aquatic	R00833	2.4678518843471418	-2.542654529974698	248
Aquatic	R00847	-2.222085155833744	2.0969298615140506	434
Aquatic	R00856	0.38128200377681243	-0.3902590891476243	17
Aquatic	R00885	0.2881012300750822	-0.27514096780124087	82
Aquatic	R00888	0.14241511301263962	-0.1608740509545609	276
Aquatic	R00892	-0.1243467957195907	0.2163230648737415	129
Aquatic	R00893	1.6376884975554766	-1.5680328129623102	17
Aquatic	R00894	-1.6750892721958455	1.5001202996856153	385
Aquatic	R00931	-4.060337371157824	4.030651528392546	155
Aquatic	R00944	-1.0760322580766473	1.0388588744570766	362
Aquatic	R00946	0.4478638042622792	-0.4860483907272317	446
Aquatic	R00948	2.5495642062900763	-2.5511684304522815	308
Aquatic	R00955	-0.3011783296687968	0.3530029497300723	202
Aquatic	R00956	0.5164632736515226	-0.5260837437172589	125
Aquatic	R00965	3.1517775717396694	-3.2158295322662505	594
Aquatic	R00966	0.15803782775148345	-0.2104603926066855	441
Aquatic	R01011	2.10385764196286	-2.3056156629506908	103
Aquatic	R01012	0.2826459979207095	-0.3440091178004543	82
Aquatic	R01015	-0.198647976293424	0.14960330547249379	582
Aquatic	R01016	0.3729486362497787	-0.4129770040582906	244
Aquatic	R01025	1.50888272385485	-1.4897961668346347	133
