category	Z_alpha_category	Z_beta_category	n_envs_used
K00005	0.532755299534496	0.49001323530653107	3
K00014	1.0889210063013846	1.0276397954466965	5
K00021	1.0431165654939116	1.02347609431824	4
K00077	1.9209203028045716	1.8332852540822662	6
K00228	1.524630325189165	1.5293343516004134	8
K00299	1.4843029306880215	1.4759713941756025	5
K00456	0.9466068835351346	0.9067288430855301	3
K00640	2.4647787470054348	2.414054095682764	8
K00672	1.0275159416071713	1.0041164424481417	3
K00787	2.000754225350586	2.0375862278651664	3
K00795	2.000754225350586	2.0375862278651664	3
K00884	2.3083019359571155	2.279060879632762	3
K01433	2.492550080888709	2.385558208090652	6
K01480	1.3936495490799357	1.3938942700481827	3
K01497	1.819476555034078	1.8188446033178685	6
K01686	1.4490071940875797	1.425669838879268	4
K01711	1.8080081654358642	1.772858599633929	5
K01851	0.9467689404723821	0.8702163688153183	5
K01858	1.3018799965722045	1.27213241940195	3
K01915	1.5035639054702743	1.46964678557848	7
K01919	1.4775341500630772	1.3377315684105586	7
K02302	2.0754217458123434	1.9884769649965326	3
K02304	2.0754217458123434	1.9884769649965326	3
K02361	0.9467689404723821	0.8702163688153183	5
K02552	0.9467689404723821	0.8702163688153183	5
K02858	2.2750340929615858	2.1973277461017338	4
K03430	1.8213450477595146	1.7991756151553633	7
K03785	2.315785047744174	2.206790399071743	5
K03786	2.315785047744174	2.206790399071743	5
K03921	0.7146733216294138	0.6656924444396753	3
K03922	0.7146733216294138	0.6656924444396753	3
K05887	1.0889210063013846	1.0276397954466965	5
K06048	1.4775341500630772	1.3377315684105586	7
K07749	1.3734540354290596	1.380903762428186	3
K08323	1.4490071940875797	1.425669838879268	4
K11204	1.4775341500630772	1.3377315684105586	7
K11205	1.4775341500630772	1.3377315684105586	7
K13562	1.4843029306880215	1.4759713941756025	5
K14652	1.9190006828591815	1.9242865960804942	7
K19285	1.4843029306880215	1.4759713941756025	5
K19286	1.4843029306880215	1.4759713941756025	5
K19670	1.5989881681926992	1.5916585515940744	2
K19726	1.3776722943208586	1.3611357751723008	6
K22251	0.532755299534496	0.49001323530653107	3
K23304	2.4647787470054348	2.414054095682764	8
K24042	1.1404984561101732	1.2051110667864304	7
K24263	1.9209203028045716	1.8332852540822662	6
K28207	2.3083019359571155	2.279060879632762	3
K28208	2.3083019359571155	2.279060879632762	3
K00133	5.124006492312048	5.068375411650661	3
K00216	1.434717244798913	1.406885288483384	2
K00288	2.8425409064665703	2.7885923319909987	2
K00300	2.8425409064665703	2.7885923319909987	2
K00767	2.1563892017870097	2.0367196198672826	3
K00768	4.269906826142511	4.212291339677762	2
K00800	2.2470310625764935	2.212328475114094	3
K00820	5.027441308321609	5.013946682317365	5
K00864	3.0040223740212086	2.997065803014748	4
K01006	1.5044228590685547	1.5069594532042814	3
K01091	2.3469980149819314	2.3631533996375804	5
K01491	2.8425409064665703	2.7885923319909987	2
K01495	1.264561749733145	1.248327584472465	5
K01586	3.733942543988039	3.7043836920241455	3
K01587	0.7213272651760099	0.7282186446410784	4
K01626	1.903148867985561	1.8616271689969732	3
K01638	1.2527058985789148	1.1810248233019853	3
K01662	4.202204226829567	4.155324872119857	3
K01675	1.8889748463574507	1.8567414668838067	5
K01676	1.8889748463574507	1.8567414668838067	5
K01677	1.8889748463574507	1.8567414668838067	5
K01678	1.8889748463574507	1.8567414668838067	5
K01679	1.8889748463574507	1.8567414668838067	5
K01719	1.5896857197856114	1.5599564245480193	4
K01749	5.468454344987471	5.4041896013655535	2
K01774	1.8889748463574507	1.8567414668838067	5
K01921	0.8294787852321976	0.8317706252453458	4
K01939	1.835066910231804	1.8087028309905298	5
K03526	6.0559651605770215	5.986116312285643	2
K03527	2.373841784378535	2.3577108746129625	5
K03856	1.903148867985561	1.8616271689969732	3
K06153	1.0412079063510897	0.9848958502749435	7
K09007	1.264561749733145	1.248327584472465	5
K12526	2.692278863744178	2.662475963293907	4
K13542	1.5896857197856114	1.5599564245480193	4
K13543	1.5896857197856114	1.5599564245480193	4
K13786	1.7855793315810131	1.7989757106127282	5
K13830	1.533237443927102	1.532835632537252	6
K13832	1.6261012629172436	1.5480410593101168	5
K19269	2.3469980149819314	2.3631533996375804	5
K19302	1.0412079063510897	0.9848958502749435	7
K22223	2.3469980149819314	2.3631533996375804	5
K22391	1.264561749733145	1.248327584472465	5
K28203	2.3469980149819314	2.3631533996375804	5
K00963	1.1374233504148406	1.1373587846162716	5
K01067	3.4485159104774223	3.295888922690347	2
K01469	1.3312196502409517	1.3061659544330555	5
K01649	1.5850310679917239	1.5857058052295192	5
K01910	0.21109309359620204	0.2095564851115982	3
K07160	1.3312196502409517	1.3061659544330555	5
K13243	1.1931173889926008	1.215823128437762	3
K13244	1.1931173889926008	1.215823128437762	3
K13245	1.1931173889926008	1.215823128437762	3
K13246	1.1931173889926008	1.215823128437762	3
K22920	1.1374233504148406	1.1373587846162716	5
K23123	1.3312196502409517	1.3061659544330555	5
K23124	1.3312196502409517	1.3061659544330555	5
K28660	1.1374233504148406	1.1373587846162716	5
K05878	1.0283014387115506	1.0489678418413038	2
K05879	1.0283014387115506	1.0489678418413038	2
K05881	1.0283014387115506	1.0489678418413038	2
