category	Z_alpha_category	Z_beta_category	n_envs_used
map00020	1.0017250188654476	1.0147433405154014	6
map00030	2.1200341168354933	2.1871186717778124	8
map00040	1.1714368565937519	1.1873281813839185	7
map00051	1.3595748367987657	1.3541186789052118	7
map00053	1.2934985454174361	1.2815344184975597	6
map00061	0.7146733216294138	0.6656924444396753	3
map00220	1.8417606120149843	1.8227033537973505	7
map00230	1.8934350042062849	1.8619925633103258	7
map00240	2.0666173829702426	2.06223152741956	6
map00250	2.730511077829897	2.7046088923948175	8
map00260	1.7221508946637927	1.7468865520733192	8
map00270	1.8301964179855434	1.8222894275296961	8
map00280	1.5698167405327907	1.5496767732218408	6
map00340	1.7001244390266608	1.7163025051295124	8
map00350	1.1328673510067362	1.1001934257283403	7
map00362	0.5671291471236531	0.5563749769605099	6
map00400	2.1760818466286387	2.2041071265433487	8
map00480	1.3818333403719267	1.3879154071384785	8
map00520	1.9973797925734111	1.9988885659463929	7
map00541	2.3746126513350196	2.403446174469755	8
map00561	2.185165292328281	2.2344634164558967	6
map00562	1.3956663357093275	1.3031287060325019	7
map00620	3.5328449990169335	3.5535055962357385	8
map00630	2.6697685450716833	2.6624800393977126	8
map00643	0.5370638740091475	0.5250176399474288	6
map00670	1.5723113965424556	1.5767382619441663	8
map00680	1.9216418777111102	1.901880238373262	7
map00710	1.9985902219378433	2.0399724432546065	5
map00720	1.579741414053245	1.6453317518988586	8
map00740	1.244806885471203	1.2924826566239949	8
map00760	1.712719481342183	1.7812745271987451	6
map00770	1.8911866927417378	1.8532730973653881	8
map00790	2.1307154666747397	2.218103301512909	7
map00860	3.2212886641122678	3.304349529710554	7
map00910	1.4499529166818261	1.4297397065999289	8
map00920	2.3391038804153825	2.3206699764175935	6
map00998	2.200495105703712	2.170752844494207	8
map01040	0.7146733216294138	0.6656924444396753	3
map01053	0.4676248199299962	0.45637613947135564	6
map01100	4.226052335988606	4.204095791646615	8
map01110	5.157813258008979	5.186941344286375	8
map01120	4.105229310002654	4.135947954806957	8
map01200	3.3084020137592396	3.286034189307356	8
map01210	1.5171859725568064	1.6012855226080571	8
map01212	0.7146733216294138	0.6656924444396753	3
map01220	1.0244294014642576	1.0118592777276756	6
map01230	4.6206509845465495	4.640323107762669	8
map01232	1.780956248182225	1.8016484617794963	8
map01240	3.01998929390731	3.0373069219306554	8
map01250	1.8358383363603363	1.840288832399797	8
map01310	0.9022194970801091	0.9192729089721215	4
map00052	3.071708797732708	3.0613401780508283	2
map00300	1.9908263657381802	2.0130988009740722	7
map00360	0.6391523358631599	0.6372119854058974	5
map00470	3.431958233883328	3.394936821232934	6
map00521	0.527193650539341	0.5369343011756995	4
map00525	1.3743519635417214	1.3454919264358054	4
map00550	1.4252999396392845	1.3996179298953817	5
map00552	1.0412079063510897	0.9848958502749435	7
map00650	2.06111600612854	2.000834381373658	6
map00730	2.3191414872904415	2.2740833472398028	5
map00780	1.501756327725148	1.5240282973075838	5
map00900	2.7194676631673116	2.703073708164571	4
map00010	1.9443556064739027	1.956561103045144	5
map00290	1.5850310679917239	1.5857058052295192	5
map00330	2.3672042921495766	2.4153963279813895	5
map00523	0.5698632615709714	0.6106381123408025	2
map00566	1.1374233504148406	1.1373587846162716	5
