category	Z_alpha_category	Z_beta_category	n_envs_used
R00090	1.1113810345767152	1.1153628670613014	5
R00253	1.5035639054702743	1.46964678557848	7
R00318	1.5989881681926992	1.5916585515940744	2
R00425	1.819476555034078	1.8188446033178685	6
R00586	2.4647787470054348	2.414054095682764	8
R00630	1.5800726497521693	1.52739526024107	7
R00888	1.8080081654358642	1.772858599633929	5
R00893	0.9466068835351346	0.9067288430855301	3
R00894	1.4775341500630772	1.3377315684105586	7
R00944	2.492550080888709	2.385558208090652	6
R01034	0.532755299534496	0.49001323530653107	3
R01157	1.3936495490799357	1.3938942700481827	3
R01201	2.3083019359571155	2.279060879632762	3
R01717	0.9467689404723821	0.8702163688153183	5
R02003	2.000754225350586	2.0375862278651664	3
R02082	1.0431165654939116	1.02347609431824	4
R02292	2.2990402088242616	2.2584662061412875	7
R02413	1.0889210063013846	1.0276397954466965	5
R02472	1.9209203028045716	1.8332852540822662	6
R03084	2.315785047744174	2.206790399071743	5
R03220	1.524630325189165	1.5293343516004134	8
R03370	0.7146733216294138	0.6656924444396753	3
R03390	1.0275159416071713	1.0041164424481417	3
R03532	1.8371603281840494	1.8151161915999408	8
R03876	0.6703721510391311	0.6385416285958402	2
R04152	1.8213450477595146	1.7991756151553633	7
R05606	1.4490071940875797	1.425669838879268	4
R05706	1.4843029306880215	1.4759713941756025	5
R07226	1.7938493619781084	1.7478585653646217	2
R07281	2.2750340929615858	2.1973277461017338	4
R07290	1.3734540354290596	1.380903762428186	3
R07324	1.3018799965722045	1.27213241940195	3
R07359	1.1659052818505198	1.1812463095685664	7
R00084	5.468454344987471	5.4041896013655535	2
R00206	1.5044228590685547	1.5069594532042814	3
R00424	1.264561749733145	1.248327584472465	5
R00451	3.733942543988039	3.7043836920241455	3
R00472	1.2527058985789148	1.1810248233019853	3
R00768	5.027441308321609	5.013946682317365	5
R00847	3.0040223740212086	2.997065803014748	4
R00931	2.1094444187293706	2.094338661029881	3
R01082	1.8889748463574507	1.8567414668838067	5
R01135	1.835066910231804	1.8087028309905298	5
R01150	0.8294787852321976	0.8317706252453458	4
R01220	2.8425409064665703	2.7885923319909987	2
R01334	2.3469980149819314	2.3631533996375804	5
R01505	1.434717244798913	1.406885288483384	2
R01826	1.903148867985561	1.8616271689969732	3
R02291	5.124006492312048	5.068375411650661	3
R03165	1.5896857197856114	1.5599564245480193	4
R03348	2.1563892017870097	2.0367196198672826	3
R03460	2.2470310625764935	2.212328475114094	3
R04148	4.269906826142511	4.212291339677762	2
R05218	1.7855793315810131	1.7989757106127282	5
R05627	1.0412079063510897	0.9848958502749435	7
R05636	4.202204226829567	4.155324872119857	3
R05884	2.373841784378535	2.3577108746129625	5
R08689	6.0559651605770215	5.986116312285643	2
R09541	1.7433813866716075	1.706830081763694	4
R00138	1.681130214069426	1.6531043119634237	2
R00227	3.4485159104774223	3.295888922690347	2
R00251	1.3312196502409517	1.3061659544330555	5
R00289	1.1374233504148406	1.1373587846162716	5
R01213	1.5850310679917239	1.5857058052295192	5
R04449	0.21109309359620204	0.2095564851115982	3
R08991	1.1931173889926008	1.215823128437762	3
R01012	1.0283014387115506	1.0489678418413038	2
