environment	category	Z_alpha	Z_beta	n_genomes_used
Aquatic	K00005	-0.007460352922967697	-0.04205096647455869	40
Aquatic	K00014	-0.6463821177090668	0.3993058755381242	443
Aquatic	K00021	0.636623912630002	-0.6609859345085799	97
Aquatic	K00077	-2.0159082982536933	1.8792556899110733	139
Aquatic	K00228	-0.7658290035280343	0.8656785702031924	410
Aquatic	K00299	0.2508772676382273	-0.40745096662309777	375
Aquatic	K00456	1.6376884975554769	-1.5680328129623102	17
Aquatic	K00640	-2.196409911647166	2.167542851345476	541
Aquatic	K00672	1.0876531437772852	-1.0241067448156065	26
Aquatic	K00787	0.006001247192256008	-0.04904398613490907	11
Aquatic	K00795	0.006001247192256008	-0.04904398613490907	11
Aquatic	K00884	-1.2102105653384412	1.16101673114931	79
Aquatic	K01433	-1.076032258076649	1.0388588744570766	362
Aquatic	K01480	1.0779828864779848	-1.0206136843906282	272
Aquatic	K01497	-1.150039314413527	1.1780885197017001	466
Aquatic	K01686	0.827194622454324	-0.8419142703532653	160
Aquatic	K01711	0.14241511301263932	-0.1608740509545609	276
Aquatic	K01851	0.07739264369394529	-0.20558528236907397	128
Aquatic	K01858	-0.7813209689667393	0.7531081242423262	39
Aquatic	K01915	-1.6113085855531903	1.4832434749914984	593
Aquatic	K01919	-1.6750892721958472	1.5001202996856162	385
Aquatic	K02302	0.10709603562530816	-0.18272316913882194	235
Aquatic	K02304	0.10709603562530816	-0.18272316913882194	235
Aquatic	K02361	0.07739264369394529	-0.20558528236907397	128
Aquatic	K02552	0.07739264369394529	-0.20558528236907397	128
Aquatic	K02858	1.668743517470883	-1.630254491521744	535
Aquatic	K03430	-0.9148019149052417	0.8792859247013366	58
Aquatic	K03785	-3.0102300124009607	2.7798935957758535	555
Aquatic	K03786	-3.0102300124009607	2.7798935957758535	555
Aquatic	K03921	1.2327586845700074	-1.1499906323844702	15
Aquatic	K03922	1.2327586845700074	-1.1499906323844702	15
Aquatic	K05887	-0.6463821177090668	0.3993058755381242	443
Aquatic	K06048	-1.6750892721958472	1.5001202996856162	385
Aquatic	K07749	-1.3285368543400056	1.345757986652487	16
Aquatic	K08323	0.827194622454324	-0.8419142703532653	160
Aquatic	K11204	-1.6750892721958472	1.5001202996856162	385
Aquatic	K11205	-1.6750892721958472	1.5001202996856162	385
Aquatic	K13562	0.2508772676382273	-0.40745096662309777	375
Aquatic	K14652	-0.44541268621019864	0.46116322874776694	567
Aquatic	K19285	0.2508772676382273	-0.40745096662309777	375
Aquatic	K19286	0.2508772676382273	-0.40745096662309777	375
Aquatic	K19670	-0.593825482263033	0.5943040923359701	14
Aquatic	K19726	0.5002699950306648	-0.6177312493723632	550
Aquatic	K22251	-0.007460352922967697	-0.04205096647455869	40
Aquatic	K23304	-2.196409911647166	2.167542851345476	541
Aquatic	K24042	-1.4916384016303106	1.6359888342263733	535
Aquatic	K24263	-2.0159082982536933	1.8792556899110733	139
Aquatic	K28207	-1.2102105653384412	1.16101673114931	79
Aquatic	K28208	-1.2102105653384412	1.16101673114931	79
Terrestrial	K00005	0.23047871833626501	-0.2300401504468998	52
Terrestrial	K00021	1.1737471864691607	-1.165444173038498	46
Terrestrial	K00133	5.72209893904447	-5.625896072060522	479
Terrestrial	K00216	0.1726504525334726	-0.17408203917739662	60
Terrestrial	K00228	-2.2340429836553177	2.134186496345769	214
Terrestrial	K00288	1.9510677128553395	-1.889223366957306	416
Terrestrial	K00299	1.1548413832031086	-1.0498176358717544	407
Terrestrial	K00300	1.9510677128553395	-1.889223366957306	416
Terrestrial	K00640	2.7306986676539546	-2.755497323640615	339
Terrestrial	K00672	1.3309030257187606	-1.3447860878591482	13
Terrestrial	K00767	2.92103656015214	-2.780645665531874	463
Terrestrial	K00768	5.826270980588328	-5.72323977867966	328
Terrestrial	K00787	1.1441823434466616	-1.1737333601010393	16
Terrestrial	K00795	1.1441823434466616	-1.1737333601010393	16
Terrestrial	K00800	2.5609666584125543	-2.5232455819186685	421
Terrestrial	K00820	6.871622349110124	-6.77733249705962	477
Terrestrial	K00864	4.147939064599566	-4.013445691365245	429
Terrestrial	K00884	2.821123119619215	-2.7582652519209505	108
Terrestrial	K01006	1.5508966593538578	-1.5797883453746018	191
Terrestrial	K01091	3.248013226550586	-3.2116003718428376	117
Terrestrial	K01483	0.6991939089303245	-0.6847637213841073	11
Terrestrial	K01491	1.9510677128553395	-1.889223366957306	416
Terrestrial	K01495	1.6238449374110664	-1.6482543031507502	423
Terrestrial	K01497	3.2063657300866604	-3.235681376963298	417
Terrestrial	K01586	5.727687815054879	-5.668063861625904	463
Terrestrial	K01587	0.14213371510935638	-0.1269016696839967	476
Terrestrial	K01626	3.1608327352985772	-3.0281482675430547	369
Terrestrial	K01638	1.5252587904531696	-1.4649233215387323	330
Terrestrial	K01662	7.124323468769191	-7.027832926887946	465
Terrestrial	K01675	2.3837192795197595	-2.3662128030019614	414
Terrestrial	K01676	2.3837192795197595	-2.3662128030019614	414
Terrestrial	K01677	2.3837192795197595	-2.3662128030019614	414
Terrestrial	K01678	2.3837192795197595	-2.3662128030019614	414
Terrestrial	K01679	2.3837192795197595	-2.3662128030019614	414
Terrestrial	K01719	3.01939724091232	-2.912057193684202	391
Terrestrial	K01749	7.305419061673938	-7.180619524878906	474
Terrestrial	K01774	2.3837192795197595	-2.3662128030019614	414
Terrestrial	K01851	-0.3961047543312125	0.26764767082491076	130
Terrestrial	K01858	1.554269592387054	-1.5267417854245326	175
Terrestrial	K01915	0.21461855495503673	-0.24734790213440788	476
Terrestrial	K01919	2.2662105109058532	-2.1468059722263897	373
Terrestrial	K01921	1.2344533354492637	-1.305396746623404	469
Terrestrial	K01939	3.12185086483375	-3.093518380348655	477
Terrestrial	K02361	-0.3961047543312125	0.26764767082491076	130
Terrestrial	K02552	-0.3961047543312125	0.26764767082491076	130
Terrestrial	K03430	3.53367447293481	-3.484055468937125	66
Terrestrial	K03526	8.387144717177907	-8.26071805960294	452
Terrestrial	K03527	3.958625728640819	-3.9005682841569165	423
Terrestrial	K03785	-0.376554088906706	0.30921232957709976	454
Terrestrial	K03786	-0.376554088906706	0.30921232957709976	454
Terrestrial	K03856	3.1608327352985772	-3.0281482675430547	369
Terrestrial	K03921	-0.0926784191326066	0.07170760709108158	39
Terrestrial	K03922	-0.0926784191326066	0.07170760709108158	39
Terrestrial	K06048	2.2662105109058532	-2.1468059722263897	373
Terrestrial	K06153	1.4185119199024425	-1.479458826703576	449
Terrestrial	K07749	-1.7038225855817855	1.7034283513902309	67
Terrestrial	K09007	1.6238449374110664	-1.6482543031507502	423
Terrestrial	K11204	2.2662105109058532	-2.1468059722263897	373
Terrestrial	K11205	2.2662105109058532	-2.1468059722263897	373
Terrestrial	K12526	1.9808326542449015	-2.062598097992096	478
Terrestrial	K13542	3.01939724091232	-2.912057193684202	391
Terrestrial	K13543	3.01939724091232	-2.912057193684202	391
Terrestrial	K13562	1.1548413832031086	-1.0498176358717544	407
Terrestrial	K13786	2.076421106095902	-2.128388958804279	433
Terrestrial	K13830	0.768861069116709	-0.7468051586263512	476
Terrestrial	K13832	-0.7172357210486457	0.6422861096452107	472
Terrestrial	K14652	0.8749491770640262	-0.8279972099596382	457
Terrestrial	K16856	0.6991939089303245	-0.6847637213841073	11
Terrestrial	K18384	0.8825337677305332	-0.8641044430891526	29
Terrestrial	K19269	3.248013226550586	-3.2116003718428376	117
Terrestrial	K19285	1.1548413832031086	-1.0498176358717544	407
Terrestrial	K19286	1.1548413832031086	-1.0498176358717544	407
Terrestrial	K19302	1.4185119199024425	-1.479458826703576	449
Terrestrial	K19670	2.1819481251064525	-2.1710726693406217	30
Terrestrial	K19726	0.8760645065450005	-0.8726720913162178	364
Terrestrial	K22223	3.248013226550586	-3.2116003718428376	117
Terrestrial	K22251	0.23047871833626501	-0.2300401504468998	52
Terrestrial	K22391	1.6238449374110664	-1.6482543031507502	423
Terrestrial	K22548	0.8825337677305332	-0.8641044430891526	29
Terrestrial	K23304	2.7306986676539546	-2.755497323640615	339
Terrestrial	K24042	-0.5111827499961245	0.48797581451229244	447
Terrestrial	K28203	3.248013226550586	-3.2116003718428376	117
Terrestrial	K28207	2.821123119619215	-2.7582652519209505	108
Terrestrial	K28208	2.821123119619215	-2.7582652519209505	108
Mammals: Human	K00005	0.8934811307882271	-0.8158750870860346	100
