environment	category	Z_alpha	Z_beta	n_genomes_used
Aquatic	map00020	-1.0104364166636803	0.979115856604787	548
Aquatic	map00030	2.1321818404031614	-2.2786437949712965	598
Aquatic	map00040	-0.08635095648246996	-0.15004322178348659	598
Aquatic	map00051	-1.7632182483307397	1.805960458832975	589
Aquatic	map00053	1.4743767008909543	-1.5349265227763687	168
Aquatic	map00061	1.2327586845700074	-1.1499906323844702	15
Aquatic	map00220	-2.8234376363120135	2.790194543171078	597
Aquatic	map00230	-3.7666647030217053	3.6689187209985947	598
Aquatic	map00240	0.31466185378542627	-0.39500865439992894	598
Aquatic	map00250	-5.264167621768416	5.153980686162075	598
Aquatic	map00260	-3.562348457820304	3.6176016743302246	598
Aquatic	map00270	-1.9236433604455447	1.8645535970716038	598
Aquatic	map00280	-0.47403934611232085	0.3848790716525541	323
Aquatic	map00340	-0.6993455076048861	0.720796095477888	594
Aquatic	map00350	-0.25515909652580954	0.24132541400923943	234
Aquatic	map00362	-0.02373306682150788	0.02554680674733725	131
Aquatic	map00400	-4.029704054187495	4.060301901269182	598
Aquatic	map00480	-3.1065243035341763	3.1306767420425685	504
Aquatic	map00520	-0.3609790545866419	0.21429329784009685	598
Aquatic	map00541	-2.5117280205664443	2.571812814692305	597
Aquatic	map00561	1.331178371435054	-1.7160310021636245	543
Aquatic	map00562	-2.283261516641519	1.9851488920900395	582
Aquatic	map00620	-2.5674068807833867	2.7214342873768826	598
Aquatic	map00630	-3.5583524994778	3.5276388779275574	597
Aquatic	map00643	-0.8866871920269809	0.836021894720509	195
Aquatic	map00670	-2.2173946394006987	2.301477624755808	598
Aquatic	map00680	-0.760833101053186	0.7860786772912239	549
Aquatic	map00710	-1.324331720162463	1.5375994467156717	598
Aquatic	map00720	-3.1607769292293484	3.2696998854615513	598
Aquatic	map00740	-1.2528227540170198	1.2942305189461947	598
Aquatic	map00760	2.0538147087421357	-2.451607369907382	587
Aquatic	map00770	-3.299455552960409	3.13757160414529	598
Aquatic	map00790	-1.3421852518082122	1.5421535872570549	591
Aquatic	map00860	-2.645166150822394	2.8443673903338977	597
Aquatic	map00910	-2.112034429734119	2.0975888132644607	594
Aquatic	map00920	2.3710877104707344	-2.261293862963616	571
Aquatic	map00998	-2.675048693621877	2.626660108614219	544
Aquatic	map01040	1.2327586845700074	-1.1499906323844702	15
Aquatic	map01053	-0.005553775844972999	-0.13091255760460954	139
Aquatic	map01100	-5.963531682805929	6.005522681578427	598
Aquatic	map01110	-7.837680631907862	7.968376673842267	598
Aquatic	map01120	-5.301328233662781	5.388160226587221	598
Aquatic	map01200	-1.814820545025891	1.851301405913139	598
Aquatic	map01210	-2.4828904377992598	2.6814321725872827	595
Aquatic	map01212	1.2327586845700074	-1.1499906323844702	15
Aquatic	map01220	-0.11141424216863904	0.0967289987761469	157
Aquatic	map01230	-6.869287604832444	7.010956142163892	598
Aquatic	map01232	-0.9087466611017913	0.7717828708421066	598
