environment	category	Z_alpha	Z_beta	n_genomes_used
Aquatic	R00090	0.9815895979608366	-1.0898491562813795	76
Aquatic	R00253	-1.6113085855531903	1.4832434749914984	593
Aquatic	R00318	-0.593825482263033	0.5943040923359701	14
Aquatic	R00425	-1.150039314413527	1.1780885197017001	466
Aquatic	R00586	-2.196409911647166	2.167542851345476	541
Aquatic	R00630	-1.1271194838652598	1.1372675194716013	395
Aquatic	R00888	0.14241511301263932	-0.1608740509545609	276
Aquatic	R00893	1.6376884975554769	-1.5680328129623102	17
Aquatic	R00894	-1.6750892721958472	1.5001202996856162	385
Aquatic	R00944	-1.076032258076649	1.0388588744570766	362
Aquatic	R01034	-0.007460352922967697	-0.04205096647455869	40
Aquatic	R01157	1.0779828864779848	-1.0206136843906282	272
Aquatic	R01201	-1.2102105653384412	1.16101673114931	79
Aquatic	R01717	0.07739264369394529	-0.20558528236907397	128
Aquatic	R02003	0.006001247192256008	-0.04904398613490907	11
Aquatic	R02082	0.636623912630002	-0.6609859345085799	97
Aquatic	R02292	-2.521638472202587	2.382921541877169	586
Aquatic	R02413	-0.6463821177090668	0.3993058755381242	443
Aquatic	R02472	-2.0159082982536933	1.8792556899110733	139
Aquatic	R03084	-3.0102300124009607	2.7798935957758535	555
Aquatic	R03220	-0.7658290035280343	0.8656785702031924	410
Aquatic	R03370	1.2327586845700074	-1.1499906323844702	15
Aquatic	R03390	1.0876531437772852	-1.0241067448156065	26
Aquatic	R03532	-4.115289958359439	4.029358968004318	524
Aquatic	R03876	-0.6414166450716189	0.5841994701005405	26
Aquatic	R04152	-0.9148019149052417	0.8792859247013366	58
Aquatic	R05606	0.827194622454324	-0.8419142703532653	160
Aquatic	R05706	0.2508772676382273	-0.40745096662309777	375
Aquatic	R07226	-1.498893411686422	1.4930144990001504	14
Aquatic	R07281	1.668743517470883	-1.630254491521744	535
Aquatic	R07290	-1.3285368543400056	1.345757986652487	16
Aquatic	R07324	-0.7813209689667393	0.7531081242423262	39
Aquatic	R07359	1.8233582881673376	-1.8951485820455316	351
Terrestrial	R00084	7.305419061673938	-7.180619524878906	474
Terrestrial	R00090	0.23560006300267455	-0.33572544511964303	29
Terrestrial	R00206	1.5508966593538578	-1.5797883453746018	191
Terrestrial	R00253	0.21461855495503673	-0.24734790213440788	476
Terrestrial	R00318	2.1819481251064525	-2.1710726693406217	30
Terrestrial	R00424	1.6238449374110664	-1.6482543031507502	423
Terrestrial	R00425	3.2063657300866604	-3.235681376963298	417
Terrestrial	R00451	5.727687815054879	-5.668063861625904	463
Terrestrial	R00472	1.5252587904531696	-1.4649233215387323	330
Terrestrial	R00586	2.7306986676539546	-2.755497323640615	339
Terrestrial	R00630	-0.304096507302676	0.355379396327124	351
Terrestrial	R00768	6.871622349110124	-6.77733249705962	477
Terrestrial	R00776	0.6991939089303245	-0.6847637213841073	11
Terrestrial	R00847	4.147939064599566	-4.013445691365245	429
Terrestrial	R00894	2.2662105109058532	-2.1468059722263897	373
Terrestrial	R00931	2.8264875392438813	-2.785512376808831	120
Terrestrial	R01034	0.23047871833626501	-0.2300401504468998	52
Terrestrial	R01082	2.3837192795197595	-2.3662128030019614	414
Terrestrial	R01135	3.12185086483375	-3.093518380348655	477
Terrestrial	R01150	1.2344533354492637	-1.305396746623404	469
Terrestrial	R01201	2.821123119619215	-2.7582652519209505	108
Terrestrial	R01220	1.9510677128553395	-1.889223366957306	416
Terrestrial	R01334	3.248013226550586	-3.2116003718428376	117
Terrestrial	R01505	0.1726504525334726	-0.17408203917739662	60
Terrestrial	R01717	-0.3961047543312125	0.26764767082491076	130
Terrestrial	R01826	3.1608327352985772	-3.0281482675430547	369
Terrestrial	R02003	1.1441823434466616	-1.1737333601010393	16
Terrestrial	R02082	1.1737471864691607	-1.165444173038498	46
Terrestrial	R02291	5.72209893904447	-5.625896072060522	479
Terrestrial	R02292	3.1029426224523906	-3.10394321706953	471
Terrestrial	R03084	-0.376554088906706	0.30921232957709976	454
Terrestrial	R03165	3.01939724091232	-2.912057193684202	391
Terrestrial	R03220	-2.2340429836553177	2.134186496345769	214
Terrestrial	R03348	2.92103656015214	-2.780645665531874	463
Terrestrial	R03370	-0.0926784191326066	0.07170760709108158	39
Terrestrial	R03390	1.3309030257187606	-1.3447860878591482	13
Terrestrial	R03460	2.5609666584125543	-2.5232455819186685	421
Terrestrial	R03532	-0.14074557363157508	0.2805618398555429	450
Terrestrial	R04148	5.826270980588328	-5.72323977867966	328
Terrestrial	R04152	3.53367447293481	-3.484055468937125	66
Terrestrial	R04374	0.8825337677305332	-0.8641044430891526	29
Terrestrial	R05218	2.076421106095902	-2.128388958804279	433
Terrestrial	R05627	1.4185119199024425	-1.479458826703576	449
Terrestrial	R05636	7.124323468769191	-7.027832926887946	465
