category	name	definition
K00005	glycerol dehydrogenase [EC:1.1.1.6]	
K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	
K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	
K00014	shikimate dehydrogenase [EC:1.1.1.25]	
K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	
K00021	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	
K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	
K00028	malate dehydrogenase (decarboxylating) [EC:1.1.1.39]	
K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	
K00060	threonine 3-dehydrogenase [EC:1.1.1.103]	
K00067	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	
K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169]	
K00082	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]	
K00099	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	
K00107	D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]	
K00108	choline dehydrogenase [EC:1.1.99.1]	
K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	
K00122	formate dehydrogenase [EC:1.17.1.9]	
K00123	formate dehydrogenase major subunit [EC:1.17.1.9]	
K00124	formate dehydrogenase iron-sulfur subunit	
K00126	formate dehydrogenase subunit delta [EC:1.17.1.9]	
K00127	formate dehydrogenase subunit gamma	
K00131	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	
K00133	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	
K00147	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	
K00148	glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]	
K00156	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]	
K00158	pyruvate oxidase [EC:1.2.3.3]	
K00169	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	
K00170	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	
K00171	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	
K00172	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	
K00174	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	
K00175	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	
K00189	2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]	
K00200	formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]	
K00201	formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]	
K00202	formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]	
K00203	formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]	
K00204	4Fe-4S ferredoxin	
K00205	4Fe-4S ferredoxin	
K00211	prephenate dehydrogenase (NADP+) [EC:1.3.1.13]	
K00216	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]	
K00220	cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]	
K00228	coproporphyrinogen III oxidase [EC:1.3.3.3]	
K00231	protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]	
K00233	succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1 7.1.1.12]	
K00234	succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]	
K00235	succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]	
K00236	succinate dehydrogenase (ubiquinone) cytochrome b560 subunit	
K00237	succinate dehydrogenase (ubiquinone) membrane anchor subunit	
K00239	succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]	
K00240	succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]	
K00241	succinate dehydrogenase cytochrome b subunit	
K00242	succinate dehydrogenase membrane anchor subunit	
K00244	succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]	
K00245	succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]	
K00246	succinate dehydrogenase subunit C	
K00247	succinate dehydrogenase subunit D	
K00254	dihydroorotate dehydrogenase [EC:1.3.5.2]	
K00265	glutamate synthase (NADPH) large chain [EC:1.4.1.13]	
K00266	glutamate synthase (NADPH) small chain [EC:1.4.1.13]	
K00274	monoamine oxidase [EC:1.4.3.4]	
K00276	primary-amine oxidase [EC:1.4.3.21]	
K00288	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]	
K00297	methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]	
K00299	FMN reductase [EC:1.5.1.38]	
K00300	methylenetetrahydrofolate/methylenetetrahydromethanopterin dehydrogenase (NADP+) [EC:1.5.1.5 1.5.1.-]	
K00301	sarcosine oxidase [EC:1.5.3.1]	
K00302	sarcosine oxidase, subunit alpha [EC:1.5.3.24 1.5.3.1]	
K00303	sarcosine oxidase, subunit beta [EC:1.5.3.24 1.5.3.1]	
K00304	sarcosine oxidase, subunit delta [EC:1.5.3.24 1.5.3.1]	
K00305	sarcosine oxidase, subunit gamma [EC:1.5.3.24 1.5.3.1]	
K00306	sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7]	
K00361	nitrite reductase [NAD(P)H] [EC:1.7.1.4]	
K00362	nitrite reductase (NADH) large subunit [EC:1.7.1.15]	
K00363	nitrite reductase (NADH) small subunit [EC:1.7.1.15]	
K00364	GMP reductase [EC:1.7.1.7]	
K00376	nitrous-oxide reductase [EC:1.7.2.4]	
K00384	thioredoxin reductase (NADPH) [EC:1.8.1.9]	
K00390	phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	
K00440	coenzyme F420 hydrogenase subunit alpha [EC:1.12.98.1]	
K00441	coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]	
K00442	coenzyme F420 hydrogenase subunit delta	
K00443	coenzyme F420 hydrogenase subunit gamma [EC:1.12.98.1]	
K00450	gentisate 1,2-dioxygenase [EC:1.13.11.4]	
K00451	homogentisate 1,2-dioxygenase [EC:1.13.11.5]	
K00452	3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]	
K00455	3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC:1.13.11.15]	
K00456	cysteine dioxygenase [EC:1.13.11.20]	
K00469	inositol oxygenase [EC:1.13.99.1]	
K00471	gamma-butyrobetaine dioxygenase [EC:1.14.11.1]	
K00474	trimethyllysine dioxygenase [EC:1.14.11.8]	
K00544	betaine-homocysteine S-methyltransferase [EC:2.1.1.5]	
K00548	5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	
K00549	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]	
K00552	glycine N-methyltransferase [EC:2.1.1.20]	
K00560	thymidylate synthase [EC:2.1.1.45]	
K00564	16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]	
K00587	protein-S-isoprenylcysteine O-methyltransferase [EC:2.1.1.100]	
K00603	glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase [EC:2.1.2.5 6.3.3.2]	
K00608	aspartate carbamoyltransferase [EC:2.1.3.2]	
K00609	aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]	
K00610	aspartate carbamoyltransferase regulatory subunit	
K00618	amino-acid N-acetyltransferase [EC:2.3.1.1]	
K00619	amino-acid N-acetyltransferase [EC:2.3.1.1]	
K00620	glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	
K00634	phosphate butyryltransferase [EC:2.3.1.19]	
K00639	glycine C-acetyltransferase [EC:2.3.1.29]	
K00640	serine O-acetyltransferase [EC:2.3.1.30]	
K00641	homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]	
K00643	5-aminolevulinate synthase [EC:2.3.1.37]	
K00651	homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]	
K00652	8-amino-7-oxononanoate synthase [EC:2.3.1.47]	
K00654	serine palmitoyltransferase [EC:2.3.1.50]	
