panel	category	short_label	environment	notes	axes_log_transformed
f	K03396	S-(hydroxymethyl)glutathione synthase [EC:4.4.1...	Aquatic	Category K03396 in Aquatic	log10
g	K03396	S-(hydroxymethyl)glutathione synthase [EC:4.4.1...	Terrestrial	Category K03396 in Terrestrial	log10
h	K01857	3-carboxy-cis,cis-muconate cycloisomerase [EC:5...	Aquatic	Category K01857 in Aquatic	log10
i	K01857	3-carboxy-cis,cis-muconate cycloisomerase [EC:5...	Terrestrial	Category K01857 in Terrestrial	log10
j	K01857	3-carboxy-cis,cis-muconate cycloisomerase [EC:5...	Mammals: Human	Category K01857 in Mammals: Human	log10
k	K03526	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate sy...	Aquatic	Category K03526 in Aquatic	log10
l	K03526	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate sy...	Terrestrial	Category K03526 in Terrestrial	log10
m	K03526	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate sy...	Mammals: Human	Category K03526 in Mammals: Human	log10
n	K01749	hydroxymethylbilane synthase [EC:2.5.1.61]	Aquatic	Category K01749 in Aquatic	log10
o	K01749	hydroxymethylbilane synthase [EC:2.5.1.61]	Terrestrial	Category K01749 in Terrestrial	log10
p	K01749	hydroxymethylbilane synthase [EC:2.5.1.61]	Mammals: Human	Category K01749 in Mammals: Human	log10
q	K00820	glutamine---fructose-6-phosphate transaminase (...	Aquatic	Category K00820 in Aquatic	log10
r	K00820	glutamine---fructose-6-phosphate transaminase (...	Terrestrial	Category K00820 in Terrestrial	log10
s	K00820	glutamine---fructose-6-phosphate transaminase (...	Mammals: Human	Category K00820 in Mammals: Human	log10
