outlier_type	environment	category	category_label	value	r_squared	n_genomes_used	alpha_env	beta_env_log
Top 5% (alpha_env)	Mammals: Human	K16047	3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase [EC:1.14.14.12]	1.3553578227251362	0.3455587891008801	46	1.3553578227251362	-11.459840892769757
Top 5% (alpha_env)	Mammals: Human	K16048	3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase reductase component [EC:1.5.1.-]	1.3553578227251362	0.3455587891008801	46	1.3553578227251362	-11.459840892769757
Top 5% (alpha_env)	Mammals: Human	K01819	galactose-6-phosphate isomerase [EC:5.3.1.26]	1.225891552439084	0.1027977440159245	22	1.225891552439084	-9.115493461007986
Top 5% (alpha_env)	Plants	K01915	glutamine synthetase [EC:6.3.1.2]	1.0685982811806207	0.2469630558512735	276	1.0685982811806207	-8.06555855265908
Top 5% (alpha_env)	Mammals: Human	K13069	diguanylate cyclase [EC:2.7.7.65]	0.9481852031840624	0.1002096515735639	119	0.9481852031840624	-6.629754992155865
Top 5% (alpha_env)	Mammals: Human	K02488	two-component system, cell cycle response regulator [EC:2.7.7.65]	0.9481852031840624	0.1002096515735639	119	0.9481852031840624	-6.629754992155865
Top 5% (alpha_env)	Mammals: Human	K00124	formate dehydrogenase iron-sulfur subunit	0.9028461581626612	0.2292182286130401	153	0.9028461581626612	-6.646454957074056
Top 5% (alpha_env)	Mammals: Human	K00122	formate dehydrogenase [EC:1.17.1.9]	0.9028461581626612	0.2292182286130401	153	0.9028461581626612	-6.646454957074056
Top 5% (alpha_env)	Mammals: Human	K00123	formate dehydrogenase major subunit [EC:1.17.1.9]	0.9028461581626612	0.2292182286130401	153	0.9028461581626612	-6.646454957074056
Top 5% (alpha_env)	Mammals: Human	K22515	formate dehydrogenase beta subunit [EC:1.17.1.9]	0.9028461581626612	0.2292182286130401	153	0.9028461581626612	-6.646454957074056
Top 5% (alpha_env)	Mammals: Human	K00127	formate dehydrogenase subunit gamma	0.9028461581626612	0.2292182286130401	153	0.9028461581626612	-6.646454957074056
Top 5% (alpha_env)	Mammals: Human	K00126	formate dehydrogenase subunit delta [EC:1.17.1.9]	0.9028461581626612	0.2292182286130401	153	0.9028461581626612	-6.646454957074056
Top 5% (alpha_env)	Mammals	K00804	geranylgeranyl diphosphate synthase, type III [EC:2.5.1.1 2.5.1.10 2.5.1.29]	0.8959110593518049	0.5511181141375436	13	0.8959110593518049	-6.987195330259948
Top 5% (alpha_env)	Mammals	K13787	geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]	0.8959110593518049	0.5511181141375436	13	0.8959110593518049	-6.987195330259948
Top 5% (alpha_env)	Mammals	K13789	geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]	0.8959110593518049	0.5511181141375436	13	0.8959110593518049	-6.987195330259948
Top 5% (alpha_env)	Plants	K13243	c-di-GMP-specific phosphodiesterase [EC:3.1.4.52]	0.8948638050880139	0.0708916180408669	174	0.8948638050880139	-5.716353826292179
Top 5% (alpha_env)	Plants	K13246	c-di-GMP phosphodiesterase [EC:3.1.4.52]	0.8948638050880139	0.0708916180408669	174	0.8948638050880139	-5.716353826292179
Top 5% (alpha_env)	Plants	K13244	c-di-GMP-specific phosphodiesterase [EC:3.1.4.52]	0.8948638050880139	0.0708916180408669	174	0.8948638050880139	-5.716353826292179
Top 5% (alpha_env)	Plants	K13245	c-di-GMP-specific phosphodiesterase [EC:3.1.4.52]	0.8948638050880139	0.0708916180408669	174	0.8948638050880139	-5.716353826292179
Top 5% (alpha_env)	Mammals: Human	K02302	uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4]	0.8543127642656713	0.2851131207057032	99	0.8543127642656713	-6.379826742916595
Top 5% (alpha_env)	Mammals: Human	K02304	precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:1.3.1.76 4.99.1.4]	0.8543127642656713	0.2851131207057032	99	0.8543127642656713	-6.379826742916595
Top 5% (alpha_env)	Plants	K00884	N-acetylglucosamine kinase [EC:2.7.1.59]	0.8537642260626871	0.365756596473055	54	0.8537642260626871	-7.08424543824693
Top 5% (alpha_env)	Plants	K28207	N-acetylglucosamine kinase [EC:2.7.1.59]	0.8537642260626871	0.365756596473055	54	0.8537642260626871	-7.08424543824693
Top 5% (alpha_env)	Plants	K28208	N-acetylmuramate/N-acetylglucosamine kinase [EC:2.7.1.- 2.7.1.59]	0.8537642260626871	0.365756596473055	54	0.8537642260626871	-7.08424543824693
Bottom 5% (alpha_env)	Plants	K00564	16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]	-1.5676866555855842	0.1765949002802778	113	-1.5676866555855842	13.732170980806329
Bottom 5% (alpha_env)	Plants	K08316	16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]	-1.5676866555855842	0.1765949002802778	113	-1.5676866555855842	13.732170980806329
Bottom 5% (alpha_env)	Plants	K11391	23S rRNA (guanine1835-N2)-methyltransferase [EC:2.1.1.174]	-1.5676866555855842	0.1765949002802778	113	-1.5676866555855842	13.732170980806329
Bottom 5% (alpha_env)	Plants	K12297	23S rRNA (guanine2069-N7)-methyltransferase / 23S rRNA (guanine2445-N2)-methyltransferase [EC:2.1.1.264 2.1.1.173]	-1.5676866555855842	0.1765949002802778	113	-1.5676866555855842	13.732170980806329
Bottom 5% (alpha_env)	Plants	K01003	oxaloacetate decarboxylase [EC:4.1.1.112]	-0.7385540620777218	0.1545236561980834	53	-0.7385540620777218	6.414694566253194
Bottom 5% (alpha_env)	Plants	K04093	chorismate mutase [EC:5.4.99.5]	-0.6344673721290166	0.2788770014903479	66	-0.6344673721290166	5.772194619886234
Bottom 5% (alpha_env)	Plants	K01850	chorismate mutase [EC:5.4.99.5]	-0.6344673721290166	0.2788770014903479	66	-0.6344673721290166	5.772194619886234
Bottom 5% (alpha_env)	Plants	K04092	chorismate mutase [EC:5.4.99.5]	-0.6344673721290166	0.2788770014903479	66	-0.6344673721290166	5.772194619886234
Bottom 5% (alpha_env)	Plants	K06209	chorismate mutase [EC:5.4.99.5]	-0.6344673721290166	0.2788770014903479	66	-0.6344673721290166	5.772194619886234
Bottom 5% (alpha_env)	Plants	K04516	chorismate mutase [EC:5.4.99.5]	-0.6344673721290166	0.2788770014903479	66	-0.6344673721290166	5.772194619886234
Bottom 5% (alpha_env)	Plants	K14170	chorismate mutase / prephenate dehydratase [EC:5.4.99.5 4.2.1.51]	-0.6344673721290166	0.2788770014903479	66	-0.6344673721290166	5.772194619886234
Bottom 5% (alpha_env)	Plants	K06208	chorismate mutase [EC:5.4.99.5]	-0.6344673721290166	0.2788770014903479	66	-0.6344673721290166	5.772194619886234
Bottom 5% (alpha_env)	Mammals: Human	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	-0.5700644301280771	0.827265869438816	27	-0.5700644301280771	4.865178577096034
Bottom 5% (alpha_env)	Plants	K01011	thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]	-0.5608864206285753	0.2134267452335985	147	-0.5608864206285753	4.969037989501014
Bottom 5% (alpha_env)	Plants	K02439	thiosulfate sulfurtransferase [EC:2.8.1.1]	-0.5608864206285753	0.2134267452335985	147	-0.5608864206285753	4.969037989501014
Bottom 5% (alpha_env)	Plants	K14187	chorismate mutase / prephenate dehydrogenase [EC:5.4.99.5 1.3.1.12]	-0.472985465075412	0.0835532802193745	156	-0.472985465075412	4.307146644444846
Bottom 5% (alpha_env)	Mammals: Human	K14541	urea carboxylase / allophanate hydrolase [EC:6.3.4.6 3.5.1.54]	-0.4670353039141377	0.0885398862178625	43	-0.4670353039141377	4.544475225910048
Bottom 5% (alpha_env)	Mammals	K14541	urea carboxylase / allophanate hydrolase [EC:6.3.4.6 3.5.1.54]	-0.4489959506475444	0.1600869492662403	11	-0.4489959506475444	3.871324361053569
Bottom 5% (alpha_env)	Plants	K07749	formyl-CoA transferase [EC:2.8.3.16]	-0.4429149009817953	0.0854420578101853	43	-0.4429149009817953	4.202163322676259
