outlier_type	environment	category	category_label	value	r_squared	n_genomes_used	alpha_env	beta_env_log
Top 5% (alpha_env)	Mammals: Human	map00630	Glyoxylate and dicarboxylate metabolism	1.4998151035042195	0.5855016272293405	400	1.4998151035042195	-10.509986396695204
Top 5% (alpha_env)	Mammals	map00910	Nitrogen metabolism	1.3648335018291269	0.3985967792837772	193	1.3648335018291269	-9.950550575751963
Top 5% (alpha_env)	Plants	map00910	Nitrogen metabolism	1.275717952201825	0.3399238335932889	277	1.275717952201825	-9.141264826531517
Top 5% (alpha_env)	Mammals: Human	map00910	Nitrogen metabolism	1.2703843019029222	0.47467837780721	396	1.2703843019029222	-9.23085123129562
Top 5% (alpha_env)	Plants	map00630	Glyoxylate and dicarboxylate metabolism	1.2277409321444934	0.3557628503856388	277	1.2277409321444934	-8.201092083786069
Top 5% (alpha_env)	Mammals	map00630	Glyoxylate and dicarboxylate metabolism	1.223653263048784	0.3509155287140948	196	1.223653263048784	-8.15437454995427
Top 5% (alpha_env)	Mammals: Human	map01220	Degradation of aromatic compounds	1.2003866730367343	0.4076048291519427	117	1.2003866730367343	-9.415807091128016
Top 5% (alpha_env)	Mammals: Human	map00860	Porphyrin metabolism	1.0773890541044362	0.3138739698146999	360	1.0773890541044362	-6.67356956364999
Top 5% (alpha_env)	Mammals: Human	map01120	Microbial metabolism in diverse environments	1.0475853192900524	0.6821112636655208	406	1.0475853192900524	-4.9522260426016205
Top 5% (alpha_env)	Mammals: Human	map00620	Pyruvate metabolism	1.0274947652630608	0.6131521777455458	401	1.0274947652630608	-6.510734865561524
Top 5% (alpha_env)	Plants	map00220	Arginine biosynthesis	1.0203859760284288	0.3090476005842121	277	1.0203859760284288	-7.124330110495318
Bottom 5% (alpha_env)	Mammals: Human	map00791	Atrazine degradation	-0.4670353039141377	0.0885398862178625	43	-0.4670353039141377	4.544475225910048
Bottom 5% (alpha_env)	Mammals	map00791	Atrazine degradation	-0.4489959506475444	0.1600869492662403	11	-0.4489959506475444	3.871324361053569
Bottom 5% (alpha_env)	Mammals: Human	map00310	Lysine degradation	-0.3648741042271518	0.079779649870867	13	-0.3648741042271518	3.055349713027254
Bottom 5% (alpha_env)	Plants	map00791	Atrazine degradation	-0.3331308793628015	0.0582001724103253	131	-0.3331308793628015	3.4688739498085184
Bottom 5% (alpha_env)	Plants	map00600	Sphingolipid metabolism	-0.1966015724543359	0.1471518183131501	25	-0.1966015724543359	1.701599648904051
Bottom 5% (alpha_env)	Plants	map00470	D-Amino acid metabolism	0.1364837006211216	0.0620989723811434	276	0.1364837006211216	0.75054211574147
Bottom 5% (alpha_env)	Mammals: Human	map00550	Peptidoglycan biosynthesis	0.1434928193044907	0.114190510922063	404	0.1434928193044907	0.5092790057941301
Bottom 5% (alpha_env)	Mammals: Human	map00430	Taurine and hypotaurine metabolism	0.1494667509584488	0.0543004405636956	28	0.1494667509584488	-1.2374509084810592
Bottom 5% (alpha_env)	Mammals: Human	map00240	Pyrimidine metabolism	0.1523634156405899	0.0812097877145697	406	0.1523634156405899	0.6451573543182008
Bottom 5% (alpha_env)	Mammals	map01055	Biosynthesis of vancomycin group antibiotics	0.1569944843663737	0.0619140113640171	140	0.1569944843663737	-1.189053077862796
Bottom 5% (alpha_env)	Mammals: Human	map00061	Fatty acid biosynthesis	0.1700346377851489	0.0537639202672185	48	0.1700346377851489	-1.4309569672806517
Bottom 5% (alpha_env)	Mammals: Human	map01040	Biosynthesis of unsaturated fatty acids	0.1700346377851489	0.0537639202672185	48	0.1700346377851489	-1.4309569672806517
Bottom 5% (alpha_env)	Mammals: Human	map01212	Fatty acid metabolism	0.1700346377851489	0.0537639202672185	48	0.1700346377851489	-1.4309569672806517
