outlier_type	environment	category	category_label	value	r_squared	n_genomes_used	alpha_env	beta_env_log
Top 5% (beta_env_log)	Mammals: Human	map00791	Atrazine degradation	4.544475225910048	0.0885398862178625	43	-0.4670353039141377	4.544475225910048
Top 5% (beta_env_log)	Mammals	map00791	Atrazine degradation	3.871324361053569	0.1600869492662403	11	-0.4489959506475444	3.871324361053569
Top 5% (beta_env_log)	Plants	map00791	Atrazine degradation	3.4688739498085184	0.0582001724103253	131	-0.3331308793628015	3.4688739498085184
Top 5% (beta_env_log)	Mammals: Human	map00310	Lysine degradation	3.055349713027254	0.079779649870867	13	-0.3648741042271518	3.055349713027254
Top 5% (beta_env_log)	Plants	map00600	Sphingolipid metabolism	1.701599648904051	0.1471518183131501	25	-0.1966015724543359	1.701599648904051
Top 5% (beta_env_log)	Plants	map00470	D-Amino acid metabolism	0.75054211574147	0.0620989723811434	276	0.1364837006211216	0.75054211574147
Top 5% (beta_env_log)	Mammals: Human	map00240	Pyrimidine metabolism	0.6451573543182008	0.0812097877145697	406	0.1523634156405899	0.6451573543182008
Top 5% (beta_env_log)	Mammals: Human	map00550	Peptidoglycan biosynthesis	0.5092790057941301	0.114190510922063	404	0.1434928193044907	0.5092790057941301
Top 5% (beta_env_log)	Plants	map01232	Nucleotide metabolism	0.4663727150085732	0.1226239420568168	281	0.1863343943793307	0.4663727150085732
Top 5% (beta_env_log)	Mammals: Human	map00520	Amino sugar and nucleotide sugar metabolism	0.3242137560306593	0.1262851960370462	405	0.2375051196710917	0.3242137560306593
Top 5% (beta_env_log)	Mammals	map00550	Peptidoglycan biosynthesis	0.1092687218975061	0.1498469994036717	195	0.1943538498162313	0.1092687218975061
Bottom 5% (beta_env_log)	Mammals: Human	map00630	Glyoxylate and dicarboxylate metabolism	-10.509986396695204	0.5855016272293405	400	1.4998151035042195	-10.509986396695204
Bottom 5% (beta_env_log)	Mammals	map00910	Nitrogen metabolism	-9.950550575751963	0.3985967792837772	193	1.3648335018291269	-9.950550575751963
Bottom 5% (beta_env_log)	Mammals: Human	map01220	Degradation of aromatic compounds	-9.415807091128016	0.4076048291519427	117	1.2003866730367343	-9.415807091128016
Bottom 5% (beta_env_log)	Mammals: Human	map00910	Nitrogen metabolism	-9.23085123129562	0.47467837780721	396	1.2703843019029222	-9.23085123129562
Bottom 5% (beta_env_log)	Plants	map00910	Nitrogen metabolism	-9.141264826531517	0.3399238335932889	277	1.275717952201825	-9.141264826531517
Bottom 5% (beta_env_log)	Plants	map00630	Glyoxylate and dicarboxylate metabolism	-8.201092083786069	0.3557628503856388	277	1.2277409321444934	-8.201092083786069
Bottom 5% (beta_env_log)	Mammals	map00630	Glyoxylate and dicarboxylate metabolism	-8.15437454995427	0.3509155287140948	196	1.223653263048784	-8.15437454995427
Bottom 5% (beta_env_log)	Mammals: Human	map00480	Glutathione metabolism	-7.322586699001746	0.3976385823331533	285	1.0161615355072002	-7.322586699001746
Bottom 5% (beta_env_log)	Plants	map00220	Arginine biosynthesis	-7.124330110495318	0.3090476005842121	277	1.0203859760284288	-7.124330110495318
Bottom 5% (beta_env_log)	Plants	map00650	Butanoate metabolism	-7.113764776256402	0.3185951102343985	239	0.9050735888628972	-7.113764776256402
Bottom 5% (beta_env_log)	Plants	map00350	Tyrosine metabolism	-7.069168883610555	0.2116669805894944	180	0.882165721809585	-7.069168883610555
