outlier_type	environment	category	category_label	value	r_squared	n_genomes_used	alpha_env	beta_env_log
Top 5% (beta_env_log)	Plants	R07234	S-adenosyl-L-methionine:rRNA (guanine-N2-)-methyltransferase	13.732170980806329	0.1765949002802778	113	-1.5676866555855842	13.732170980806329
Top 5% (beta_env_log)	Plants	R00217	oxaloacetate carboxy-lyase (pyruvate-forming)	6.414694566253194	0.1545236561980834	53	-0.7385540620777218	6.414694566253194
Top 5% (beta_env_log)	Plants	R01715	chorismate pyruvatemutase	5.772194619886234	0.2788770014903479	66	-0.6344673721290166	5.772194619886234
Top 5% (beta_env_log)	Plants	R01931	thiosulfate:cyanide sulfurtranserase	4.969037989501014	0.2134267452335985	147	-0.5608864206285753	4.969037989501014
Top 5% (beta_env_log)	Mammals: Human	R00286	UDP-glucose:NAD+ 6-oxidoreductase	4.865178577096034	0.827265869438816	27	-0.5700644301280771	4.865178577096034
Top 5% (beta_env_log)	Plants	R07290	formyl-CoA:oxalate CoA-transferase	4.202163322676259	0.0854420578101853	43	-0.4429149009817953	4.202163322676259
Top 5% (beta_env_log)	Mammals: Human	R07226	acetyl-phosphate ammonia:thioredoxin disulfide oxidoreductase (glycine-forming)	4.180013973139225	0.1518267557222635	13	-0.4529372690268752	4.180013973139225
Top 5% (beta_env_log)	Mammals: Human	R02539	phenylacetate:CoA ligase	3.7512230743129376	0.0914088235934381	85	-0.4142168264295946	3.7512230743129376
Top 5% (beta_env_log)	Plants	R00892	L-cysteine:NAD+ oxidoreductase;	3.6597521070009456	0.1171000774404323	96	-0.3789170460317335	3.6597521070009456
Top 5% (beta_env_log)	Mammals	R00412	succinate:acceptor oxidoreductase	3.4533085136985924	0.2157079344495508	59	-0.3797568886846005	3.4533085136985924
Top 5% (beta_env_log)	Plants	R02574	S,S-dimethyl-beta-propiothetin dimethyl-sulfide-lyase	3.3874629449297182	0.0535374522331307	43	-0.3715658046522136	3.3874629449297182
Top 5% (beta_env_log)	Mammals: Human	R00412	succinate:acceptor oxidoreductase	3.116949523085644	0.1176287147561502	157	-0.3395112985121088	3.116949523085644
Top 5% (beta_env_log)	Mammals: Human	R01069	D-tagatose 1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)	2.648009832715733	0.1301063995420316	72	-0.3088691274397691	2.648009832715733
Bottom 5% (beta_env_log)	Mammals: Human	R09819	3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione,FMNH2:oxygen oxidoreductase	-11.459840892769757	0.3455587891008801	46	1.3553578227251362	-11.459840892769757
Bottom 5% (beta_env_log)	Mammals: Human	R03876	R03876	-10.84953950347916	0.2874287293598133	12	1.3545181386996623	-10.84953950347916
Bottom 5% (beta_env_log)	Mammals	R09541	Fe(II):NADP+ oxidoreductase	-9.68507749494734	0.3390514527516943	24	1.2566919328361883	-9.68507749494734
Bottom 5% (beta_env_log)	Mammals	R03532	donor:hydrogen-peroxide oxidoreductase	-9.542678348325031	0.3752110509167555	135	1.291583122454414	-9.542678348325031
Bottom 5% (beta_env_log)	Mammals: Human	R03240	D-galactose 6-phosphate ketol-isomerase	-9.115493461007986	0.1027977440159245	22	1.225891552439084	-9.115493461007986
Bottom 5% (beta_env_log)	Plants	R00630	carboxylic-ester hydrolase	-9.012992858375458	0.2625795944999809	223	1.1840367243236165	-9.012992858375458
Bottom 5% (beta_env_log)	Plants	R02204	L-pipecolate:oxygen 1,6-oxidoreductase	-8.719074111782202	0.1862865133823248	25	1.012410272823565	-8.719074111782202
Bottom 5% (beta_env_log)	Mammals: Human	R03532	donor:hydrogen-peroxide oxidoreductase	-8.256773670484076	0.5134163610716111	286	1.1175871033045026	-8.256773670484076
Bottom 5% (beta_env_log)	Plants	R00253	L-glutamate:ammonia ligase (ADP-forming)	-8.06555855265908	0.2469630558512735	276	1.0685982811806207	-8.06555855265908
Bottom 5% (beta_env_log)	Plants	R01201	ATP:N-acetyl-D-glucosamine 6-phosphotransferase	-7.08424543824693	0.365756596473055	54	0.8537642260626871	-7.08424543824693
Bottom 5% (beta_env_log)	Plants	R03532	donor:hydrogen-peroxide oxidoreductase	-7.072737812935331	0.3000474719563744	267	0.9824076823252692	-7.072737812935331
Bottom 5% (beta_env_log)	Mammals: Human	R00519	formate:NAD+ oxidoreductase	-6.646454957074056	0.2292182286130401	153	0.9028461581626612	-6.646454957074056
Bottom 5% (beta_env_log)	Plants	R07359	NADPH:quinone oxidoreductase	-6.632647415236097	0.1736889029071752	239	0.913619668829655	-6.632647415236097
