category	category_label	alpha_outlier_type	alpha_value	alpha_environment	beta_outlier_type	beta_value	beta_environment	r_squared	n_genomes_used
K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	Bottom 5%	-0.5700644301280771	Mammals: Human	Top 5%	4.865178577096034	Mammals: Human	0.827265869438816	27
K00122	formate dehydrogenase [EC:1.17.1.9]	Top 5%	0.9028461581626612	Mammals: Human	Bottom 5%	-6.646454957074056	Mammals: Human	0.2292182286130401	153
K00123	formate dehydrogenase major subunit [EC:1.17.1.9]	Top 5%	0.9028461581626612	Mammals: Human	Bottom 5%	-6.646454957074056	Mammals: Human	0.2292182286130401	153
K00124	formate dehydrogenase iron-sulfur subunit	Top 5%	0.9028461581626612	Mammals: Human	Bottom 5%	-6.646454957074056	Mammals: Human	0.2292182286130401	153
K00126	formate dehydrogenase subunit delta [EC:1.17.1.9]	Top 5%	0.9028461581626612	Mammals: Human	Bottom 5%	-6.646454957074056	Mammals: Human	0.2292182286130401	153
K00127	formate dehydrogenase subunit gamma	Top 5%	0.9028461581626612	Mammals: Human	Bottom 5%	-6.646454957074056	Mammals: Human	0.2292182286130401	153
K00158	pyruvate oxidase [EC:1.2.3.3]				Bottom 5%	-6.246089036966884	Mammals: Human	0.2737284204585524	26
K00299	FMN reductase [EC:1.5.1.38]				Bottom 5%	-6.174178830189481	Plants	0.1725317870158979	236
K00564	16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]	Bottom 5%	-1.5676866555855842	Plants	Top 5%	13.732170980806329	Plants	0.1765949002802778	113
K00804	geranylgeranyl diphosphate synthase, type III [EC:2.5.1.1 2.5.1.10 2.5.1.29]	Top 5%	0.8959110593518049	Mammals	Bottom 5%	-6.987195330259948	Mammals	0.5511181141375436	13
K00884	N-acetylglucosamine kinase [EC:2.7.1.59]	Top 5%	0.8537642260626871	Plants	Bottom 5%	-7.08424543824693	Plants	0.365756596473055	54
K01003	oxaloacetate decarboxylase [EC:4.1.1.112]	Bottom 5%	-0.7385540620777218	Plants	Top 5%	6.414694566253194	Plants	0.1545236561980834	53
K01011	thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]	Bottom 5%	-0.5608864206285753	Plants	Top 5%	4.969037989501014	Plants	0.2134267452335985	147
K01819	galactose-6-phosphate isomerase [EC:5.3.1.26]	Top 5%	1.225891552439084	Mammals: Human	Bottom 5%	-9.115493461007986	Mammals: Human	0.1027977440159245	22
K01850	chorismate mutase [EC:5.4.99.5]	Bottom 5%	-0.6344673721290166	Plants	Top 5%	5.772194619886234	Plants	0.2788770014903479	66
K01912	phenylacetate-CoA ligase [EC:6.2.1.30]	Bottom 5%	-0.4142168264295946	Mammals: Human	Top 5%	3.7512230743129376	Mammals: Human	0.0914088235934381	85
K01915	glutamine synthetase [EC:6.3.1.2]	Top 5%	1.0685982811806207	Plants	Bottom 5%	-8.06555855265908	Plants	0.2469630558512735	276
K02302	uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4]	Top 5%	0.8543127642656713	Mammals: Human	Bottom 5%	-6.379826742916595	Mammals: Human	0.2851131207057032	99
