category	category_label	alpha_outlier_type	alpha_value	alpha_environment	beta_outlier_type	beta_value	beta_environment	r_squared	n_genomes_used
map00061	Fatty acid biosynthesis	Bottom 5%	0.1700346377851489	Mammals: Human				0.0537639202672185	48
map00220	Arginine biosynthesis	Top 5%	1.0203859760284288	Plants	Bottom 5%	-7.124330110495318	Plants	0.3090476005842121	277
map00240	Pyrimidine metabolism	Bottom 5%	0.1523634156405899	Mammals: Human	Top 5%	0.6451573543182008	Mammals: Human	0.0812097877145697	406
map00310	Lysine degradation	Bottom 5%	-0.3648741042271518	Mammals: Human	Top 5%	3.055349713027254	Mammals: Human	0.079779649870867	13
map00350	Tyrosine metabolism				Bottom 5%	-7.069168883610555	Plants	0.2116669805894944	180
map00430	Taurine and hypotaurine metabolism	Bottom 5%	0.1494667509584488	Mammals: Human				0.0543004405636956	28
map00470	D-Amino acid metabolism	Bottom 5%	0.1364837006211216	Plants	Top 5%	0.75054211574147	Plants	0.0620989723811434	276
map00480	Glutathione metabolism				Bottom 5%	-7.322586699001746	Mammals: Human	0.3976385823331533	285
map00520	Amino sugar and nucleotide sugar metabolism				Top 5%	0.3242137560306593	Mammals: Human	0.1262851960370462	405
map00550	Peptidoglycan biosynthesis	Bottom 5%	0.1434928193044907	Mammals: Human	Top 5%	0.5092790057941301	Mammals: Human	0.114190510922063	404
map00600	Sphingolipid metabolism	Bottom 5%	-0.1966015724543359	Plants	Top 5%	1.701599648904051	Plants	0.1471518183131501	25
map00620	Pyruvate metabolism	Top 5%	1.0274947652630608	Mammals: Human				0.6131521777455458	401
map00630	Glyoxylate and dicarboxylate metabolism	Top 5%	1.4998151035042195	Mammals: Human	Bottom 5%	-10.509986396695204	Mammals: Human	0.5855016272293405	400
map00650	Butanoate metabolism				Bottom 5%	-7.113764776256402	Plants	0.3185951102343985	239
map00791	Atrazine degradation	Bottom 5%	-0.4670353039141377	Mammals: Human	Top 5%	4.544475225910048	Mammals: Human	0.0885398862178625	43
map00860	Porphyrin metabolism	Top 5%	1.0773890541044362	Mammals: Human				0.3138739698146999	360
map00910	Nitrogen metabolism	Top 5%	1.3648335018291269	Mammals	Bottom 5%	-9.950550575751963	Mammals	0.3985967792837772	193
map01040	Biosynthesis of unsaturated fatty acids	Bottom 5%	0.1700346377851489	Mammals: Human				0.0537639202672185	48
map01055	Biosynthesis of vancomycin group antibiotics	Bottom 5%	0.1569944843663737	Mammals				0.0619140113640171	140
map01120	Microbial metabolism in diverse environments	Top 5%	1.0475853192900524	Mammals: Human				0.6821112636655208	406
map01212	Fatty acid metabolism	Bottom 5%	0.1700346377851489	Mammals: Human				0.0537639202672185	48
map01220	Degradation of aromatic compounds	Top 5%	1.2003866730367343	Mammals: Human	Bottom 5%	-9.415807091128016	Mammals: Human	0.4076048291519427	117
map01232	Nucleotide metabolism				Top 5%	0.4663727150085732	Plants	0.1226239420568168	281
