category	category_label	alpha_outlier_type	alpha_value	alpha_environment	beta_outlier_type	beta_value	beta_environment	r_squared	n_genomes_used
R00217	oxaloacetate carboxy-lyase (pyruvate-forming)	Bottom 5%	-0.7385540620777218	Plants	Top 5%	6.414694566253194	Plants	0.1545236561980834	53
R00253	L-glutamate:ammonia ligase (ADP-forming)	Top 5%	1.0685982811806207	Plants	Bottom 5%	-8.06555855265908	Plants	0.2469630558512735	276
R00286	UDP-glucose:NAD+ 6-oxidoreductase	Bottom 5%	-0.5700644301280771	Mammals: Human	Top 5%	4.865178577096034	Mammals: Human	0.827265869438816	27
R00412	succinate:acceptor oxidoreductase	Bottom 5%	-0.3797568886846005	Mammals	Top 5%	3.4533085136985924	Mammals	0.2157079344495508	59
R00519	formate:NAD+ oxidoreductase	Top 5%	0.9028461581626612	Mammals: Human	Bottom 5%	-6.646454957074056	Mammals: Human	0.2292182286130401	153
R00630	carboxylic-ester hydrolase	Top 5%	1.1840367243236165	Plants	Bottom 5%	-9.012992858375458	Plants	0.2625795944999809	223
R00892	L-cysteine:NAD+ oxidoreductase;	Bottom 5%	-0.3789170460317335	Plants	Top 5%	3.6597521070009456	Plants	0.1171000774404323	96
R01069	D-tagatose 1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)	Bottom 5%	-0.3088691274397691	Mammals: Human	Top 5%	2.648009832715733	Mammals: Human	0.1301063995420316	72
R01201	ATP:N-acetyl-D-glucosamine 6-phosphotransferase				Bottom 5%	-7.08424543824693	Plants	0.365756596473055	54
R01715	chorismate pyruvatemutase	Bottom 5%	-0.6344673721290166	Plants	Top 5%	5.772194619886234	Plants	0.2788770014903479	66
R01931	thiosulfate:cyanide sulfurtranserase	Bottom 5%	-0.5608864206285753	Plants	Top 5%	4.969037989501014	Plants	0.2134267452335985	147
R02204	L-pipecolate:oxygen 1,6-oxidoreductase	Top 5%	1.012410272823565	Plants	Bottom 5%	-8.719074111782202	Plants	0.1862865133823248	25
R02539	phenylacetate:CoA ligase	Bottom 5%	-0.4142168264295946	Mammals: Human	Top 5%	3.7512230743129376	Mammals: Human	0.0914088235934381	85
R02574	S,S-dimethyl-beta-propiothetin dimethyl-sulfide-lyase	Bottom 5%	-0.3715658046522136	Plants	Top 5%	3.3874629449297182	Plants	0.0535374522331307	43
R03240	D-galactose 6-phosphate ketol-isomerase	Top 5%	1.225891552439084	Mammals: Human	Bottom 5%	-9.115493461007986	Mammals: Human	0.1027977440159245	22
R03532	donor:hydrogen-peroxide oxidoreductase	Top 5%	1.291583122454414	Mammals	Bottom 5%	-9.542678348325031	Mammals	0.3752110509167555	135
R03876	R03876	Top 5%	1.3545181386996623	Mammals: Human	Bottom 5%	-10.84953950347916	Mammals: Human	0.2874287293598133	12
R07226	acetyl-phosphate ammonia:thioredoxin disulfide oxidoreductase (glycine-forming)	Bottom 5%	-0.4529372690268752	Mammals: Human	Top 5%	4.180013973139225	Mammals: Human	0.1518267557222635	13
R07234	S-adenosyl-L-methionine:rRNA (guanine-N2-)-methyltransferase	Bottom 5%	-1.5676866555855842	Plants	Top 5%	13.732170980806329	Plants	0.1765949002802778	113
R07290	formyl-CoA:oxalate CoA-transferase	Bottom 5%	-0.4429149009817953	Plants	Top 5%	4.202163322676259	Plants	0.0854420578101853	43
R07359	NADPH:quinone oxidoreductase	Top 5%	0.913619668829655	Plants	Bottom 5%	-6.632647415236097	Plants	0.1736889029071752	239
R08057	GTP:GTP guanylyltransferase	Top 5%	0.9481852031840624	Mammals: Human				0.1002096515735639	119
R09541	Fe(II):NADP+ oxidoreductase	Top 5%	1.2566919328361883	Mammals	Bottom 5%	-9.68507749494734	Mammals	0.3390514527516943	24
R09819	3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione,FMNH2:oxygen oxidoreductase	Top 5%	1.3553578227251362	Mammals: Human	Bottom 5%	-11.459840892769757	Mammals: Human	0.3455587891008801	46
