outlier_type	environment	category	category_label	value	r_squared	n_genomes_used	alpha_env	beta_env_log
Top 5% (alpha_env)	Aquatic	K01644	citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]	1.6421949649632976	0.3070002393669286	18	1.6421949649632976	-12.779693780262557
Top 5% (alpha_env)	Aquatic	K01643	citrate lyase subunit alpha / citrate CoA-transferase [EC:2.8.3.10]	1.6421949649632976	0.3070002393669286	18	1.6421949649632976	-12.779693780262557
Top 5% (alpha_env)	Aquatic	K01646	citrate lyase subunit gamma (acyl carrier protein)	1.6421949649632976	0.3070002393669286	18	1.6421949649632976	-12.779693780262557
Top 5% (alpha_env)	Terrestrial	K19670	phosphonoacetate hydrolase [EC:3.11.1.2]	1.2610372313602063	0.3996703032439207	30	1.2610372313602063	-10.856225268603714
Top 5% (alpha_env)	Terrestrial	K03430	2-aminoethylphosphonate-pyruvate transaminase [EC:2.6.1.37]	1.1285979016933172	0.3357581709482888	66	1.1285979016933172	-9.49577778662654
Top 5% (alpha_env)	Terrestrial	K00787	farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]	1.0353403551049245	0.8841332956655399	16	1.0353403551049245	-8.269769713125356
Top 5% (alpha_env)	Terrestrial	K00795	farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]	1.0353403551049245	0.8841332956655399	16	1.0353403551049245	-8.269769713125356
Top 5% (alpha_env)	Terrestrial	K03403	magnesium chelatase subunit H [EC:6.6.1.1]	0.8710647281953787	0.3628884627517105	16	0.8710647281953787	-7.205049943711842
Top 5% (alpha_env)	Terrestrial	K03405	magnesium chelatase subunit I [EC:6.6.1.1]	0.8710647281953787	0.3628884627517105	16	0.8710647281953787	-7.205049943711842
Top 5% (alpha_env)	Terrestrial	K03404	magnesium chelatase subunit D [EC:6.6.1.1]	0.8710647281953787	0.3628884627517105	16	0.8710647281953787	-7.205049943711842
Top 5% (alpha_env)	Aquatic	K00787	farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]	0.8649007266193807	0.3565606090211426	11	0.8649007266193807	-6.921059210820805
Top 5% (alpha_env)	Aquatic	K00795	farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]	0.8649007266193807	0.3565606090211426	11	0.8649007266193807	-6.921059210820805
Bottom 5% (alpha_env)	Terrestrial	K01846	methylaspartate mutase sigma subunit [EC:5.4.99.1]	-0.8990391252821612	0.5688694597830751	12	-0.8990391252821612	8.11319487821935
Bottom 5% (alpha_env)	Terrestrial	K19268	methylaspartate mutase epsilon subunit [EC:5.4.99.1]	-0.8990391252821612	0.5688694597830751	12	-0.8990391252821612	8.11319487821935
Bottom 5% (alpha_env)	Terrestrial	K07749	formyl-CoA transferase [EC:2.8.3.16]	-0.5218595646144513	0.1246452550189676	67	-0.5218595646144513	4.886900774979217
Bottom 5% (alpha_env)	Terrestrial	K00306	sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7]	-0.4713542083541125	0.0775180374316517	100	-0.4713542083541125	4.811889289575868
Bottom 5% (alpha_env)	Terrestrial	K00304	sarcosine oxidase, subunit delta [EC:1.5.3.24 1.5.3.1]	-0.4668163536446655	0.0747823990960073	100	-0.4668163536446655	4.765308202429362
Bottom 5% (alpha_env)	Terrestrial	K00303	sarcosine oxidase, subunit beta [EC:1.5.3.24 1.5.3.1]	-0.4668163536446655	0.0747823990960073	100	-0.4668163536446655	4.765308202429362
Bottom 5% (alpha_env)	Terrestrial	K00301	sarcosine oxidase [EC:1.5.3.1]	-0.4668163536446655	0.0747823990960073	100	-0.4668163536446655	4.765308202429362
Bottom 5% (alpha_env)	Terrestrial	K00302	sarcosine oxidase, subunit alpha [EC:1.5.3.24 1.5.3.1]	-0.4668163536446655	0.0747823990960073	100	-0.4668163536446655	4.765308202429362
Bottom 5% (alpha_env)	Terrestrial	K00305	sarcosine oxidase, subunit gamma [EC:1.5.3.24 1.5.3.1]	-0.4668163536446655	0.0747823990960073	100	-0.4668163536446655	4.765308202429362
Bottom 5% (alpha_env)	Terrestrial	K02230	cobaltochelatase CobN [EC:6.6.1.2]	-0.4637216714275521	0.1952243278644783	238	-0.4637216714275521	4.199666087770843
Bottom 5% (alpha_env)	Terrestrial	K09882	cobaltochelatase CobS [EC:6.6.1.2]	-0.4637216714275521	0.1952243278644783	238	-0.4637216714275521	4.199666087770843
Bottom 5% (alpha_env)	Terrestrial	K09883	cobaltochelatase CobT [EC:6.6.1.2]	-0.4637216714275521	0.1952243278644783	238	-0.4637216714275521	4.199666087770843
