outlier_type	environment	category	category_label	value	r_squared	n_genomes_used	alpha_env	beta_env_log
Top 5% (alpha_env)	Terrestrial	map00910	Nitrogen metabolism	1.064957125321897	0.2550283048166948	479	1.064957125321897	-7.507153972909546
Top 5% (alpha_env)	Aquatic	map00910	Nitrogen metabolism	1.0213489207143065	0.1655972781837247	594	1.0213489207143065	-7.189153307643682
Top 5% (alpha_env)	Terrestrial	map00630	Glyoxylate and dicarboxylate metabolism	0.8875909043850566	0.2321154247456356	479	0.8875909043850566	-5.48661858963936
Top 5% (alpha_env)	Aquatic	map00630	Glyoxylate and dicarboxylate metabolism	0.8730775367280422	0.1689895801697414	597	0.8730775367280422	-5.415631527642448
Top 5% (alpha_env)	Terrestrial	map00440	Phosphonate and phosphinate metabolism	0.851335686406128	0.0958191948916932	96	0.851335686406128	-6.559375250597496
Top 5% (alpha_env)	Terrestrial	map01220	Degradation of aromatic compounds	0.8273642001614959	0.2032364866046141	253	0.8273642001614959	-6.32368377832086
Bottom 5% (alpha_env)	Terrestrial	map00660	C5-Branched dibasic acid metabolism	-1.1917336292964027	0.3800598844111169	18	-1.1917336292964027	10.67837263461654
Bottom 5% (alpha_env)	Terrestrial	map00984	Steroid degradation	-0.3002401295106853	0.0632349171582055	45	-0.3002401295106853	3.253831694286403
Bottom 5% (alpha_env)	Aquatic	map00791	Atrazine degradation	-0.2611963841885402	0.0657034306258176	71	-0.2611963841885402	2.7677300768183013
Bottom 5% (alpha_env)	Aquatic	map00970	Aminoacyl-tRNA biosynthesis	0.0957124466059377	0.0506592055428815	598	0.0957124466059377	0.724563219746354
Bottom 5% (alpha_env)	Aquatic	map00770	Pantothenate and CoA biosynthesis	0.1360450301952906	0.0605214895592812	598	0.1360450301952906	0.0416201831663884
Bottom 5% (alpha_env)	Terrestrial	map00550	Peptidoglycan biosynthesis	0.1535733089863642	0.0869002992084679	479	0.1535733089863642	0.4168088259099003
