outlier_type	environment	category	category_label	value	r_squared	n_genomes_used	alpha_env	beta_env_log
Top 5% (beta_env_log)	Terrestrial	map00660	C5-Branched dibasic acid metabolism	10.67837263461654	0.3800598844111169	18	-1.1917336292964027	10.67837263461654
Top 5% (beta_env_log)	Terrestrial	map00984	Steroid degradation	3.253831694286403	0.0632349171582055	45	-0.3002401295106853	3.253831694286403
Top 5% (beta_env_log)	Aquatic	map00791	Atrazine degradation	2.7677300768183013	0.0657034306258176	71	-0.2611963841885402	2.7677300768183013
Top 5% (beta_env_log)	Aquatic	map01110	Biosynthesis of secondary metabolites	1.734729664318349	0.2890256744751507	598	0.3161217392307701	1.734729664318349
Top 5% (beta_env_log)	Terrestrial	map01110	Biosynthesis of secondary metabolites	1.665367940109436	0.4591995126303515	479	0.3253244921208679	1.665367940109436
Top 5% (beta_env_log)	Terrestrial	map01100	Metabolic pathways	1.3956005518548102	0.5377480468778046	479	0.4448205790040028	1.3956005518548102
Bottom 5% (beta_env_log)	Terrestrial	map00910	Nitrogen metabolism	-7.507153972909546	0.2550283048166948	479	1.064957125321897	-7.507153972909546
Bottom 5% (beta_env_log)	Aquatic	map00910	Nitrogen metabolism	-7.189153307643682	0.1655972781837247	594	1.0213489207143065	-7.189153307643682
Bottom 5% (beta_env_log)	Terrestrial	map00440	Phosphonate and phosphinate metabolism	-6.559375250597496	0.0958191948916932	96	0.851335686406128	-6.559375250597496
Bottom 5% (beta_env_log)	Terrestrial	map01220	Degradation of aromatic compounds	-6.32368377832086	0.2032364866046141	253	0.8273642001614959	-6.32368377832086
Bottom 5% (beta_env_log)	Aquatic	map01220	Degradation of aromatic compounds	-6.277190814692454	0.158749360274822	157	0.822346684794326	-6.277190814692454
Bottom 5% (beta_env_log)	Terrestrial	map00362	Benzoate degradation	-6.211107146202309	0.235316903033448	232	0.792442333543971	-6.211107146202309
