outlier_type	environment	category	category_label	value	r_squared	n_genomes_used	alpha_env	beta_env_log
Top 5% (beta_env_log)	Terrestrial	R00262	L-threo-3-methylaspartate carboxy-aminomethylmutase	8.11319487821935	0.5688694597830751	12	-0.8990391252821612	8.11319487821935
Top 5% (beta_env_log)	Terrestrial	R07290	formyl-CoA:oxalate CoA-transferase	4.886900774979217	0.1246452550189676	67	-0.5218595646144513	4.886900774979217
Top 5% (beta_env_log)	Terrestrial	R00610	sarcosine:oxygen oxidoreductase (demethylating)	4.765308202429362	0.0747823990960073	100	-0.4668163536446655	4.765308202429362
Top 5% (beta_env_log)	Terrestrial	R05227	hydrogenobyrinic-acid-a,c-diamide:cobalt cobalt-ligase (ADP-forming)	4.199666087770843	0.1952243278644783	238	-0.4637216714275521	4.199666087770843
Top 5% (beta_env_log)	Aquatic	R07226	acetyl-phosphate ammonia:thioredoxin disulfide oxidoreductase (glycine-forming)	3.930510758931426	0.0647910274283837	14	-0.3897376600896303	3.930510758931426
Top 5% (beta_env_log)	Aquatic	R07290	formyl-CoA:oxalate CoA-transferase	3.803591784986328	0.3919814888102839	16	-0.4100960590984753	3.803591784986328
Top 5% (beta_env_log)	Aquatic	R02656	gentisate:oxygen 1,2-oxidoreductase (decyclizing)	3.4475620524947024	0.2019309410597591	13	-0.4068492098855348	3.4475620524947024
Bottom 5% (beta_env_log)	Aquatic	R00362	citrate oxaloacetate-lyase (forming acetate from the pro-S carboxymethyl group of citrate);	-12.779693780262557	0.3070002393669286	18	1.6421949649632976	-12.779693780262557
Bottom 5% (beta_env_log)	Terrestrial	R00318	phosphonoacetate phosphonohydrolase	-10.856225268603714	0.3996703032439207	30	1.2610372313602063	-10.856225268603714
Bottom 5% (beta_env_log)	Terrestrial	R04152	(2-aminoethyl)phosphonate:pyruvate aminotransferase	-9.49577778662654	0.3357581709482888	66	1.1285979016933172	-9.49577778662654
Bottom 5% (beta_env_log)	Terrestrial	R02003	geranyl-diphosphate:isopentenyl-diphosphate geranyltrans-transferase	-8.269769713125356	0.8841332956655399	16	1.0353403551049245	-8.269769713125356
Bottom 5% (beta_env_log)	Terrestrial	R03532	donor:hydrogen-peroxide oxidoreductase	-7.273546213889452	0.3431660954313341	450	1.0118880206249488	-7.273546213889452
Bottom 5% (beta_env_log)	Terrestrial	R03877	magnesium-protoporphyrin IX chelatase	-7.205049943711842	0.3628884627517105	16	0.8710647281953787	-7.205049943711842
Bottom 5% (beta_env_log)	Aquatic	R07359	NADPH:quinone oxidoreductase	-6.996461582328477	0.1442083837279039	351	0.9343969060609062	-6.996461582328477
