category	category_label	alpha_outlier_type	alpha_value	alpha_environment	beta_outlier_type	beta_value	beta_environment	r_squared	n_genomes_used
K00301	sarcosine oxidase [EC:1.5.3.1]	Bottom 5%	-0.4668163536446655	Terrestrial	Top 5%	4.765308202429362	Terrestrial	0.0747823990960073	100
K00302	sarcosine oxidase, subunit alpha [EC:1.5.3.24 1.5.3.1]	Bottom 5%	-0.4668163536446655	Terrestrial	Top 5%	4.765308202429362	Terrestrial	0.0747823990960073	100
K00303	sarcosine oxidase, subunit beta [EC:1.5.3.24 1.5.3.1]	Bottom 5%	-0.4668163536446655	Terrestrial	Top 5%	4.765308202429362	Terrestrial	0.0747823990960073	100
K00304	sarcosine oxidase, subunit delta [EC:1.5.3.24 1.5.3.1]	Bottom 5%	-0.4668163536446655	Terrestrial	Top 5%	4.765308202429362	Terrestrial	0.0747823990960073	100
K00305	sarcosine oxidase, subunit gamma [EC:1.5.3.24 1.5.3.1]	Bottom 5%	-0.4668163536446655	Terrestrial	Top 5%	4.765308202429362	Terrestrial	0.0747823990960073	100
K00306	sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7]	Bottom 5%	-0.4713542083541125	Terrestrial	Top 5%	4.811889289575868	Terrestrial	0.0775180374316517	100
K00787	farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]	Top 5%	1.0353403551049245	Terrestrial	Bottom 5%	-8.269769713125356	Terrestrial	0.8841332956655399	16
K00795	farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]	Top 5%	1.0353403551049245	Terrestrial	Bottom 5%	-8.269769713125356	Terrestrial	0.8841332956655399	16
K01643	citrate lyase subunit alpha / citrate CoA-transferase [EC:2.8.3.10]	Top 5%	1.6421949649632976	Aquatic	Bottom 5%	-12.779693780262557	Aquatic	0.3070002393669286	18
K01644	citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]	Top 5%	1.6421949649632976	Aquatic	Bottom 5%	-12.779693780262557	Aquatic	0.3070002393669286	18
K01646	citrate lyase subunit gamma (acyl carrier protein)	Top 5%	1.6421949649632976	Aquatic	Bottom 5%	-12.779693780262557	Aquatic	0.3070002393669286	18
K01846	methylaspartate mutase sigma subunit [EC:5.4.99.1]	Bottom 5%	-0.8990391252821612	Terrestrial	Top 5%	8.11319487821935	Terrestrial	0.5688694597830751	12
K02230	cobaltochelatase CobN [EC:6.6.1.2]	Bottom 5%	-0.4637216714275521	Terrestrial	Top 5%	4.199666087770843	Terrestrial	0.1952243278644783	238
K03403	magnesium chelatase subunit H [EC:6.6.1.1]	Top 5%	0.8710647281953787	Terrestrial	Bottom 5%	-7.205049943711842	Terrestrial	0.3628884627517105	16
K03404	magnesium chelatase subunit D [EC:6.6.1.1]	Top 5%	0.8710647281953787	Terrestrial	Bottom 5%	-7.205049943711842	Terrestrial	0.3628884627517105	16
K03405	magnesium chelatase subunit I [EC:6.6.1.1]	Top 5%	0.8710647281953787	Terrestrial	Bottom 5%	-7.205049943711842	Terrestrial	0.3628884627517105	16
K03430	2-aminoethylphosphonate-pyruvate transaminase [EC:2.6.1.37]	Top 5%	1.1285979016933172	Terrestrial	Bottom 5%	-9.49577778662654	Terrestrial	0.3357581709482888	66
K07749	formyl-CoA transferase [EC:2.8.3.16]	Bottom 5%	-0.5218595646144513	Terrestrial	Top 5%	4.886900774979217	Terrestrial	0.1246452550189676	67
K09882	cobaltochelatase CobS [EC:6.6.1.2]	Bottom 5%	-0.4637216714275521	Terrestrial	Top 5%	4.199666087770843	Terrestrial	0.1952243278644783	238
K09883	cobaltochelatase CobT [EC:6.6.1.2]	Bottom 5%	-0.4637216714275521	Terrestrial	Top 5%	4.199666087770843	Terrestrial	0.1952243278644783	238
K19268	methylaspartate mutase epsilon subunit [EC:5.4.99.1]	Bottom 5%	-0.8990391252821612	Terrestrial	Top 5%	8.11319487821935	Terrestrial	0.5688694597830751	12
K19670	phosphonoacetate hydrolase [EC:3.11.1.2]	Top 5%	1.2610372313602063	Terrestrial	Bottom 5%	-10.856225268603714	Terrestrial	0.3996703032439207	30
