category	category_label	alpha_outlier_type	alpha_value	alpha_environment	beta_outlier_type	beta_value	beta_environment	r_squared	n_genomes_used
map00362	Benzoate degradation				Bottom 5%	-6.211107146202309	Terrestrial	0.235316903033448	232
map00440	Phosphonate and phosphinate metabolism	Top 5%	0.851335686406128	Terrestrial	Bottom 5%	-6.559375250597496	Terrestrial	0.0958191948916932	96
map00550	Peptidoglycan biosynthesis	Bottom 5%	0.1535733089863642	Terrestrial				0.0869002992084679	479
map00630	Glyoxylate and dicarboxylate metabolism	Top 5%	0.8875909043850566	Terrestrial				0.2321154247456356	479
map00660	C5-Branched dibasic acid metabolism	Bottom 5%	-1.1917336292964027	Terrestrial	Top 5%	10.67837263461654	Terrestrial	0.3800598844111169	18
map00770	Pantothenate and CoA biosynthesis	Bottom 5%	0.1360450301952906	Aquatic				0.0605214895592812	598
map00791	Atrazine degradation	Bottom 5%	-0.2611963841885402	Aquatic	Top 5%	2.7677300768183013	Aquatic	0.0657034306258176	71
map00910	Nitrogen metabolism	Top 5%	1.064957125321897	Terrestrial	Bottom 5%	-7.507153972909546	Terrestrial	0.2550283048166948	479
map00970	Aminoacyl-tRNA biosynthesis	Bottom 5%	0.0957124466059377	Aquatic				0.0506592055428815	598
map00984	Steroid degradation	Bottom 5%	-0.3002401295106853	Terrestrial	Top 5%	3.253831694286403	Terrestrial	0.0632349171582055	45
map01100	Metabolic pathways				Top 5%	1.3956005518548102	Terrestrial	0.5377480468778046	479
map01110	Biosynthesis of secondary metabolites				Top 5%	1.734729664318349	Aquatic	0.2890256744751507	598
map01220	Degradation of aromatic compounds	Top 5%	0.8273642001614959	Terrestrial	Bottom 5%	-6.32368377832086	Terrestrial	0.2032364866046141	253
