category	category_label	alpha_outlier_type	alpha_value	alpha_environment	beta_outlier_type	beta_value	beta_environment	r_squared	n_genomes_used
R00262	L-threo-3-methylaspartate carboxy-aminomethylmutase	Bottom 5%	-0.8990391252821612	Terrestrial	Top 5%	8.11319487821935	Terrestrial	0.5688694597830751	12
R00318	phosphonoacetate phosphonohydrolase	Top 5%	1.2610372313602063	Terrestrial	Bottom 5%	-10.856225268603714	Terrestrial	0.3996703032439207	30
R00362	citrate oxaloacetate-lyase (forming acetate from the pro-S carboxymethyl group of citrate);	Top 5%	1.6421949649632976	Aquatic	Bottom 5%	-12.779693780262557	Aquatic	0.3070002393669286	18
R00610	sarcosine:oxygen oxidoreductase (demethylating)	Bottom 5%	-0.4668163536446655	Terrestrial	Top 5%	4.765308202429362	Terrestrial	0.0747823990960073	100
R02003	geranyl-diphosphate:isopentenyl-diphosphate geranyltrans-transferase	Top 5%	1.0353403551049245	Terrestrial	Bottom 5%	-8.269769713125356	Terrestrial	0.8841332956655399	16
R02656	gentisate:oxygen 1,2-oxidoreductase (decyclizing)	Bottom 5%	-0.4068492098855348	Aquatic	Top 5%	3.4475620524947024	Aquatic	0.2019309410597591	13
R03532	donor:hydrogen-peroxide oxidoreductase	Top 5%	1.0118880206249488	Terrestrial	Bottom 5%	-7.273546213889452	Terrestrial	0.3431660954313341	450
R03877	magnesium-protoporphyrin IX chelatase	Top 5%	0.8710647281953787	Terrestrial	Bottom 5%	-7.205049943711842	Terrestrial	0.3628884627517105	16
R04152	(2-aminoethyl)phosphonate:pyruvate aminotransferase	Top 5%	1.1285979016933172	Terrestrial	Bottom 5%	-9.49577778662654	Terrestrial	0.3357581709482888	66
R05227	hydrogenobyrinic-acid-a,c-diamide:cobalt cobalt-ligase (ADP-forming)	Bottom 5%	-0.4637216714275521	Terrestrial	Top 5%	4.199666087770843	Terrestrial	0.1952243278644783	238
R07226	acetyl-phosphate ammonia:thioredoxin disulfide oxidoreductase (glycine-forming)	Bottom 5%	-0.3897376600896303	Aquatic	Top 5%	3.930510758931426	Aquatic	0.0647910274283837	14
R07290	formyl-CoA:oxalate CoA-transferase	Bottom 5%	-0.5218595646144513	Terrestrial	Top 5%	4.886900774979217	Terrestrial	0.1246452550189676	67
R07359	NADPH:quinone oxidoreductase	Top 5%	0.9343969060609062	Aquatic	Bottom 5%	-6.996461582328477	Aquatic	0.1442083837279039	351
