category	Z_alpha_category	Z_beta_category	n_envs_used
0000049	2.1248532451263786	2.147064230881258	8
0000160	2.8575637158392477	2.869856375073647	8
0000166	2.68839423807495	2.581963545821838	8
0000287	2.07011025501113	2.031216181058504	8
0000314	1.3737196350541558	1.3621326683923847	8
0000315	1.757815586931104	1.668041581307345	8
0001522	3.1846694533040067	3.1168263181979063	8
0002949	2.3105491150211686	2.292769907944241	8
0003676	2.3609812516638455	2.3752082968933363	8
0003677	2.3425817892977268	2.4015639192524825	8
0003678	1.6361315070323166	1.655833333058767	8
0003684	1.9468385325090811	1.9716332665514602	8
0003697	1.9299020207204534	1.95601040248905	8
0003700	2.742270462297872	2.808870169785083	8
0003723	1.5043232084738858	1.5020035050999567	8
0003735	2.694099993998994	2.737309402819775	8
0003743	2.363524283705715	2.249760432411468	8
0003746	1.5194330110019232	1.541875388031235	8
0003755	1.7185667030101393	1.7158602155403324	8
0003824	5.206484575803551	5.384233934287276	8
0003887	1.7141313291697593	1.7764423430385676	8
0003899	1.822951041357533	1.8843335971426196	8
0003918	2.5522624804803127	2.6310056461220066	8
0003922	1.446114800824982	1.353978181601855	5
0003924	2.4971021092572463	2.5230267704315796	8
0004045	2.7309141097975433	2.7537428862849174	8
0004140	1.1496119208347162	1.1503167555297626	5
0004190	2.2081651364361226	2.2094546043195105	8
0004222	1.0784660487374755	0.9724163538713557	8
0004252	2.8341987272269176	2.7992090035365718	8
0004386	2.3888951273538788	2.3409875546593244	8
0004478	1.5374667373651199	1.5466002789984177	8
0004479	3.7641248744542075	3.702056198075342	8
0004523	1.5537226147914658	1.505132701064883	8
0004540	2.0596706485588956	2.17220922676546	8
0004595	1.9532420177616314	1.9364611585429459	5
0004750	1.7020172621753955	1.6584918558326267	8
0004812	1.895501185323484	1.8892451408623796	8
0004813	1.506970105186961	1.446711724961702	8
0004814	1.4173814078629385	1.3617816179581645	7
0004817	1.054932784517496	1.0346679119065259	8
0004818	1.7432102074598421	1.7691271759260427	8
0004820	2.1113611898650255	2.0128600526614284	8
0004821	1.2388667985372042	1.2164109457942964	6
0004822	1.6044545441378135	1.5513309644758893	5
0004823	2.262131024025945	2.2027760321328023	4
0004824	1.540472912204149	1.523132784065391	8
0004825	2.2983213215308353	2.2651340483877926	7
0004826	2.457436447540563	2.4523815833651597	8
0004827	1.9623411075503587	1.8959957711657736	8
0004828	1.9501041750520545	1.8943901130828356	6
0004829	2.219001376387467	2.1826041954974	8
0004830	3.1692296580358312	3.150889874571162	8
0004831	1.1972256609054908	1.1597450948784847	8
0004832	4.383686529590249	4.284703127487678	4
0005048	0.19109107307266493	0.20103236261499477	2
0005515	2.3568791913467524	2.3972331834364855	8
0005524	3.723629133445794	3.6693957437842983	8
0005525	2.1920615994659025	2.196331869218431	8
0005737	1.6757061985883202	1.6000753129376926	8
0005840	2.9412255218388723	2.971789232113371	8
0005886	2.4395047212748255	2.3947609917382424	8
0005975	2.1686576362886973	2.133082861783064	8
0006006	1.8208014402096955	1.852213689733259	8
0006096	2.1212460745813955	2.1628260822913794	8
0006098	2.1979409451188876	2.3306752225315375	8
0006164	1.9247046752736812	1.9279244675451273	8
0006177	2.3742774479323505	2.4094766300793835	7
0006221	2.9754996335445787	3.020251792267	8
0006260	2.3330610632620723	2.401133886374608	8
0006265	2.204391795517456	2.196758434299698	8
0006269	1.4321660406260692	1.4344879153997923	8
0006275	1.3942222785875098	1.3328216264372168	7
0006281	2.5043764455366064	2.5341858180122503	8
0006289	1.661103609810476	1.63709172088274	8
0006310	2.9407273976350528	2.890042292112205	8
0006351	2.3029757408232947	2.4016444248418374	8
