accession	genome_size_bp	gc_percent	genes_total	genes_proteinCoding	checkm_completeness	checkm_contamination	coding_density
GCF_000007125.1	3294931	57	3234	2941	97.2	0.58	87.6825341714288
GCF_000007505.1	3315175	57.5	3233	3031	98.62	0.85	87.6947672445648
GCF_000007985.2	3814128	61	3484	3405	97.03	1.85	90.9908110058184
GCF_000008465.1	2839318	47	2723	2639	99.91	0.34	92.6567929340778
GCF_000009045.1	4215606	43.5	4536	4237	98.62	1.32	87.8756933166904
GCF_000009365.1	3120143	54.5	2833	2761	99.11	0.32	87.5054124121875
GCF_000010265.1	3955303	32	3931	3758	98.13	0.83	84.7762358534858
GCF_000010425.1	2089645	59	1753	1656	99.84	1.23	86.618349049719
GCF_000011305.1	3219505	63	2958	2833	98.17	0.11	88.1330825701467
GCF_000011325.1	3309401	54	3079	2948	98.5	0.02	86.7644930306119
GCF_000012365.1	6723972	67.5	5916	5662	100	0.06	86.1852785823617
GCF_000012925.1	4011182	59.5	3683	3587	99.83	0	91.098484187454
GCF_000012945.1	8676277	66.5	7876	7715	99.49	0.09	86.9971186950347
GCF_000013025.1	3705021	62	3565	3497	99.62	0.08	90.9204023404996
GCF_000013145.1	1176248	30	974	914	99.46	0.25	77.9977521747115
GCF_000013345.1	5433628	70	4755	4516	97.67	0	84.0979176344056
GCF_000014025.1	2341251	27	2345	2263	99.67	0.35	93.3410386156802
GCF_000014425.1	1894360	35.5	1884	1744	99.5	0.27	89.8551489685171
GCF_000014445.1	2075763	37.5	2101	1994	98.56	0.19	88.6517391436306
GCF_000014785.1	3275944	67.5	2965	2887	98.89	2.51	90.5479153489803
GCF_000015445.1	1445021	38	1270	1166	95.16	1.5	81.6471871343046
GCF_000015585.1	2678452	68	2523	2438	93.55	1.05	92.2896882228989
GCF_000015785.2	3918596	46.5	3883	3681	99.41	0	88.5911178391444
GCF_000016545.1	2970275	35.5	2934	2749	99.68	0.1	88.9205544941125
GCF_000016645.1	6096872	34	5249	5138	99.38	0.16	87.9614005345692
GCF_000016845.1	3275590	57	3230	2840	93.72	0.81	87.7617467387555
GCF_000017245.1	2319663	45	2218	2103	99.6	0.25	88.7763438051131
GCF_000017305.1	4956672	74	4770	4665	100	0	89.6146244899804
GCF_000017425.1	4094159	36	4259	3852	98.76	0	81.9798644849895
GCF_000017685.1	3951448	39	3727	3661	92.2	2.72	92.9431691875991
GCF_000017845.1	5460377	38	5106	4962	99.71	0	85.9767191899021
GCF_000018525.1	3312769	57	3221	3014	97.13	0.91	87.6671147309094
GCF_000018685.1	4847594	35.5	4134	4018	97.92	4.17	82.6145506409984
GCF_000018785.1	1496992	32	1440	1386	99.18	0	91.6751058121887
GCF_000019905.1	3040786	47.5	3157	3027	98.86	1.11	88.4768609168814
GCF_000021325.1	3914947	66.5	3710	3574	97.36	0.9	90.0399673354454
GCF_000021485.1	2982397	59	3104	2952	96.52	1.44	90.0754996735847
GCF_000021925.1	5279134	47.5	5031	4885	99.12	6.14	86.9428963159488
GCF_000022325.1	2931662	35	2844	2660	99.58	0.89	88.4152402289214
GCF_000022905.1	2819226	60.5	2677	2553	97.65	0.41	89.3772617023254
GCF_000022965.1	1938483	60.5	1622	1536	98.97	0.27	86.5871921497377
GCF_000023125.1	6967790	51.5	5825	5756	99.37	0.38	90.5183566094845
GCF_000023145.1	2446804	57.5	2112	2026	98.25	0.57	87.3174966200807
GCF_000023285.1	2612925	39.5	2251	2165	97.45	0.05	86.7197106690778
GCF_000024005.1	9127347	45	7213	7090	97.31	1.94	88.4031471576571
GCF_000024165.1	5306133	64	4758	4601	100	0.88	89.0529883061732
GCF_000024285.1	3205686	62	3216	3089	99.17	0.59	88.6895347828827
GCF_000024425.1	3097457	63.5	3135	3051	99.2	0.7	91.6117318174231
GCF_000025305.1	2329769	56	2192	2089	99.63	0.78	88.1772828121586
GCF_000025485.1	3669074	64	3351	3260	99.83	0.11	91.1486931034915
GCF_000025965.1	4727255	64.5	4592	4404	100	0.37	89.4229314898393
GCF_000025985.1	5241700	43	4323	4159	99	0.11	88.8266211343648
GCF_000027145.1	2797636	37.5	2791	2666	99.68	0	89.1182055135121
GCF_000055785.1	3696649	64	3418	3315	99.92	0.41	89.5703919955614
GCF_000067205.1	5287950	65.5	5121	4944	99.89	0	90.4261764956174
GCF_000069225.1	3403786	72.5	3311	3188	97.62	0.51	89.8379334070943
GCF_000092025.1	5674258	59	5336	5177	99.68	0.29	87.983768097961
GCF_000143145.1	3638969	61	3537	3465	98.16	0.83	87.5207235895662
GCF_000143685.1	4630065	31	4342	4182	98.76	1.86	84.77712515915
GCF_000144605.1	3445263	68.5	3391	3331	99.72	0.22	91.2574453677412
GCF_000146185.1	2831389	37.5	2746	2644	77.26	13.12	90.1144632546075
GCF_000146505.1	3843004	48	3184	3101	100	2.51	90.9302202131458
GCF_000163895.2	1931012	35.5	1737	1653	99.09	0.91	81.862826331478
GCF_000164865.1	4814049	57	4568	4414	100	0	89.2721075335959
GCF_000164905.1	1742932	44	1959	1897	97.44	0.4	97.0031533071858
GCF_000182745.2	3513191	60.5	3388	3187	100	0.19	87.1703531063355
GCF_000190595.1	3765936	32	3344	3276	98.26	0.51	91.2152782203415
GCF_000192865.1	4684316	44	4306	4154	99.87	0.25	87.3455377476669
GCF_000196175.1	3782950	50.5	3601	3550	98.31	1.73	92.2733316591549
GCF_000196275.1	3247018	66.5	3172	3057	99.65	0.23	89.709635117514
GCF_000196435.1	2642404	39	2335	2165	99.28	0.13	75.6734019476204
GCF_000196555.1	2385164	60.5	2033	1903	98.91	0.16	87.1232334548065
GCF_000196795.1	4152543	38.5	3963	3813	99.95	0	87.7701206224716
GCF_000196855.1	1954080	36.5	1981	1877	99.22	0	87.4544030950626
GCF_000196875.2	4061825	63.5	3808	3718	99.62	0.37	89.914262677491
GCF_000197735.1	3918192	59.5	3700	3531	99.45	0.46	87.043794688979
GCF_000202835.1	4214744	67	4017	3857	99.45	2.54	91.0199053608001
GCF_000204645.1	5070751	68	4904	4750	98.4	0.25	91.8949875472095
GCF_000210915.2	3437906	36.5	3325	3267	97.41	0	93.2614213419448
GCF_000212695.1	4266344	74.5	3870	3793	99.77	0.39	90.5767092386362
GCF_000218565.1	3896074	62.5	3751	3669	98.37	1.45	88.0226350936866
GCF_000219215.1	8480857	65.5	7966	7576	98.69	2.45	87.4840125237343
GCF_000219915.2	4423879	55	4468	3576	67.2	0.11	87.0074204109109
GCF_000220945.1	10236779	71.5	9668	9478	96.84	1.61	90.8332200978452
GCF_000227465.1	4207222	44	4301	4052	98.29	0.29	87.9943107352072
GCF_000235405.2	2166381	39	2057	1979	98.83	4.4	91.5462238636694
GCF_000236665.1	3806980	65.5	3588	3505	98.25	0.46	91.0093302302613
GCF_000255295.1	10080619	70	8167	8045	99.03	0.23	91.6057734153032
GCF_000264765.2	4329652	58.5	4043	3805	94.75	9.74	85.7598716940761
GCF_000284295.1	8773466	71	8187	8029	98.04	0.65	90.2071541623345
GCF_000284615.1	3989480	57.5	3681	3596	99.96	0.04	91.6311900297783
GCF_000300005.1	4928223	61.5	4473	4397	99.54	0.43	90.0890239747674
GCF_000300455.3	4902027	53.5	4689	4517	99.92	0	88.2632021406655
GCF_000313175.2	3983611	42	3661	3489	72.67	5.87	84.9255361530029
GCF_000317675.1	4176973	35	3601	3487	99.58	0.73	81.8941611545011
GCF_000344785.1	2928683	52.5	2770	2635	99.49	0.41	87.985179686569
GCF_000355695.1	3063596	73	2953	2874	92.41	3.63	91.2413386099212
GCF_000470775.1	2686418	68.5	2778	2431	89.27	2.46	87.9092159150214
GCF_000473995.1	5107814	28.5	4549	4329	98.76	0.62	79.322465540053
GCF_000478885.1	2862526	63.5	2343	2274	96.47	3.36	88.0873396433779
GCF_000508225.1	1196717	29.5	952	887	97.95	0.25	74.6343538196583
GCF_000695095.2	4716552	64.5	3975	3903	100	0	92.0853199540681
GCF_000697965.2	7267502	62.5	6947	6729	94.48	4.42	86.9129172582271
GCF_000724605.1	2159306	62	1816	1740	98.64	0.41	87.5958757119186
GCF_000732925.1	9053857	69	8607	8475	98.31	0.65	91.1630479695007
GCF_000739435.1	2501598	40	2343	2237	99.35	0.17	88.6095607687566
GCF_000800395.1	3531443	67.5	3393	3316	97.3	0.47	88.8576992464554
GCF_000819565.1	4969388	65.5	4922	4808	99.69	0.76	89.6756904471939
GCF_000829055.1	2952961	48	2892	2632	86.97	1.55	85.5465412513067
GCF_000832905.1	3366995	47	3354	3077	97.62	0.6	81.9346628076371
GCF_000953635.1	3310028	40.5	2957	2881	98.61	0.76	89.2899697525217
GCF_000953655.1	3570857	39	3229	3132	99.59	0.6	89.1129776409417
GCF_000959545.1	7528578	67	6767	6599	100	0	87.2956885085072
GCF_000960995.1	6820727	68	6077	5794	99.01	0.2	85.7220352024059
GCF_000973705.1	4141984	28	3884	3699	95.65	2.32	82.4109653731159
GCF_001025155.1	2021974	59.5	1643	1539	97.02	0.59	86.1029864874623
GCF_001025175.1	2269415	59	2015	1876	98.48	0.27	87.2808631299256
GCF_001025195.1	2079525	56	1783	1656	98.45	0	86.426515670646
GCF_001025215.1	2313752	56.5	1899	1780	98.77	1.63	86.5040419197909
GCF_001027285.1	12489432	69.5	10013	9828	97.02	3.75	91.4263995352231
GCF_001028665.1	7961346	66.5	7216	6985	100	0.88	86.847224074924
GCF_001038625.1	5752782	30	5291	5138	99.38	3.42	84.7077466172019
GCF_001040945.1	5509723	63.5	4890	4801	99.52	0.44	88.6155075309594
GCF_001042595.1	2635669	58.5	2194	2099	96.91	0.14	87.709420264836
GCF_001042655.1	1667406	41.5	1330	1260	99.77	0.05	86.9298779061608
GCF_001050115.1	3381292	41	3174	2971	98.67	0.29	78.4000021293636
GCF_001277175.1	4436873	58	4218	4052	98.33	1.27	87.8780618692489
GCF_001277195.1	4364114	57.5	4106	3938	98.14	0.87	87.9473359311879
GCF_001277215.2	4473761	57	4300	4098	97.61	1.14	87.6515084288142
GCF_001277235.1	4628405	58	4392	4233	99.27	0.27	88.1437773919957
GCF_001298465.1	1840041	37.5	1914	1821	99.01	0.38	92.2518574314377
GCF_001302565.1	3918424	60	3667	3560	98.76	1.04	87.6114478678163
GCF_001305595.1	7609458	68	6789	6608	97.05	5.44	88.6090835904476
GCF_001314995.1	6472489	42	4927	4763	99.23	0.68	90.6957431677366
GCF_001402875.1	3724841	68	3329	3232	99.05	0.55	85.1772733386472
GCF_001414055.1	3957288	66	3793	3677	93	3.11	89.5580761369908
GCF_001457455.1	2463666	53.5	2381	2226	98.5	0.12	88.7375561460036
