Genome	map00010	map00020	map00030	map00040	map00051	map00052	map00053	map00061	map00130	map00220	map00230	map00240	map00250	map00260	map00261	map00270	map00280	map00290	map00300	map00310	map00311	map00330	map00332	map00340	map00350	map00360	map00362	map00380	map00400	map00401	map00430	map00440	map00450	map00460	map00470	map00480	map00500	map00510	map00513	map00520	map00521	map00523	map00525	map00540	map00541	map00550	map00552	map00561	map00562	map00564	map00566	map00600	map00620	map00621	map00622	map00625	map00626	map00630	map00640	map00643	map00650	map00660	map00670	map00680	map00710	map00720	map00730	map00740	map00750	map00760	map00770	map00780	map00790	map00791	map00860	map00900	map00909	map00910	map00920	map00940	map00970	map00984	map00997	map00998	map00999	map01040	map01053	map01055	map01100	map01110	map01120	map01200	map01210	map01212	map01220	map01230	map01232	map01240	map01250	map01310	map01320	rn00010	rn00020	rn00030	rn00040	rn00051	rn00052	rn00053	rn00061	rn00130	rn00220	rn00230	rn00240	rn00250	rn00260	rn00261	rn00270	rn00280	rn00290	rn00300	rn00310	rn00311	rn00330	rn00332	rn00340	rn00350	rn00360	rn00362	rn00380	rn00400	rn00401	rn00430	rn00440	rn00450	rn00460	rn00470	rn00480	rn00500	rn00510	rn00513	rn00520	rn00521	rn00523	rn00525	rn00540	rn00541	rn00550	rn00552	rn00561	rn00562	rn00564	rn00566	rn00600	rn00620	rn00621	rn00622	rn00625	rn00626	rn00630	rn00640	rn00643	rn00650	rn00660	rn00670	rn00680	rn00710	rn00720	rn00730	rn00740	rn00750	rn00760	rn00770	rn00780	rn00790	rn00791	rn00860	rn00900	rn00909	rn00910	rn00920	rn00940	rn00970	rn00984	rn00997	rn00998	rn00999	rn01040	rn01053	rn01055	rn01100	rn01110	rn01120	rn01200	rn01210	rn01212	rn01220	rn01230	rn01232	rn01240	rn01250	rn01310	rn01320
GCF_000006985.1	3	0	4	1	1	0	0	0	4	2	12	5	7	8	2	10	0	1	6	0	0	3	2	4	0	0	0	0	10	0	0	0	0	0	6	1	0	0	0	4	4	4	2	2	6	5	1	1	1	1	0	0	3	0	0	0	0	2	0	0	0	0	6	1	4	2	4	6	0	2	3	3	6	0	17	7	0	2	1	0	4	0	0	1	0	0	1	1	128	74	24	9	6	0	0	34	6	41	9	0	0	3	0	4	1	1	0	0	0	4	2	12	5	7	8	2	10	0	1	6	0	0	3	2	4	0	0	0	0	10	0	0	0	0	0	6	1	0	0	0	4	4	4	2	2	6	5	1	1	1	1	0	0	3	0	0	0	0	2	0	0	0	0	6	1	4	2	4	6	0	2	3	3	6	0	17	7	0	2	1	0	4	0	0	1	0	0	1	1	128	74	24	9	6	0	0	34	6	41	9	0	0
GCF_000007125.1	6	5	6	4	4	2	0	0	1	4	15	7	8	10	1	9	2	1	6	0	0	4	2	8	1	0	2	0	11	0	0	0	0	0	7	2	1	0	0	6	2	1	0	2	6	6	1	5	4	2	1	0	9	0	0	0	0	9	2	0	2	0	8	3	7	8	4	4	1	2	3	4	3	0	17	7	0	4	4	0	4	0	0	1	0	0	2	0	173	79	49	24	4	0	3	41	8	43	10	1	1	6	5	6	4	4	2	0	0	1	4	15	7	8	10	1	9	2	1	6	0	0	4	2	8	1	0	2	0	11	0	0	0	0	0	7	2	1	0	0	6	2	1	0	2	6	6	1	5	4	2	1	0	9	0	0	0	0	9	2	0	2	0	8	3	7	8	4	4	1	2	3	4	3	0	17	7	0	4	4	0	4	0	0	1	0	0	2	0	173	79	49	24	4	0	3	41	8	43	10	1	1
GCF_000007505.1	6	5	6	4	4	2	0	0	0	4	15	7	8	9	1	8	2	1	6	0	0	3	2	8	1	0	2	0	11	0	0	0	0	0	7	2	1	0	0	7	2	1	0	2	6	6	1	4	4	2	1	0	9	0	0	0	0	8	2	0	2	0	8	3	7	8	4	4	1	2	3	4	3	0	17	7	0	4	4	0	4	0	0	1	0	0	1	0	170	77	49	23	4	0	3	41	8	42	11	1	1	6	5	6	4	4	2	0	0	0	4	15	7	8	9	1	8	2	1	6	0	0	3	2	8	1	0	2	0	11	0	0	0	0	0	7	2	1	0	0	7	2	1	0	2	6	6	1	4	4	2	1	0	9	0	0	0	0	8	2	0	2	0	8	3	7	8	4	4	1	2	3	4	3	0	17	7	0	4	4	0	4	0	0	1	0	0	1	0	170	77	49	23	4	0	3	41	8	42	11	1	1
GCF_000007625.1	4	1	4	2	2	2	0	0	0	0	8	9	4	5	2	9	0	0	5	1	0	4	2	4	1	0	0	0	7	0	0	3	0	0	6	0	1	0	0	10	1	0	0	0	3	7	1	8	3	2	1	0	6	0	0	0	0	4	0	0	2	3	3	1	9	2	4	7	0	1	3	2	1	0	9	7	0	1	1	0	5	0	0	3	0	0	0	0	123	53	31	17	3	0	0	25	5	30	9	0	0	4	1	4	2	2	2	0	0	0	0	8	9	4	5	2	9	0	0	5	1	0	4	2	4	1	0	0	0	7	0	0	3	0	0	6	0	1	0	0	10	1	0	0	0	3	7	1	8	3	2	1	0	6	0	0	0	0	4	0	0	2	3	3	1	9	2	4	7	0	1	3	2	1	0	9	7	0	1	1	0	5	0	0	3	0	0	0	0	123	53	31	17	3	0	0	25	5	30	9	0	0
GCF_000007745.1	3	2	7	7	3	3	2	0	3	2	14	5	5	7	2	7	0	1	7	0	0	2	2	5	0	0	0	0	15	1	0	0	1	0	6	1	2	0	0	11	1	1	1	2	5	4	0	5	2	4	1	0	8	0	0	0	0	10	1	0	0	0	6	12	8	4	4	6	0	2	3	2	4	0	9	7	0	1	3	0	5	0	0	1	0	0	0	1	161	81	48	27	5	0	0	43	7	36	13	0	1	3	2	7	7	3	3	2	0	3	2	14	5	5	7	2	7	0	1	7	0	0	2	2	5	0	0	0	0	15	1	0	0	1	0	6	1	2	0	0	11	1	1	1	2	5	4	0	5	2	4	1	0	8	0	0	0	0	10	1	0	0	0	6	12	8	4	4	6	0	2	3	2	4	0	9	7	0	1	3	0	5	0	0	1	0	0	0	1	161	81	48	27	5	0	0	43	7	36	13	0	1
GCF_000007805.1	3	1	8	3	2	3	2	0	1	10	17	7	10	8	1	10	0	1	8	0	0	8	2	7	2	0	2	0	12	1	0	0	1	2	8	4	1	0	0	7	5	5	3	2	9	6	1	2	2	4	1	0	10	0	0	1	0	15	3	2	1	0	9	6	6	5	4	8	3	3	5	4	8	3	18	7	0	11	4	0	4	0	0	2	0	0	0	2	216	97	63	29	5	0	2	45	8	57	13	4	1	3	1	8	3	2	3	2	0	1	10	17	7	10	8	1	10	0	1	8	0	0	8	2	7	2	0	2	0	12	1	0	0	1	2	8	4	1	0	0	7	5	5	3	2	9	6	1	2	2	4	1	0	10	0	0	1	0	15	3	2	1	0	9	6	6	5	4	8	3	3	5	4	8	3	18	7	0	11	4	0	4	0	0	2	0	0	0	2	216	97	63	29	5	0	2	45	8	57	13	4	1
GCF_000007905.1	3	0	3	2	1	1	0	0	0	2	11	6	6	6	1	5	0	1	5	0	0	3	2	3	0	0	0	0	12	1	0	0	1	0	6	0	1	0	0	8	2	2	2	2	7	4	0	1	0	2	1	0	4	0	0	0	0	3	3	0	0	0	6	4	4	4	3	5	0	1	3	2	2	0	7	7	0	1	1	0	4	0	0	1	0	0	0	1	113	64	27	14	4	0	0	33	4	29	12	0	0	3	0	3	2	1	1	0	0	0	2	11	6	6	6	1	5	0	1	5	0	0	3	2	3	0	0	0	0	12	1	0	0	1	0	6	0	1	0	0	8	2	2	2	2	7	4	0	1	0	2	1	0	4	0	0	0	0	3	3	0	0	0	6	4	4	4	3	5	0	1	3	2	2	0	7	7	0	1	1	0	4	0	0	1	0	0	0	1	113	64	27	14	4	0	0	33	4	29	12	0	0
GCF_000007985.2	5	2	3	2	2	2	0	0	0	2	9	7	7	5	1	7	0	1	5	0	0	3	2	4	0	0	0	0	12	0	0	0	1	0	6	0	1	0	0	7	4	4	2	2	7	5	1	2	1	2	1	0	10	0	0	0	0	2	0	0	0	0	5	2	6	6	5	5	1	3	4	4	3	0	11	8	0	2	3	0	5	0	0	2	0	0	0	1	131	68	28	15	5	0	0	35	5	39	12	0	1	5	2	3	2	2	2	0	0	0	2	9	7	7	5	1	7	0	1	5	0	0	3	2	4	0	0	0	0	12	0	0	0	1	0	6	0	1	0	0	7	4	4	2	2	7	5	1	2	1	2	1	0	10	0	0	0	0	2	0	0	0	0	5	2	6	6	5	5	1	3	4	4	3	0	11	8	0	2	3	0	5	0	0	2	0	0	0	1	131	68	28	15	5	0	0	35	5	39	12	0	1
GCF_000008185.1	4	0	3	1	1	3	0	0	0	0	8	4	2	2	0	2	0	0	0	0	0	0	0	2	1	0	0	0	5	0	0	3	1	0	4	0	1	0	0	7	2	2	2	0	2	5	1	2	1	1	0	0	3	0	0	0	0	4	0	0	0	3	4	0	7	2	2	0	0	1	2	0	0	0	4	6	0	1	0	0	5	0	0	2	0	0	0	1	70	28	15	12	0	0	0	10	4	9	7	0	0	4	0	3	1	1	3	0	0	0	0	8	4	2	2	0	2	0	0	0	0	0	0	0	2	1	0	0	0	5	0	0	3	1	0	4	0	1	0	0	7	2	2	2	0	2	5	1	2	1	1	0	0	3	0	0	0	0	4	0	0	0	3	4	0	7	2	2	0	0	1	2	0	0	0	4	6	0	1	0	0	5	0	0	2	0	0	0	1	70	28	15	12	0	0	0	10	4	9	7	0	0
GCF_000008325.1	4	2	6	2	2	1	0	0	1	3	12	6	6	5	1	12	0	1	8	0	0	4	2	4	0	1	0	0	10	0	0	0	0	0	6	5	2	0	0	9	4	4	2	2	8	5	1	3	1	2	1	0	8	0	0	0	0	7	0	0	1	0	5	13	8	4	4	6	1	3	3	4	7	0	16	7	0	5	6	0	4	0	0	3	0	0	0	1	172	81	54	31	6	0	2	40	6	47	14	4	1	4	2	6	2	2	1	0	0	1	3	12	6	6	5	1	12	0	1	8	0	0	4	2	4	0	1	0	0	10	0	0	0	0	0	6	5	2	0	0	9	4	4	2	2	8	5	1	3	1	2	1	0	8	0	0	0	0	7	0	0	1	0	5	13	8	4	4	6	1	3	3	4	7	0	16	7	0	5	6	0	4	0	0	3	0	0	0	1	172	81	54	31	6	0	2	40	6	47	14	4	1
