accession	genome_size_mb	genes_total_num	genes_protein_num	gc_percent	organism_name	organism_taxId	ORGANISM ECOSYSTEM CATEGORY
GCF_000007125.1	3.294931	3234	2941	57.0	Brucella melitensis bv. 1 str. 16M	224914	Mammals
GCF_000007505.1	3.315175	3233	3031	57.5	Brucella suis 1330	204722	Mammals
GCF_000007985.2	3.814128	3484	3405	61.0	Geobacter sulfurreducens PCA	243231	Aquatic
GCF_000008465.1	2.839318	2723	2639	47.0	Idiomarina loihiensis L2TR	283942	Aquatic
GCF_000009045.1	4.215606	4536	4237	43.5	Bacillus subtilis subsp. subtilis str. 168	224308	Terrestrial
GCF_000009365.1	3.120143	2833	2761	54.5	Alcanivorax borkumensis SK2	393595	Aquatic
GCF_000010265.1	3.955303	3931	3758	32.0	Clostridium kluyveri NBRC 12016	583346	Aquatic
GCF_000010425.1	2.089645	1753	1656	59.0	Bifidobacterium adolescentis ATCC 15703	367928	Mammals: Human
GCF_000011305.1	3.219505	2958	2833	63.0	Corynebacterium efficiens YS-314	196164	Terrestrial
GCF_000011325.1	3.309401	3079	2948	54.0	Corynebacterium glutamicum ATCC 13032	196627	Wastewater
GCF_000012365.1	6.723972	5916	5662	67.5	Burkholderia thailandensis E264	271848	Terrestrial
GCF_000012925.1	4.011182	3683	3587	59.5	Geobacter metallireducens GS-15	269799	Aquatic
GCF_000012945.1	8.676277	7876	7715	66.5	Burkholderia lata	482957	Terrestrial
GCF_000013025.1	3.705021	3565	3497	62.0	Hyphomonas neptunium ATCC 15444	228405	Aquatic
GCF_000013145.1	1.176248	974	914	30.0	Ehrlichia chaffeensis str. Arkansas	205920	Mammals: Human
GCF_000013345.1	5.433628	4755	4516	70.0	Frankia casuarinae	106370	Plants
GCF_000014025.1	2.341251	2345	2263	27.0	Aliarcobacter butzleri RM4018	367737	Mammals: Human
GCF_000014425.1	1.89436	1884	1744	35.5	Lactobacillus gasseri ATCC 33323 = JCM 1131	324831	Mammals: Human
GCF_000014445.1	2.075763	2101	1994	37.5	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	203120	Food production
GCF_000014785.1	3.275944	2965	2887	67.5	Alkalilimnicola ehrlichii MLHE-1	187272	Aquatic
GCF_000015445.1	1.445021	1270	1166	38.0	Bartonella bacilliformis KC583	360095	Mammals: Human
GCF_000015585.1	2.678452	2523	2438	68.0	Halorhodospira halophila SL1	349124	Aquatic
GCF_000015785.2	3.918596	3883	3681	46.5	Bacillus velezensis FZB42	326423	Terrestrial
GCF_000016545.1	2.970275	2934	2749	35.5	Caldicellulosiruptor saccharolyticus DSM 8903	351627	Aquatic
GCF_000016645.1	6.096872	5249	5138	34.0	Flavobacterium johnsoniae UW101	376686	Terrestrial
GCF_000016845.1	3.27559	3230	2840	57.0	Brucella ovis ATCC 25840	444178	Mammals
GCF_000017245.1	2.319663	2218	2103	45.0	Actinobacillus succinogenes 130Z	339671	Mammals
GCF_000017305.1	4.956672	4770	4665	74.0	Kineococcus radiotolerans SRS30216 = ATCC BAA-149	266940	Solid waste
GCF_000017425.1	4.094159	4259	3852	36.0	Bacillus cytotoxicus NVH 391-98	315749	Plants
GCF_000017685.1	3.951448	3727	3661	39.0	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'	456481	Aquatic
GCF_000017845.1	5.460377	5106	4962	38.0	Crocosphaera subtropica ATCC 51142	43989	Aquatic
GCF_000018525.1	3.312769	3221	3014	57.0	Brucella canis ATCC 23365	483179	Mammals
GCF_000018685.1	4.847594	4134	4018	35.5	Lachnoclostridium phytofermentans ISDg	357809	Terrestrial
GCF_000018785.1	1.496992	1440	1386	32.0	Acholeplasma laidlawii PG-8A	441768	Wastewater
