Genome	map00010	map00030	map00040	map00230	map00240	map00250	map00470	map00520	map00541	map00550	map00620	map00670	map00710	map00720	map00770	map00900	map00970	map01100	map01110	map01120	map01200	map01230	map01232	map01240	map01250	rn00010	rn00030	rn00040	rn00230	rn00240	rn00250	rn00470	rn00520	rn00541	rn00550	rn00620	rn00670	rn00710	rn00720	rn00770	rn00900	rn00970	rn01100	rn01110	rn01120	rn01200	rn01230	rn01232	rn01240	rn01250
GCF_000006985.1	3	4	1	12	5	7	6	4	6	5	3	6	4	2	3	7	4	128	74	24	9	34	6	41	9	3	4	1	12	5	7	6	4	6	5	3	6	4	2	3	7	4	128	74	24	9	34	6	41	9
GCF_000007125.1	6	6	4	15	7	8	7	6	6	6	9	8	7	8	3	7	4	173	79	49	24	41	8	43	10	6	6	4	15	7	8	7	6	6	6	9	8	7	8	3	7	4	173	79	49	24	41	8	43	10
GCF_000007505.1	6	6	4	15	7	8	7	7	6	6	9	8	7	8	3	7	4	170	77	49	23	41	8	42	11	6	6	4	15	7	8	7	7	6	6	9	8	7	8	3	7	4	170	77	49	23	41	8	42	11
GCF_000007625.1	4	4	2	8	9	4	6	10	3	7	6	3	9	2	3	7	5	123	53	31	17	25	5	30	9	4	4	2	8	9	4	6	10	3	7	6	3	9	2	3	7	5	123	53	31	17	25	5	30	9
GCF_000007745.1	3	7	7	14	5	5	6	11	5	4	8	6	8	4	3	7	5	161	81	48	27	43	7	36	13	3	7	7	14	5	5	6	11	5	4	8	6	8	4	3	7	5	161	81	48	27	43	7	36	13
GCF_000007805.1	3	8	3	17	7	10	8	7	9	6	10	9	6	5	5	7	4	216	97	63	29	45	8	57	13	3	8	3	17	7	10	8	7	9	6	10	9	6	5	5	7	4	216	97	63	29	45	8	57	13
GCF_000007905.1	3	3	2	11	6	6	6	8	7	4	4	6	4	4	3	7	4	113	64	27	14	33	4	29	12	3	3	2	11	6	6	6	8	7	4	4	6	4	4	3	7	4	113	64	27	14	33	4	29	12
GCF_000007985.2	5	3	2	9	7	7	6	7	7	5	10	5	6	6	4	8	5	131	68	28	15	35	5	39	12	5	3	2	9	7	7	6	7	7	5	10	5	6	6	4	8	5	131	68	28	15	35	5	39	12
GCF_000008185.1	4	3	1	8	4	2	4	7	2	5	3	4	7	2	2	6	5	70	28	15	12	10	4	9	7	4	3	1	8	4	2	4	7	2	5	3	4	7	2	2	6	5	70	28	15	12	10	4	9	7
GCF_000008325.1	4	6	2	12	6	6	6	9	8	5	8	5	8	4	3	7	4	172	81	54	31	40	6	47	14	4	6	2	12	6	6	6	9	8	5	8	5	8	4	3	7	4	172	81	54	31	40	6	47	14
GCF_000008445.1	3	7	3	10	4	5	7	4	5	3	10	5	11	3	4	7	5	144	68	41	29	25	7	34	7	3	7	3	10	4	5	7	4	5	3	10	5	11	3	4	7	5	144	68	41	29	25	7	34	7
GCF_000008465.1	4	4	2	14	5	6	6	7	6	5	8	2	7	4	3	7	5	150	72	35	22	34	7	43	10	4	4	2	14	5	6	6	7	6	5	8	2	7	4	3	7	5	150	72	35	22	34	7	43	10
GCF_000009265.1	7	12	7	16	8	12	8	14	14	6	10	11	11	9	3	9	6	241	100	73	37	49	8	48	23	7	12	7	16	8	12	8	14	14	6	10	11	11	9	3	9	6	241	100	73	37	49	8	48	23
GCF_000009305.1	3	5	2	4	6	5	6	6	5	4	2	3	3	3	3	7	4	92	51	24	13	28	4	27	9	3	5	2	4	6	5	6	6	5	4	2	3	3	3	3	7	4	92	51	24	13	28	4	27	9
GCF_000009365.1	4	3	2	13	8	6	6	7	6	5	9	6	5	4	3	7	4	159	74	43	20	37	8	41	10	4	3	2	13	8	6	6	7	6	5	9	6	5	4	3	7	4	159	74	43	20	37	8	41	10
GCF_000009765.2	4	7	3	17	6	9	8	14	4	6	12	9	9	9	4	11	4	214	98	66	30	43	8	49	14	4	7	3	17	6	9	8	14	4	6	12	9	9	9	4	11	4	214	98	66	30	43	8	49	14
GCF_000009785.1	2	5	6	11	6	7	6	11	3	6	6	5	4	5	4	7	5	162	81	44	16	39	4	47	9	2	5	6	11	6	7	6	11	3	6	6	5	4	5	4	7	5	162	81	44	16	39	4	47	9
GCF_000009805.1	2	5	3	16	7	8	5	11	7	5	11	4	3	7	4	13	4	192	91	51	16	41	8	51	14	2	5	3	16	7	8	5	11	7	5	11	4	3	7	4	13	4	192	91	51	16	41	8	51	14
