Genome	map00010	map00030	map00040	map00051	map00220	map00230	map00240	map00250	map00260	map00270	map00300	map00400	map00470	map00520	map00541	map00550	map00562	map00564	map00620	map00630	map00670	map00710	map00720	map00730	map00740	map00760	map00770	map00860	map00900	map00910	map00970	map01100	map01110	map01120	map01200	map01210	map01230	map01232	map01240	map01250	rn00010	rn00030	rn00040	rn00051	rn00220	rn00230	rn00240	rn00250	rn00260	rn00270	rn00300	rn00400	rn00470	rn00520	rn00541	rn00550	rn00562	rn00564	rn00620	rn00630	rn00670	rn00710	rn00720	rn00730	rn00740	rn00760	rn00770	rn00860	rn00900	rn00910	rn00970	rn01100	rn01110	rn01120	rn01200	rn01210	rn01230	rn01232	rn01240	rn01250
GCF_000006985.1	3	4	1	1	2	12	5	7	8	10	6	10	6	4	6	5	1	1	3	2	6	4	2	4	6	2	3	17	7	2	4	128	74	24	9	6	34	6	41	9	3	4	1	1	2	12	5	7	8	10	6	10	6	4	6	5	1	1	3	2	6	4	2	4	6	2	3	17	7	2	4	128	74	24	9	6	34	6	41	9
GCF_000007125.1	6	6	4	4	4	15	7	8	10	9	6	11	7	6	6	6	4	2	9	9	8	7	8	4	4	2	3	17	7	4	4	173	79	49	24	4	41	8	43	10	6	6	4	4	4	15	7	8	10	9	6	11	7	6	6	6	4	2	9	9	8	7	8	4	4	2	3	17	7	4	4	173	79	49	24	4	41	8	43	10
GCF_000007505.1	6	6	4	4	4	15	7	8	9	8	6	11	7	7	6	6	4	2	9	8	8	7	8	4	4	2	3	17	7	4	4	170	77	49	23	4	41	8	42	11	6	6	4	4	4	15	7	8	9	8	6	11	7	7	6	6	4	2	9	8	8	7	8	4	4	2	3	17	7	4	4	170	77	49	23	4	41	8	42	11
GCF_000007625.1	4	4	2	2	0	8	9	4	5	9	5	7	6	10	3	7	3	2	6	4	3	9	2	4	7	1	3	9	7	1	5	123	53	31	17	3	25	5	30	9	4	4	2	2	0	8	9	4	5	9	5	7	6	10	3	7	3	2	6	4	3	9	2	4	7	1	3	9	7	1	5	123	53	31	17	3	25	5	30	9
GCF_000007745.1	3	7	7	3	2	14	5	5	7	7	7	15	6	11	5	4	2	4	8	10	6	8	4	4	6	2	3	9	7	1	5	161	81	48	27	5	43	7	36	13	3	7	7	3	2	14	5	5	7	7	7	15	6	11	5	4	2	4	8	10	6	8	4	4	6	2	3	9	7	1	5	161	81	48	27	5	43	7	36	13
GCF_000007805.1	3	8	3	2	10	17	7	10	8	10	8	12	8	7	9	6	2	4	10	15	9	6	5	4	8	3	5	18	7	11	4	216	97	63	29	5	45	8	57	13	3	8	3	2	10	17	7	10	8	10	8	12	8	7	9	6	2	4	10	15	9	6	5	4	8	3	5	18	7	11	4	216	97	63	29	5	45	8	57	13
GCF_000007905.1	3	3	2	1	2	11	6	6	6	5	5	12	6	8	7	4	0	2	4	3	6	4	4	3	5	1	3	7	7	1	4	113	64	27	14	4	33	4	29	12	3	3	2	1	2	11	6	6	6	5	5	12	6	8	7	4	0	2	4	3	6	4	4	3	5	1	3	7	7	1	4	113	64	27	14	4	33	4	29	12
GCF_000007985.2	5	3	2	2	2	9	7	7	5	7	5	12	6	7	7	5	1	2	10	2	5	6	6	5	5	3	4	11	8	2	5	131	68	28	15	5	35	5	39	12	5	3	2	2	2	9	7	7	5	7	5	12	6	7	7	5	1	2	10	2	5	6	6	5	5	3	4	11	8	2	5	131	68	28	15	5	35	5	39	12
GCF_000008185.1	4	3	1	1	0	8	4	2	2	2	0	5	4	7	2	5	1	1	3	4	4	7	2	2	0	1	2	4	6	1	5	70	28	15	12	0	10	4	9	7	4	3	1	1	0	8	4	2	2	2	0	5	4	7	2	5	1	1	3	4	4	7	2	2	0	1	2	4	6	1	5	70	28	15	12	0	10	4	9	7
GCF_000008325.1	4	6	2	2	3	12	6	6	5	12	8	10	6	9	8	5	1	2	8	7	5	8	4	4	6	3	3	16	7	5	4	172	81	54	31	6	40	6	47	14	4	6	2	2	3	12	6	6	5	12	8	10	6	9	8	5	1	2	8	7	5	8	4	4	6	3	3	16	7	5	4	172	81	54	31	6	40	6	47	14
GCF_000008445.1	3	7	3	1	1	10	4	5	8	16	6	8	7	4	5	3	3	2	10	8	5	11	3	5	3	5	4	6	7	4	5	144	68	41	29	3	25	7	34	7	3	7	3	1	1	10	4	5	8	16	6	8	7	4	5	3	3	2	10	8	5	11	3	5	3	5	4	6	7	4	5	144	68	41	29	3	25	7	34	7
GCF_000008465.1	4	4	2	1	1	14	5	6	7	3	6	13	6	7	6	5	1	2	8	3	2	7	4	3	8	3	3	8	7	1	5	150	72	35	22	2	34	7	43	10	4	4	2	1	1	14	5	6	7	3	6	13	6	7	6	5	1	2	8	3	2	7	4	3	8	3	3	8	7	1	5	150	72	35	22	2	34	7	43	10
GCF_000009265.1	7	12	7	6	9	16	8	12	14	9	6	12	8	14	14	6	5	2	10	14	11	11	9	5	9	3	3	19	9	12	6	241	100	73	37	4	49	8	48	23	7	12	7	6	9	16	8	12	14	9	6	12	8	14	14	6	5	2	10	14	11	11	9	5	9	3	3	19	9	12	6	241	100	73	37	4	49	8	48	23
GCF_000009305.1	3	5	2	1	1	4	6	5	7	5	5	13	6	6	5	4	0	3	2	3	3	3	3	1	3	1	3	7	7	2	4	92	51	24	13	2	28	4	27	9	3	5	2	1	1	4	6	5	7	5	5	13	6	6	5	4	0	3	2	3	3	3	3	1	3	1	3	7	7	2	4	92	51	24	13	2	28	4	27	9
GCF_000009365.1	4	3	2	1	5	13	8	6	7	8	8	9	6	7	6	5	1	2	9	5	6	5	4	3	6	2	3	14	7	6	4	159	74	43	20	7	37	8	41	10	4	3	2	1	5	13	8	6	7	8	8	9	6	7	6	5	1	2	9	5	6	5	4	3	6	2	3	14	7	6	4	159	74	43	20	7	37	8	41	10
GCF_000009765.2	4	7	3	2	5	17	6	9	12	14	9	13	8	14	4	6	2	2	12	14	9	9	9	5	10	4	4	17	11	8	4	214	98	66	30	5	43	8	49	14	4	7	3	2	5	17	6	9	12	14	9	13	8	14	4	6	2	2	12	14	9	9	9	5	10	4	4	17	11	8	4	214	98	66	30	5	43	8	49	14
GCF_000009785.1	2	5	6	1	4	11	6	7	7	12	6	11	6	11	3	6	2	2	6	8	5	4	5	5	5	5	4	14	7	6	5	162	81	44	16	6	39	4	47	9	2	5	6	1	4	11	6	7	7	12	6	11	6	11	3	6	2	2	6	8	5	4	5	5	5	5	4	14	7	6	5	162	81	44	16	6	39	4	47	9
