accession	genome_size_mb	genes_total_num	genes_protein_num	gc_percent	organism_taxId	organism_name	environment	gene_density
GCF_000007125.1	3.294931	3234	2941	57.0	224914	Brucella melitensis bv. 1 str. 16M	Mammals	981.51
GCF_000007505.1	3.315175	3233	3031	57.5	204722	Brucella suis 1330	Mammals	975.21
GCF_000007985.2	3.814128	3484	3405	61.0	243231	Geobacter sulfurreducens PCA	Aquatic	913.45
GCF_000008465.1	2.839318	2723	2639	47.0	283942	Idiomarina loihiensis L2TR	Aquatic	959.03
GCF_000009045.1	4.215606	4536	4237	43.5	224308	Bacillus subtilis subsp. subtilis str. 168	Terrestrial	1076.0
GCF_000009365.1	3.120143	2833	2761	54.5	393595	Alcanivorax borkumensis SK2	Aquatic	907.97
GCF_000010265.1	3.955303	3931	3758	32.0	583346	Clostridium kluyveri NBRC 12016	Aquatic	993.86
GCF_000010425.1	2.089645	1753	1656	59.0	367928	Bifidobacterium adolescentis ATCC 15703	Mammals: Human	838.9
GCF_000011305.1	3.219505	2958	2833	63.0	196164	Corynebacterium efficiens YS-314	Terrestrial	918.77
GCF_000011325.1	3.309401	3079	2948	54.0	196627	Corynebacterium glutamicum ATCC 13032	Wastewater	930.38
GCF_000012085.2	1.165365	1142	1058	29.5	314724	Borrelia turicatae 91E135	Arthropoda: Chelicerates	979.95
GCF_000012365.1	6.723972	5916	5662	67.5	271848	Burkholderia thailandensis E264	Terrestrial	879.84
GCF_000012925.1	4.011182	3683	3587	59.5	269799	Geobacter metallireducens GS-15	Aquatic	918.18
GCF_000012945.1	8.676277	7876	7715	66.5	482957	Burkholderia lata	Terrestrial	907.76
GCF_000013025.1	3.705021	3565	3497	62.0	228405	Hyphomonas neptunium ATCC 15444	Aquatic	962.21
GCF_000013145.1	1.176248	974	914	30.0	205920	Ehrlichia chaffeensis str. Arkansas	Mammals: Human	828.06
GCF_000013345.1	5.433628	4755	4516	70.0	106370	Frankia casuarinae	Plants	875.11
GCF_000014025.1	2.341251	2345	2263	27.0	367737	Aliarcobacter butzleri RM4018	Mammals: Human	1001.6
GCF_000014425.1	1.89436	1884	1744	35.5	324831	Lactobacillus gasseri ATCC 33323 = JCM 1131	Mammals: Human	994.53
GCF_000014445.1	2.075763	2101	1994	37.5	203120	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Food production	1012.16
GCF_000014785.1	3.275944	2965	2887	67.5	187272	Alkalilimnicola ehrlichii MLHE-1	Aquatic	905.08
GCF_000014805.1	4.744448	4356	4166	61.5	380703	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Invertebrates	918.13
GCF_000015445.1	1.445021	1270	1166	38.0	360095	Bartonella bacilliformis KC583	Mammals: Human	878.88
GCF_000015585.1	2.678452	2523	2438	68.0	349124	Halorhodospira halophila SL1	Aquatic	941.96
GCF_000015785.2	3.918596	3883	3681	46.5	326423	Bacillus velezensis FZB42	Terrestrial	990.92
GCF_000015865.1	3.843301	3405	3271	39.0	203119	Acetivibrio thermocellus ATCC 27405		885.96
GCF_000016545.1	2.970275	2934	2749	35.5	351627	Caldicellulosiruptor saccharolyticus DSM 8903	Aquatic	987.79
GCF_000016645.1	6.096872	5249	5138	34.0	376686	Flavobacterium johnsoniae UW101	Terrestrial	860.93
GCF_000016845.1	3.27559	3230	2840	57.0	444178	Brucella ovis ATCC 25840	Mammals	986.08
GCF_000017245.1	2.319663	2218	2103	45.0	339671	Actinobacillus succinogenes 130Z	Mammals	956.17
GCF_000017305.1	4.956672	4770	4665	74.0	266940	Kineococcus radiotolerans SRS30216 = ATCC BAA-149	Solid waste	962.34
GCF_000017425.1	4.094159	4259	3852	36.0	315749	Bacillus cytotoxicus NVH 391-98	Plants	1040.26
GCF_000017685.1	3.951448	3727	3661	39.0	456481	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'	Aquatic	943.2
GCF_000017845.1	5.460377	5106	4962	38.0	43989	Crocosphaera subtropica ATCC 51142	Aquatic	935.1
GCF_000018105.1	8.361599	7655	7324	47.0	329726	Acaryochloris marina MBIC11017	Tunicates	915.49
GCF_000018145.1	4.417868	4332	4221	65.5	398580	Dinoroseobacter shibae DFL 12 = DSM 16493	Protists	980.56
GCF_000018525.1	3.312769	3221	3014	57.0	483179	Brucella canis ATCC 23365	Mammals	972.3
GCF_000018685.1	4.847594	4134	4018	35.5	357809	Lachnoclostridium phytofermentans ISDg	Terrestrial	852.79
GCF_000018785.1	1.496992	1440	1386	32.0	441768	Acholeplasma laidlawii PG-8A	Wastewater	961.93
GCF_000019905.1	3.040786	3157	3027	47.5	262543	Exiguobacterium artemiae 255-15	Terrestrial	1038.22
GCF_000021325.1	3.914947	3710	3574	66.5	272568	Gluconacetobacter diazotrophicus PA1 5	Plants	947.65
GCF_000021485.1	2.982397	3104	2952	59.0	243159	Acidithiobacillus ferrooxidans ATCC 23270	Terrestrial	1040.77
GCF_000021925.1	5.279134	5031	4885	47.5	272564	Desulfitobacterium hafniense DCB-2	Wastewater	953.0
GCF_000022325.1	2.931662	2844	2660	35.0	521460	Caldicellulosiruptor bescii DSM 6725	Aquatic	970.1
GCF_000022905.1	2.819226	2677	2553	60.5	548476	Corynebacterium aurimucosum ATCC 700975	Mammals: Human	949.55
GCF_000022965.1	1.938483	1622	1536	60.5	555970	Bifidobacterium animalis subsp. lactis DSM 10140	Food production	836.74
GCF_000023125.1	6.96779	5825	5756	51.5	471854	Dyadobacter fermentans DSM 18053	Plants	835.99
GCF_000023145.1	2.446804	2112	2026	57.5	645127	Corynebacterium kroppenstedtii DSM 44385	Mammals: Human	863.17
GCF_000023285.1	2.612925	2251	2165	39.5	521097	Capnocytophaga ochracea DSM 7271	Mammals: Human	861.49
GCF_000023325.1	2.302126	2190	2111	41.5	521045	Kosmotoga olearia TBF 19.5.1	Industrial production	951.29
GCF_000024005.1	9.127347	7213	7090	45.0	485918	Chitinophaga pinensis DSM 2588	Terrestrial	790.26
GCF_000024165.1	5.306133	4758	4601	64.0	327160	Candidatus Accumulibacter phosphatis	Wastewater	896.7
GCF_000024285.1	3.205686	3216	3089	62.0	521098	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	Aquatic	1003.22
GCF_000024425.1	3.097457	3135	3051	63.5	504728	Meiothermus ruber DSM 1279	Aquatic	1012.12
GCF_000025305.1	2.329769	2192	2089	56.0	591001	Acidaminococcus fermentans DSM 20731	Mammals	940.87
GCF_000025485.1	3.669074	3351	3260	64.0	572477	Allochromatium vinosum DSM 180	Aquatic	913.31
GCF_000025965.1	4.727255	4592	4404	64.5	76114	Aromatoleum aromaticum EbN1	Terrestrial	971.39
GCF_000025985.1	5.2417	4323	4159	43.0	272559	Bacteroides fragilis NCTC 9343	Mammals: Human	824.73
GCF_000026005.1	1.516355	997	931	27.5	254945	Ehrlichia ruminantium str. Welgevonden	Arthropoda: Chelicerates	657.5
GCF_000027145.1	2.797636	2791	2666	37.5	683837	Listeria seeligeri serovar 1/2b str. SLCC3954	Terrestrial	997.63
GCF_000055785.1	3.696649	3418	3315	64.0	290398	Chromohalobacter israelensis DSM 3043	Terrestrial	924.62
